,Genes
0,PPARGC1A
1,NUDT9
2,SPTB
3,LRP12
4,GAPVD1
5,SIDT2
6,TRAJ5
7,ZNF148
8,RSL24D1
9,CMC2
10,B4GALT5
11,MSI2
12,WDFY2
13,DYNLT1
14,PCOTH
15,CTNNAL1
16,DENND5A
17,SLC12A4
18,SP2
19,ELL
20,RALGDS
21,PSD4
22,ANK2
23,PIK3AP1
24,INPP4B
25,ARHGAP18
26,ARL5A
27,GALNT2
28,BTG1
29,SHLD1
30,SOCS1
31,SP1
32,LSM11
33,HTATIP2
34,TXLNB
35,DDIT4
36,ESRP2
37,ICAM2
38,MBD3L3
39,ZFP36L1
40,CLLU1OS
41,TIAM2
42,SPHK1
43,TSSK2
44,SGK2
45,PLD1
46,ZNF460
47,NFATC3
48,TRDMT1
49,NUDT4P2
50,CYFIP2
51,PRMT7
52,ARHGEF3
53,SRC
54,MAST4
55,NCK2
56,TMEM181
57,FBXO21
58,SNX9
59,TAF5L
60,PGAP2
61,IL17F
62,TJP2
63,PARP8
64,PIK3R1
65,TREML2
66,NCALD
67,ZNF548
68,LGALS3
69,NEUROD1
70,MDK
71,ATF3
72,IL17RA
73,EEF1A1
74,RALGAPA2
75,UTP11
76,STKLD1
77,CDC7
78,OSBPL3
79,CREB3L2
80,GTF2B
81,UBA52
82,LNX2
83,NFIA
84,BUD13
85,FUT8
86,MAN1C1
87,PVT1
88,CDK20
89,BAZ2B
90,BPIFB3
91,HMGB2
92,NUP35
93,TLE3
94,ZNF441
95,CDNF
96,SH2D1A
97,TM2D1
98,JAG1
99,SUSD1
100,MAP3K7CL
101,THEM4
102,GNRHR2
103,ZPR1
104,GFPT1
105,WWOX
106,C18orf54
107,TAGLN
108,ERMP1
109,FOXC1
110,LY75-CD302
111,DAPK1
112,AUNIP
113,ZBTB20-AS5
114,ZFX
115,FXN
116,TNFAIP8
117,FOXN3
118,ANLN
119,EZR
120,LEPROT
121,KSR1
122,PLEKHG6
123,ZNF384
124,SPSB1
125,GMPS
126,CEMIP2
127,CFLAR
128,ZNF519
129,CLDN23
130,ARHGAP25
131,SGTB
132,ERBIN
133,LRRN3
134,STAT2
135,ETV7
136,HK1
137,CMTM6
138,SOX4
139,SPC24
140,RNY4P16
141,IL7R
142,CCNL1
143,TMEM116
144,RANBP6
145,ZNF557
146,GPD2
147,HMGCR
148,CACUL1
149,NOS2
150,LRMP
151,TBXAS1
152,FKBP8
153,CCR3
154,NFE2
155,PNMT
156,CEP164
157,GCA
158,NEAT1
159,LONRF2
160,CARD11
161,YBX1
162,CPPED1
163,CCDC91
164,CENPO
165,KCNA2
166,FASLG
167,TSPAN5
