,Genes
0,LYRM1
1,MLLT3
2,ARHGAP25
3,MKL2
4,HMOX2
5,TRAJ7
6,NCOR2
7,PLGRKT
8,LCOR
9,FBXW8
10,TEAD1
11,LPL
12,RBM34
13,RASA1
14,YBX3
15,MGAT5
16,METAP2
17,IBTK
18,PTPN4
19,RBMXL1
20,INTS10
21,HMGN2P35
22,FAM129A
23,YAF2
24,PSMA1
25,RGCC
26,CCDC91
27,NFIA
28,NUDT4P2
29,ARHGAP26
30,DNM3
31,HUS1B
32,ANAPC1
33,NRN1L
34,ZFAT
35,SGK2
36,AAK1
37,HJURP
38,PCYT1A
39,FOXP1
40,CLDND1
41,UGCG
42,ABCC5
43,RNMT
44,SMARCA4
45,STRADBP1
46,HIP1R
47,TULP1
48,KIAA0895
49,FYN
50,CMC2
51,PRM3
52,TRERF1
53,MAPKAPK5
54,CRPPA
55,TRIB1
56,NLRC4
57,SPECC1
58,PLD1
59,SLC2A7
60,ARID1B
61,MIER1
62,BORCS7
63,IL33
64,ARF6
65,GTSCR1
66,MBD3L4
67,AXIN2
68,INSR
69,NCK2
70,NAA25
71,TULP4
72,UBC
73,CRIP2
74,GBP2
75,SERINC3
76,CHMP6
77,CD70
78,FAM13A
79,DPEP3
80,UTS2B
81,SLC14A1
82,ARL6IP5
83,OSBPL3
84,FBXO34
85,NAP1L4P1
86,OGDH
87,DOCK9
88,EZR
89,RGS6
90,MED15
91,YEATS2
92,ADSL
93,GYG1
94,GPX3
95,VTA1
96,DIP2B
97,CLDN23
98,QRICH2
99,ARL5A
100,CALCA
101,IMPAD1
102,VAPB
103,ATP9B
104,IATPR
105,POGZ
106,C1ORF105
107,HBP1
108,PIK3R2
109,UBASH3B
110,UBB
111,MLIP
112,TFB2M
113,FLT1
114,MALSU1
115,ASAP1-IT2
116,SUB1
117,TNFSF18
118,BORCS5
119,FAM21A
120,TMEM181
121,MAST2
122,WBP1L
123,MDM2
124,SOBP
125,RGS2
126,TMC5
127,DUSP22
128,PTCD3
129,GAPVD1
130,CMTM6
131,SGMS1
132,HTR3D
133,LYST
134,ST13P4
135,MAEL
136,ZFPM2
137,PTPN13
138,BTF3P12
139,ERP29
140,NAP1L5
141,RCAN3AS
142,NDRG1
143,NID1
144,CDC7
145,DST
146,IGHM
147,PA2G4P4
148,INPP4B
149,RIN3
150,FOXJ1
151,MRPS10
152,PTRH2
153,TRAJ6
154,COLCA2
155,GPR84
156,PITX3
157,ME3
158,PCOTH
159,MRTFA
160,CCDC80
161,RNF7
162,KIF20B
163,TBL1X
164,TDRKH
165,LARP4
166,CSRNP1
167,EEF1A1
168,ICOS
169,C15ORF62
170,CLTA
171,TMEM59L
172,CENPV
173,CCDC124
174,FDFT1
175,TET2
176,CCIN
177,ATMIN
178,MCM6
179,TENT5A
180,SERP2
181,EDC4
182,MKKS
183,LDLR
184,BLZF1
185,FCMR
186,AK2
187,UBXN11
188,SIDT2
189,TNFRSF19
190,C10orf12
191,SYT17
192,ITM2B
193,GCA
194,SKAP1
195,TNFSF11
196,ARNTL
197,EIF1AXP2
198,RLF
199,CYBRD1
200,PTTG2
201,C12orf77
202,ARHGAP18
203,ZMYM5
204,SUSD1
205,KLHL6
206,PRR13P1
207,SLC36A4
208,PTRHD1
209,CDYL2
210,NDUFS5
211,ECHDC3
212,KSR2
213,BACE1
214,DUSP18
215,NAB1
216,TRAF3IP3
217,ANKS1B
218,CTNNB1
219,CLLU1OS
220,MALAT1
221,FGD3
222,FARSB
223,B4GALNT2
224,NCOR1
225,CRISPLD2
226,HSPA8P1
227,RAB3A
228,SMAD1
229,MAP3K7
230,CDK8
231,DNAJB12
232,DINOL
233,SHLD1
234,TRAJ5
235,CD5
236,ELP1
237,MAST4
238,ZNF557
239,LONRF2
240,LSM4
241,BOLL
242,GDF15
243,DNAH7
244,MAST3
245,COA1
246,TRAJ8
247,ITGB1
248,TMEM245
249,IRF2BP2
250,SEPTIN9
251,TNRC6A
252,HECTD4
253,SH3KBP1
254,RANBP9
255,SLC37A1
256,SVIL
257,ARAP2
258,FLI1
259,CCR4
260,GTDC1
261,SLC17A5
262,RAPGEF1
263,BTG1
264,RLN2
265,KLHL26
266,DYNLRB2
267,SH3BP2
268,FAM184A
269,SMARCA2
270,RUNX2
271,MAPKAP1
272,B3GNT5
273,DGCR14
274,RC3H1
275,FARS2
276,PMS2P1
277,AKAP10
278,HK1
279,EFHC1
280,PAX3
281,TRIM60P3Y
282,SNRPCP19
283,DCLK2
284,AS3MT
285,ANO1
286,TNIP3
287,MAN1A1
288,RRM1
289,LGMN
290,SMIM22
291,SYNJ2
292,KYAT3
293,PGAM5P1
294,LAMA3
295,HTATIP2
296,FCHO1
297,EVC
298,FAM210A
299,CD99
300,ECE1
301,LEPROT
302,AKNA
303,RAPGEF4
304,BCAT1
305,SMIM12
306,SLC25A24
307,STN1
308,ZKSCAN1
309,ARHGAP35
310,SPC24
311,TMEM116
312,C16orf46
313,TANK
314,CTAGE10P
315,EFCAB5
316,ZMIZ2
317,NUTF2
318,KIF13B
319,RGMA
320,AGPAT4
321,RAI1
322,PUF60
323,SMCHD1
324,ATL2
325,DRAIC
326,SSR3
327,C1GALT1C1
328,ITPKB
329,BCL2L14
330,UBALD2
331,ZMIZ1
332,IKBKB
333,TRIM23
334,CEP57
335,DGKH
336,CNNM2
337,PACSIN1
338,LNX2
339,CFAP36
340,PDE4B
341,SERAC1
342,THNSL2
343,LPP
344,AFF3
345,ASAH2B
346,SLC2A5
347,TSPAN5
348,TRIM13
349,UNC45B
350,CYP17A1
351,WDR37
352,ATXN1
353,TAF5L
354,CRKL
355,AK5
356,ARHGAP21
357,DDIT4
358,MLANA
359,RYBP
360,STK40
361,CHSY1
362,DCAF17
363,NCKAP1L
364,CAMK1
365,MORN1
366,SREBF1
367,B3GALNT2
368,CD84
369,BAZ2B
370,RFC5
371,NUBP1
372,PLEKHG6
373,ANKRD28
374,EME2
375,CRTAM
376,CPPED1
377,BTD
378,RRM2B
379,GGPS1
380,PRNP
381,PRM1
382,PAFAH1B2
383,A1CF
384,GSDME
385,HERC3
386,KIAA2026
387,RAP1B
388,CRTC3
389,POP7
390,GNA12
391,CGNL1
392,TRIM8
393,UST
394,CTTN
395,MDM1
396,THAP11
397,ATG3
398,LPIN2
399,CAB39
400,ASPRV1
401,DLST
402,MYL12A
403,NFE2
404,PHACTR2
405,TIPARP
406,RFTN2
407,MAF
408,PPIAL4F
409,LHPP
410,LMNA
411,SGTB
412,KCNJ15
413,SEC61A2
414,ZFAND6
415,GATB
416,POC5
417,ERI1
418,TNFSF10
419,MAN1C1
420,LIMS1
421,HSD17B13
422,SUSD4
423,DPM1
424,EPB41L5
425,ASAP1
426,SLC45A1
427,PDE3B
428,ZBTB20-AS5
429,KXD1
430,TNFAIP8
431,SLC35E4
432,THEM4
433,GRAP2
434,CMPK2
435,MPV17L2
436,DYNC1I2
437,COL4A3BP
438,SSBP3
439,SLIT2
440,TGFBR3
441,GLIS1
442,ILRUN
443,SH2D3A
444,UBAC2
445,MBD3L5
446,MC2R
447,LRRC8D
448,OAZ3
449,PSD
450,LCP2
451,MBD3L3
452,PLCG1
453,PTP4A2
454,LGALS3
455,POLR1D
456,STUM
457,CT47A5
458,MAGOHB
459,GRB7
460,SRC
461,PRPSAP2
