,Gene
0,ABCG5
1,ABCG8
2,ABI1
3,ABR
4,ACAP2
5,ACOX3
6,ACTA2
7,ACTA2-AS1
8,ACTBL2
9,ACTN1
10,ACTN1-AS1
11,ACTN3
12,ACTR1A
13,ADAD1
14,ADAM12
15,ADAM17
16,ADGRE3
17,ADGRE5
18,ADGRL1
19,ADM5
20,ADTRP
21,AGPAT4
22,AGPAT4-IT1
23,AGR2
24,AGR3
25,AHI1
26,AHR
27,AKAP11
28,AKAP13
29,AKAP14
30,ALDH16A1
31,ALS2CR12
32,AMFR
33,ANKDD1B
34,ANKRD34B
35,ANKRD46
36,ANKRD55
37,ANKS1B
38,ANO4
39,ANTXR2
40,ANXA3
41,ANXA6
42,AOAH-IT1
43,APAF1
44,APBA1
45,APIP
46,ARHGAP10
47,ARHGAP15
48,ARHGAP26-AS1
49,ARHGAP26-IT1
50,ARHGEF37
51,ARHGEF38
52,ARID1B
53,ARID3A
54,ARID4B
55,ARID5B
56,ARL3
57,ARSB
58,AS3MT
59,ASAH2
60,ASAH2B
61,ASAP1-IT1
62,ASAP1-IT2
63,ASF1B
64,ATAD2
65,ATG3
66,ATP10B
67,ATP1A1
68,ATP1A1-AS1
69,ATXN7L1
70,AZU1
71,B3GLCT
72,B3GNT6
73,B4GAT1
74,BANCR
75,BBS1
76,BBS12
77,BBS2
78,BCL2
79,BCL2A1
80,BCL2L12
81,BCL2L14
82,BCL6
83,BEX5
84,BFSP2
85,BFSP2-AS1
86,BHLHA9
87,BIRC6
88,BLOC1S4
89,BMP2K
90,BNIP3L
91,BOD1L2
92,BORCS7
93,BORCS7-ASMT
94,BRCA2
95,BRMS1
96,BSG
97,BSX
98,BTG1
99,BTLA
100,C10orf95
101,C11orf54
102,C11orf63
103,C15orf65
104,C18orf54
105,C1GALT1C1L
106,C1orf137
107,C1QTNF2
108,C20orf196
109,C22orf15
110,C3P1
111,C4orf26
112,C4orf51
113,C5orf58
114,C7orf25
115,C8orf49
116,C8orf74
117,C8orf76
118,CA8
119,CADM4
120,CAPN5
121,CARMN
122,CARTPT
123,CASP10
124,CASP8
125,CAT
126,CBX3
127,CCDC155
128,CCDC190
129,CCDC69
130,CCDC7
131,CCDC80
132,CCDC87
133,CCDC91
134,CCDC96
135,CCNJL
136,CCNL1
137,CCPG1
138,CCR7
139,CCS
140,CD177
141,CD2
142,CD200R1
143,CD200R1L
144,CD248
145,CD28
146,CD37
147,CD58
148,CDC34
149,CDC42EP3
150,CDHR3
151,CDKL2
152,CDR2
153,CDV3
154,CELF2
155,CELF2-AS2
156,CEP295
157,CEP44
158,CERS6
159,CETN4P
160,CFD
161,CFLAR
162,CFLAR-AS1
163,CH25H
164,CHCHD10
165,CHGB
166,CHMP7
167,CHN1
168,CHRNA1
169,CHRNA2
170,CHSY3
171,CIR1
172,CLDN20
173,CLEC17A
174,CLLU1
175,CLLU1OS
176,CLU
177,CLVS2
178,CNIH2
179,CNIH3
180,COBLL1
181,COL4A3BP
182,COL5A3
183,CPT1C
