,index,gene,S1,S2,S3,S4,logFC(GC/EPGC)
0,787,FOSL2,29.0,23.75,4.75,0.25,6.569855608330948
1,6205,CACFD1,5.25,0.25,0.25,19.5,6.285402218862249
2,3537,KLF2,36.5,17.5,0.5,0.25,6.129283016944966
3,4769,GPR65,44.4725,50.7675,4.6625,0.74,6.100236136626652
4,370,SCML1,19.0,16.5,0.0,0.25,6.044394119358453
5,4827,NTRK3,0.0,0.1925,2.58,11.2625,5.870524850005999
6,7940,XXYLT1,1.25,0.75,4.5,42.25,5.815916935561028
7,1621,FLT1,1.5,0.25,0.715,13.935,5.800641097329084
8,6824,TSHR,1.0,0.25,5.25,13.75,5.78135971352466
9,4017,SWAP70,8.3075,13.9675,13.1175,0.255,5.7754327629825335
10,10665,LINC01521,0.0,3.95,0.3575,0.0725,5.767727847936893
11,132,CRY1,14.5,13.25,7.25,0.25,5.727920454563199
12,3929,BTBD3,4.5,0.25,1.25,12.5,5.643856189774724
13,772,TXK,47.5075,32.77,8.75,0.75,5.449341267046879
14,5011,CREG1,15.75,31.0,7.5,0.75,5.369233809665719
15,3739,UBAC1,3.5,10.0,3.0,0.25,5.321928094887363
16,5190,AMT,2.5,10.0,1.3825,0.25,5.321928094887363
17,7798,SMPDL3A,0.0,0.25,11.25,10.0,5.321928094887363
18,6485,TMEM169,7.72,9.5,0.0,0.25,5.247927513443585
19,12745,THRIL,0.0,4.085,1.09,0.11,5.214760649508386
20,884,EPB41L2,4.75,9.25,7.0,0.25,5.20945336562895
21,7226,GNG4,5.92,3.2075,17.8,118.365,5.205649470028248
22,11597,LINC00861,35.825,27.25,13.2525,0.7525,5.17842083779195
23,7691,METTL18,9.5,9.0,1.75,0.25,5.169925001442312
24,11047,LINC01359,0.17,1.2425,1.4375,0.035,5.149747119504682
25,6490,CCDC141,6.25,6.4675,2.5,0.1925,5.0702777979898395
26,1607,TNFSF13B,8.175,17.7925,4.7875,0.53,5.069133066066605
27,6707,TMEM200A,0.0,8.25,0.5,0.25,5.044394119358453
28,1248,ERMP1,5.5,0.25,3.75,8.25,5.044394119358453
29,5583,ANK3,12.8775,7.93,1.75,0.25,4.987320865929254
30,976,HAL,0.0,0.5,0.0,15.25,4.930737337562887
31,2432,LY86,2.25,7.5,1.25,0.25,4.906890595608519
32,10727,LINC00612,0.0,7.5,1.75,0.25,4.906890595608519
33,11603,NUDT16P1,0.25,0.235,0.0,7.0,4.896622260154691
34,2640,IL1R1,0.0,39.895,19.395,1.3575,4.877183843124536
35,11279,LINC01503,0.5,0.25,0.4825,7.25,4.857980995127572
36,6421,CCDC138,3.0,7.25,0.25,0.25,4.857980995127572
37,5672,FAM151B,1.5,0.25,0.0,7.25,4.857980995127572
38,499,TNK2,2.2825,0.2975,8.0,8.5,4.836501267717121
39,1002,CTTN,0.75,0.5,14.25,14.25,4.832890014164741
40,10629,MXD3,0.75,7.055,16.7675,0.25,4.818646082822539
41,9220,HPDL,2.0,7.0,0.5,0.25,4.807354922057605
42,1047,PTHLH,0.0,0.25,4.0,6.75,4.754887502163468
43,5306,SDK1,1.5,0.25,8.75,6.75,4.754887502163468
44,8315,MLF1,0.25,6.75,1.0,0.25,4.754887502163468
45,7734,CD8B,6.75,1.25,0.25,33.4375,4.7414669864011465
46,3577,APOL3,11.0,20.0,3.5,0.75,4.7369655941662066
47,9608,SULT1A1,4.5225,6.68,0.0,0.2525,4.725492809722257
48,5870,SLC7A7,0.655,6.5325,0.75,0.25,4.7076352195452955
49,2495,CD86,2.5,6.5,0.5,0.25,4.700439718141092
50,2308,RASAL1,5.25,6.5,0.5,0.25,4.700439718141092
51,9598,ARMCX4,1.25,6.5,0.0,0.25,4.700439718141092
52,7944,NRROS,0.5,0.25,5.25,6.25,4.643856189774724
53,7678,GPR34,0.0,6.25,0.5,0.25,4.643856189774724
54,7527,MZB1,22.855,6.25,3.495,0.25,4.643856189774724
55,12401,NBPF10,2.265,1.8425,1.925,0.075,4.618630213486552
56,7870,FAM86B3P,0.0,0.25,0.0,6.055,4.598126959919604
57,5802,FAM167A,0.25,0.25,2.25,6.0,4.584962500721156
58,5012,GPA33,36.25,17.5,0.0,0.75,4.54432051622381
59,846,LAMP3,2.65,23.3325,2.7425,1.0,4.544268990480814
60,672,GBA2,3.7925,0.25,4.75,5.76,4.526068811667588
61,2544,CISH,14.75,5.75,3.25,0.25,4.523561956057013
62,4866,KSR1,0.25,5.75,4.5,0.25,4.523561956057013
63,7,STPG1,9.1225,0.25,0.5,5.7125,4.514122260170708
64,621,PRR11,2.82,5.69,0.0,0.25,4.508428652531857
65,10673,ZNF726,0.0,0.2275,0.195,5.065,4.476623818602442
66,2294,SH2B3,9.4975,23.2825,3.75,1.0475,4.474223829481928
67,4298,SLC41A2,3.9975,0.25,0.5,5.505,4.460742563789644
68,3256,SLC12A4,0.25,0.25,3.75,5.5,4.459431618637297
69,3984,RFC3,2.5,0.25,1.75,5.5,4.459431618637297
70,10792,IFI30,59.645,47.75,12.5,2.1725,4.4580726509960735
71,1980,MEGF9,2.315,5.4975,1.2625,0.2525,4.444420406103173
72,3,FGR,5.0,10.75,0.0,0.5,4.426264754702098
73,5985,CPT2,3.665,0.9225,5.4975,19.8,4.423807708906576
74,3469,CCR7,823.75,629.25,168.0,29.5,4.414846451799138
75,634,MAST4,3.4925,37.3075,2.25,1.755,4.40992275181202
76,9497,ANKRD34B,0.0,0.25,1.25,5.25,4.392317422778761
77,5420,NACC2,0.5,0.25,0.5,5.25,4.392317422778761
