Genes,Naive,Early Extra-GC,Late Extra-GC,GC
FOS,3.3322045101752042,2.5112239581053744,3.6506582412937414,9.210340371976182
KLF6,9.210340371976182,5.730099782973588,9.210340371976182,5.730099782973588
ELF1,5.730099782973588,9.210340371976182,5.036952602413644,5.036952602413644
SP2,4.120661870539476,3.427514689979531,5.730099782973588,3.6506582412937414
SP1,5.036952602413644,4.6314874943054685,4.34380542185369,3.9383403137455235
NFYA,2.5946055670444257,5.036952602413644,3.0220495818713644,2.3978952727983707
JUN,4.6314874943054685,3.9383403137455235,2.7856608038071355,4.6314874943054685
ZFX,2.4720032449520923,1.6870485151390247,4.6314874943054685,2.957511060733794
VEZF1,4.34380542185369,3.532875205637356,3.532875205637356,2.639057329615259
SP3,3.6506582412937414,2.552045952625629,3.427514689979531,4.34380542185369
NRF1,2.3978952727983707,4.34380542185369,1.968899667280012,2.203739258357414
SP4,3.7841896339182624,3.1651504255120377,4.120661870539476,3.1651504255120377
KLF12,3.9383403137455235,3.7841896339182624,3.1651504255120377,3.532875205637356
CTCF,2.7856608038071355,3.6506582412937414,2.8397280250774104,3.7841896339182624
EGR1,3.532875205637356,2.89688643891736,2.685577345250153,2.264363880173848
ETS1,3.0220495818713644,3.3322045101752042,2.734367509419584,3.427514689979531
ELK4,3.427514689979531,2.4342629169692462,2.4342629169692462,3.0220495818713644
JUNB,2.552045952625629,1.8799521812635158,2.4720032449520923,3.3322045101752042
EGR2,2.734367509419584,2.2961125784884286,3.3322045101752042,3.091042453358317
KLF10,3.091042453358317,3.245193133185576,2.066538136843928,2.5112239581053744
NFYC,2.685577345250153,2.734367509419584,3.091042453358317,2.685577345250153
NFYB,1.6870485151390247,3.0220495818713644,2.639057329615259,1.8588987720656838
KLF2,2.957511060733794,1.7047480922384253,0.9679258481758185,0.2578291093020998
ATF3,2.11918187032935,2.957511060733794,1.6192259188002633,2.0925136232471893
KLF9,2.8397280250774104,1.4534336639575194,2.5946055670444257,1.2757524867200667
STAT3,1.9924301646902065,1.3233805357093213,1.4396403418251833,2.7856608038071355
SREBF2,1.7047480922384253,2.7856608038071355,2.264363880173848,1.9014583864844798
YY1,1.412611669437264,2.5946055670444257,2.552045952625629,1.8382794848629478
ZBTB17,1.6357552207514738,1.7982741502492492,1.3233805357093213,2.5946055670444257
TCF12,1.8180767775454285,2.3978952727983707,1.8799521812635158,2.552045952625629
TCF7,1.722766597741104,1.3862943611198906,2.3978952727983707,2.0165277162692665
ZBTB33,2.3628039529871008,2.3628039529871008,1.2192402764567245,1.722766597741104
BCL6,1.2641916643189908,0.537142932083364,1.9924301646902065,2.328902401311419
KLF3,2.328902401311419,1.0387519007444308,1.2414634132414346,1.287448526483258
FLI1,2.2961125784884286,2.11918187032935,2.0165277162692665,1.426034689769405
E2F4,0.31399938076915423,2.0165277162692665,2.2961125784884286,2.146580844517465
MZF1,1.759807869421453,2.264363880173848,1.3112591751769764,1.467419905932259
PBX3,1.9234372932032546,0.5316027517077487,2.2335922215070947,1.9234372932032546
GABPA,2.2335922215070947,0.8549024597724229,1.114979266132315,2.174751721484161
DNMT1,2.203739258357414,2.174751721484161,1.759807869421453,1.6029653979284828
YBX1,1.8799521812635158,2.203739258357414,1.7788560643921472,1.7047480922384253
KLF13,1.1451323043030026,1.047968555849355,2.203739258357414,0.9260787382403178
ELF4,1.2083112059245342,1.7411157364093002,2.174751721484161,1.360651930506553
ATF6B,2.174751721484161,1.586965056582042,2.0412203288596387,1.968899667280012
ELK3,1.7788560643921472,1.9014583864844798,2.146580844517465,1.7411157364093002
CREM,2.146580844517465,2.146580844517465,1.5254071635826085,1.586965056582042
GTF2I,1.2302901126433095,0.600201068050501,2.11918187032935,0.8549024597724229
IRF3,1.2992829841302609,1.085708883832202,1.0953707947439388,2.11918187032935
CREB1,1.6029653979284828,2.0925136232471893,1.5105920777974682,1.6525623390678552
IKZF1,2.0925136232471893,1.2992829841302609,1.3480731482996928,1.4959932783763152
ELK1,2.0165277162692665,1.3480731482996928,2.0925136232471893,1.8180767775454285
SATB1,1.968899667280012,1.1762228913730337,1.4959932783763152,2.066538136843928
AHR,0.14285112457332488,2.0412203288596387,0.6121059705568193,0.537142932083364
ATF4,2.0412203288596387,1.5712166996139025,0.993901334579079,1.5404450409471493
REST,1.5105920777974682,1.9924301646902065,1.426034689769405,1.6870485151390247
MAZ,1.426034689769405,1.722766597741104,1.0666606888615076,1.9459101490553137
HIF1A,1.252762968495368,1.9459101490553137,1.5404450409471493,1.1762228913730337
ELF2,1.9459101490553137,1.5254071635826085,1.3862943611198906,1.3993664426872436
MAF,0.3456047201844855,0.7328875092094594,1.360651930506553,1.8799521812635158
RFX5,0.6931471805599453,1.5557125130779375,1.8382794848629478,0.9426080401915286
ETV6,0.7956258498428826,1.2414634132414346,1.8180767775454285,1.1249295969854831
LEF1,1.7982741502492492,1.5105920777974682,1.1657515915057381,0.97650959186721
ZEB1,1.2192402764567245,1.1451323043030026,0.4726044109457929,1.7982741502492492
KLF7,1.6192259188002633,1.759807869421453,1.2641916643189908,1.0666606888615076
KLF4,1.5254071635826085,1.4396403418251833,1.722766597741104,1.759807869421453
ZSCAN22,1.7411157364093002,0.8780695190539572,1.4534336639575194,0.3364722366212129
NFATC1,1.0572709485116683,0.9260787382403178,1.6870485151390247,1.6192259188002633
THAP11,1.6696567724271552,0.9679258481758185,1.1868050007035706,1.0296194171811583
PAX5,0.8938178760220964,1.6525623390678552,1.2083112059245342,0.12062798778861475
HMGA1,1.3733909562839828,0.9509762898620453,1.2757524867200667,1.6357552207514738
ZSCAN30,1.287448526483258,1.6357552207514738,0.636349582166812,1.4396403418251833
TGIF1,0.4571002244098277,1.6192259188002633,0.33193708145582157,0.49365782014362525
PRDM1,0.8397506547518206,0.6738539776252664,1.6029653979284828,0.9098182173685375
SPIB,0.9017860456712734,1.360651930506553,1.586965056582042,0.29637777941933474
SETDB1,1.586965056582042,1.2757524867200667,1.5712166996139025,1.1975002898203186
FOSB,1.3993664426872436,1.5404450409471493,1.1762228913730337,1.5712166996139025
TFDP1,1.5404450409471493,0.2833624113072645,0.9509762898620453,1.2083112059245342
NR4A2,0.9594151585079098,0.46224162391024626,0.8780695190539572,1.5105920777974682
ZBTB6,1.0116009116784799,1.4959932783763152,0.38776553100876343,0.18492233849401193
MAX,1.4816045409242158,1.0205695816612406,1.0296194171811583,0.8472978603872038
IRF1,1.1249295969854831,1.1249295969854831,1.2992829841302609,1.4816045409242158
EGR3,1.3480731482996928,1.4816045409242158,0.5539500503997453,0.699661861581139
NFE2L2,0.5710444837590454,1.467419905932259,0.4267948749144987,0.7813398925954061
BCL11A,1.4534336639575194,1.0572709485116683,0.6486954179891115,0.39738098970820546
BATF,1.002711964261234,0.8859126965149833,0.6425034477411904,1.412611669437264
SMAD4,0.6302333551493761,1.412611669437264,0.2411620568168881,0.37351350830156205
RUNX3,0.23293155768037255,1.3993664426872436,0.5043531092603731,0.10608227678623597
RUNX1,0.7602864833975739,1.114979266132315,1.3993664426872436,0.753366040553
RELA,0.8549024597724229,0.6486954179891115,0.699661861581139,1.3862943611198906
REL,1.2757524867200667,0.993901334579079,0.8549024597724229,1.3733909562839828
CREB3,1.0205695816612406,0.35020242943311486,1.0205695816612406,1.3480731482996928
CUX1,1.047968555849355,0.7194644888773187,1.3356506283011356,0.31399938076915423
STAT2,0.4989911661189879,0.237038339633026,0.97650959186721,1.3233805357093213
RBPJ,1.3112591751769764,0.24946085963158313,1.1349799328389847,1.1451323043030026
TFCP2,0.48307571081308825,0.7813398925954061,0.7194644888773187,1.2992829841302609
MEF2C,0.2006706954621511,0.5097439578952496,1.287448526483258,0.22071144634559725
NFKB1,1.2414634132414346,0.3594617548459117,0.8322599830226632,1.2641916643189908
FOXJ3,0.9679258481758185,1.2641916643189908,1.252762968495368,1.1868050007035706
SREBF1,0.3925617032722565,1.252762968495368,0.537142932083364,0.5884362264709145
JUND,1.1657515915057381,1.2302901126433095,0.824825004535145,0.9594151585079098
BHLHE40,0.7742727253723137,0.824825004535145,1.2302901126433095,0.6241543090729939
ATF2,0.8101188571454495,0.4989911661189879,0.5768081884757955,1.2302901126433095
RFX3,0.9260787382403178,1.2192402764567245,0.4218320855723696,0.7328875092094594
NR3C1,0.746493161265238,0.8702873786119025,0.6611955807533428,1.2192402764567245
ATF1,1.1868050007035706,1.1975002898203186,0.7128199461586501,0.9179154276011571
STAT6,1.1051269696893036,0.8938178760220964,1.1975002898203186,1.114979266132315
ATF6,1.1762228913730337,1.1657515915057381,1.002711964261234,1.0761394328160512
MEF2D,0.8322599830226632,0.97650959186721,0.8397506547518206,1.1657515915057381
IKZF3,0.7672551527136671,1.1553888044701917,0.9098182173685375,0.9679258481758185
ZFP64,1.1553888044701917,0.9017860456712734,0.3456047201844855,0.4022236141839935
STAT1,1.0953707947439388,0.19276551595503788,0.8625653325179923,1.1553888044701917
NFATC2,0.48835276791393206,0.7672551527136671,1.1451323043030026,0.8859126965149833
IRF2,0.35020242943311486,1.0953707947439388,0.8859126965149833,0.8780695190539572
TFE3,0.5943013459233126,1.0761394328160512,0.39738098970820546,0.22884157242884753
FOXO1,1.0761394328160512,0.9426080401915286,0.9017860456712734,0.7128199461586501
BACH1,0.1732717212740367,1.0666606888615076,0.6675047499466076,1.002711964261234
MLX,1.0666606888615076,0.6121059705568193,0.8938178760220964,0.7672551527136671
IRF8,0.49365782014362525,0.7742727253723137,0.746493161265238,1.0572709485116683
NR2C2,0.6121059705568193,0.7396671961948381,1.047968555849355,0.6061358035703156
ARID5B,0.2411620568168881,0.4571002244098277,1.0387519007444308,0.6738539776252664
TGIF2,0.30075415401913363,1.0296194171811583,0.37351350830156205,0.2705142688294155
USF1,1.0296194171811583,0.6425034477411904,0.6738539776252664,0.6931471805599453
IRF7,0.41197978912935806,0.17714019805195705,0.600201068050501,1.0205695816612406
FOXJ2,0.18492233849401193,0.01967276559870478,1.0116009116784799,0.2876820724517809
IRF4,0.5151640253645888,0.5884362264709145,0.9426080401915286,0.993901334579079
SRF,0.9851676546103245,0.6931471805599453,0.32742240110129506,0.5596157879354227
MTF2,0.46740959406868887,0.5943013459233126,0.4022236141839935,0.9851676546103245
IRF9,0.21667103680859223,0.08112554481236846,0.40708980383516624,0.9509762898620453
ETV1,0.18102369807835472,0.029656209582887966,0.9343092373768336,0.1316778239751997
NR4A1,0.9179154276011571,0.5260930958967791,0.7956258498428826,0.7261534770281153
ZBED6,0.3410280531570737,0.1694181519580468,0.9179154276011571,0.33193708145582157
MYC,0.9098182173685375,0.2536362310420638,0.6931471805599453,0.7396671961948381
HSF1,0.7396671961948381,0.8101188571454495,0.48835276791393206,0.9017860456712734
