Sample,label
SEACell-0-CM-Pre-non-Tfh,1
SEACell-0-Tfh2,0
SEACell-10-CM-Pre-non-Tfh,1
SEACell-10-Tfh2,0
SEACell-11-CM-Pre-non-Tfh,1
SEACell-11-Tfh2,0
SEACell-12-CM-Pre-non-Tfh,1
SEACell-12-Tfh2,0
SEACell-13-CM-Pre-non-Tfh,1
SEACell-13-Tfh2,0
SEACell-14-CM-Pre-non-Tfh,1
SEACell-14-Tfh2,0
SEACell-15-CM-Pre-non-Tfh,1
SEACell-15-Tfh2,0
SEACell-16-CM-Pre-non-Tfh,1
SEACell-16-Tfh2,0
SEACell-17-CM-Pre-non-Tfh,1
SEACell-17-Tfh2,0
SEACell-18-CM-Pre-non-Tfh,1
SEACell-18-Tfh2,0
SEACell-19-CM-Pre-non-Tfh,1
SEACell-19-Tfh2,0
SEACell-1-CM-Pre-non-Tfh,1
SEACell-1-Tfh2,0
SEACell-20-CM-Pre-non-Tfh,1
SEACell-20-Tfh2,0
SEACell-21-CM-Pre-non-Tfh,1
SEACell-21-Tfh2,0
SEACell-22-CM-Pre-non-Tfh,1
SEACell-22-Tfh2,0
SEACell-23-CM-Pre-non-Tfh,1
SEACell-23-Tfh2,0
SEACell-24-CM-Pre-non-Tfh,1
SEACell-24-Tfh2,0
SEACell-25-CM-Pre-non-Tfh,1
SEACell-25-Tfh2,0
SEACell-26-CM-Pre-non-Tfh,1
SEACell-26-Tfh2,0
SEACell-27-CM-Pre-non-Tfh,1
SEACell-27-Tfh2,0
SEACell-28-CM-Pre-non-Tfh,1
SEACell-28-Tfh2,0
SEACell-29-CM-Pre-non-Tfh,1
SEACell-29-Tfh2,0
SEACell-2-CM-Pre-non-Tfh,1
SEACell-2-Tfh2,0
SEACell-30-CM-Pre-non-Tfh,1
SEACell-30-Tfh2,0
SEACell-31-CM-Pre-non-Tfh,1
SEACell-31-Tfh2,0
SEACell-32-CM-Pre-non-Tfh,1
SEACell-32-Tfh2,0
SEACell-33-CM-Pre-non-Tfh,1
SEACell-33-Tfh2,0
SEACell-34-CM-Pre-non-Tfh,1
SEACell-34-Tfh2,0
SEACell-35-CM-Pre-non-Tfh,1
SEACell-35-Tfh2,0
SEACell-36-CM-Pre-non-Tfh,1
SEACell-36-Tfh2,0
SEACell-37-CM-Pre-non-Tfh,1
SEACell-37-Tfh2,0
SEACell-38-CM-Pre-non-Tfh,1
SEACell-38-Tfh2,0
SEACell-39-CM-Pre-non-Tfh,1
SEACell-39-Tfh2,0
SEACell-3-CM-Pre-non-Tfh,1
SEACell-3-Tfh2,0
SEACell-40-CM-Pre-non-Tfh,1
SEACell-40-Tfh2,0
SEACell-41-CM-Pre-non-Tfh,1
SEACell-41-Tfh2,0
SEACell-42-CM-Pre-non-Tfh,1
SEACell-42-Tfh2,0
SEACell-43-CM-Pre-non-Tfh,1
SEACell-43-Tfh2,0
SEACell-44-CM-Pre-non-Tfh,1
SEACell-44-Tfh2,0
SEACell-45-CM-Pre-non-Tfh,1
SEACell-45-Tfh2,0
SEACell-46-CM-Pre-non-Tfh,1
SEACell-46-Tfh2,0
SEACell-47-CM-Pre-non-Tfh,1
SEACell-47-Tfh2,0
SEACell-48-CM-Pre-non-Tfh,1
SEACell-48-Tfh2,0
SEACell-49-CM-Pre-non-Tfh,1
SEACell-49-Tfh2,0
SEACell-4-CM-Pre-non-Tfh,1
SEACell-4-Tfh2,0
SEACell-50-CM-Pre-non-Tfh,1
SEACell-50-Tfh2,0
SEACell-51-CM-Pre-non-Tfh,1
SEACell-51-Tfh2,0
SEACell-52-CM-Pre-non-Tfh,1
SEACell-52-Tfh2,0
SEACell-53-CM-Pre-non-Tfh,1
SEACell-53-Tfh2,0
SEACell-54-CM-Pre-non-Tfh,1
SEACell-54-Tfh2,0
SEACell-55-CM-Pre-non-Tfh,1
SEACell-55-Tfh2,0
SEACell-56-CM-Pre-non-Tfh,1
SEACell-56-Tfh2,0
SEACell-57-CM-Pre-non-Tfh,1
SEACell-57-Tfh2,0
SEACell-58-CM-Pre-non-Tfh,1
SEACell-58-Tfh2,0
SEACell-59-CM-Pre-non-Tfh,1
SEACell-59-Tfh2,0
SEACell-5-CM-Pre-non-Tfh,1
SEACell-5-Tfh2,0
SEACell-60-CM-Pre-non-Tfh,1
SEACell-60-Tfh2,0
SEACell-61-CM-Pre-non-Tfh,1
SEACell-61-Tfh2,0
SEACell-62-CM-Pre-non-Tfh,1
SEACell-62-Tfh2,0
SEACell-63-CM-Pre-non-Tfh,1
SEACell-63-Tfh2,0
SEACell-64-CM-Pre-non-Tfh,1
SEACell-64-Tfh2,0
SEACell-65-CM-Pre-non-Tfh,1
SEACell-65-Tfh2,0
SEACell-66-CM-Pre-non-Tfh,1
SEACell-66-Tfh2,0
SEACell-67-CM-Pre-non-Tfh,1
SEACell-67-Tfh2,0
SEACell-68-CM-Pre-non-Tfh,1
SEACell-68-Tfh2,0
SEACell-69-CM-Pre-non-Tfh,1
SEACell-69-Tfh2,0
SEACell-6-CM-Pre-non-Tfh,1
SEACell-6-Tfh2,0
SEACell-70-CM-Pre-non-Tfh,1
SEACell-70-Tfh2,0
SEACell-71-CM-Pre-non-Tfh,1
SEACell-71-Tfh2,0
SEACell-72-CM-Pre-non-Tfh,1
SEACell-72-Tfh2,0
SEACell-73-CM-Pre-non-Tfh,1
SEACell-73-Tfh2,0
SEACell-74-CM-Pre-non-Tfh,1
SEACell-74-Tfh2,0
SEACell-7-CM-Pre-non-Tfh,1
SEACell-7-Tfh2,0
SEACell-8-CM-Pre-non-Tfh,1
SEACell-8-Tfh2,0
SEACell-9-CM-Pre-non-Tfh,1
SEACell-9-Tfh2,0
