Sample,label
SEACell-0_CM PreTfh,0
SEACell-0_GC-Tfh-SAP,1
SEACell-10_CM PreTfh,0
SEACell-10_GC-Tfh-SAP,1
SEACell-11_CM PreTfh,0
SEACell-11_GC-Tfh-SAP,1
SEACell-12_CM PreTfh,0
SEACell-12_GC-Tfh-SAP,1
SEACell-13_CM PreTfh,0
SEACell-13_GC-Tfh-SAP,1
SEACell-14_CM PreTfh,0
SEACell-14_GC-Tfh-SAP,1
SEACell-15_CM PreTfh,0
SEACell-15_GC-Tfh-SAP,1
SEACell-16_CM PreTfh,0
SEACell-16_GC-Tfh-SAP,1
SEACell-17_CM PreTfh,0
SEACell-17_GC-Tfh-SAP,1
SEACell-18_CM PreTfh,0
SEACell-18_GC-Tfh-SAP,1
SEACell-19_CM PreTfh,0
SEACell-19_GC-Tfh-SAP,1
SEACell-1_CM PreTfh,0
SEACell-1_GC-Tfh-SAP,1
SEACell-20_CM PreTfh,0
SEACell-20_GC-Tfh-SAP,1
SEACell-21_CM PreTfh,0
SEACell-21_GC-Tfh-SAP,1
SEACell-22_CM PreTfh,0
SEACell-22_GC-Tfh-SAP,1
SEACell-23_CM PreTfh,0
SEACell-23_GC-Tfh-SAP,1
SEACell-24_CM PreTfh,0
SEACell-24_GC-Tfh-SAP,1
SEACell-25_CM PreTfh,0
SEACell-25_GC-Tfh-SAP,1
SEACell-26_CM PreTfh,0
SEACell-26_GC-Tfh-SAP,1
SEACell-27_CM PreTfh,0
SEACell-27_GC-Tfh-SAP,1
SEACell-28_CM PreTfh,0
SEACell-28_GC-Tfh-SAP,1
SEACell-29_CM PreTfh,0
SEACell-29_GC-Tfh-SAP,1
SEACell-2_CM PreTfh,0
SEACell-2_GC-Tfh-SAP,1
SEACell-30_CM PreTfh,0
SEACell-30_GC-Tfh-SAP,1
SEACell-31_CM PreTfh,0
SEACell-31_GC-Tfh-SAP,1
SEACell-32_CM PreTfh,0
SEACell-32_GC-Tfh-SAP,1
SEACell-33_CM PreTfh,0
SEACell-33_GC-Tfh-SAP,1
SEACell-34_CM PreTfh,0
SEACell-34_GC-Tfh-SAP,1
SEACell-35_CM PreTfh,0
SEACell-35_GC-Tfh-SAP,1
SEACell-36_CM PreTfh,0
SEACell-36_GC-Tfh-SAP,1
SEACell-37_CM PreTfh,0
SEACell-37_GC-Tfh-SAP,1
SEACell-38_CM PreTfh,0
SEACell-38_GC-Tfh-SAP,1
SEACell-39_CM PreTfh,0
SEACell-39_GC-Tfh-SAP,1
SEACell-3_CM PreTfh,0
SEACell-3_GC-Tfh-SAP,1
SEACell-40_CM PreTfh,0
SEACell-40_GC-Tfh-SAP,1
SEACell-41_CM PreTfh,0
SEACell-41_GC-Tfh-SAP,1
SEACell-42_CM PreTfh,0
SEACell-42_GC-Tfh-SAP,1
SEACell-43_CM PreTfh,0
