	Naive	Naive	Naive	Naive	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	GC	GC	GC	GC
AC023509.3	2.4761029445058346e-5	2.4761029445058346e-5	2.4761029445058346e-5	2.4761029445058346e-5	4.581902022153258e-5	4.581902022153258e-5	4.581902022153258e-5	4.581902022153258e-5	1.7137173853907933e-5	1.7137173853907933e-5	1.7137173853907933e-5	1.7137173853907933e-5	2.1349436080588566e-5	2.1349436080588566e-5	2.1349436080588566e-5	2.1349436080588566e-5
AC138696.1	1.8514708146919253e-5	1.8514708146919253e-5	1.8514708146919253e-5	1.8514708146919253e-5	3.898395161151321e-5	3.898395161151321e-5	3.898395161151321e-5	3.898395161151321e-5	1.626535705110754e-5	1.626535705110754e-5	1.626535705110754e-5	1.626535705110754e-5	1.6072033525809686e-5	1.6072033525809686e-5	1.6072033525809686e-5	1.6072033525809686e-5
AHR	3.107169528609763e-4	3.107169528609763e-4	3.107169528609763e-4	3.107169528609763e-4	3.1769291388809248e-3	3.1769291388809248e-3	3.1769291388809248e-3	3.1769291388809248e-3	7.95700405131287e-4	7.95700405131287e-4	7.95700405131287e-4	7.95700405131287e-4	9.095732003915117e-4	9.095732003915117e-4	9.095732003915117e-4	9.095732003915117e-4
AIRE	2.070348155427278e-5	2.070348155427278e-5	2.070348155427278e-5	2.070348155427278e-5	4.358133039133931e-5	4.358133039133931e-5	4.358133039133931e-5	4.358133039133931e-5	1.8380712576226564e-5	1.8380712576226564e-5	1.8380712576226564e-5	1.8380712576226564e-5	2.0270988967682033e-5	2.0270988967682033e-5	2.0270988967682033e-5	2.0270988967682033e-5
ALX1	2.034452394545072e-5	2.034452394545072e-5	2.034452394545072e-5	2.034452394545072e-5	4.1566686916985256e-5	4.1566686916985256e-5	4.1566686916985256e-5	4.1566686916985256e-5	1.701564135184398e-5	1.701564135184398e-5	1.701564135184398e-5	1.701564135184398e-5	2.400993740052071e-5	2.400993740052071e-5	2.400993740052071e-5	2.400993740052071e-5
ALX3	2.39283795018066e-5	2.39283795018066e-5	2.39283795018066e-5	2.39283795018066e-5	8.428504044881304e-5	8.428504044881304e-5	8.428504044881304e-5	8.428504044881304e-5	2.8944831233704948e-5	2.8944831233704948e-5	2.8944831233704948e-5	2.8944831233704948e-5	4.304536683017911e-5	4.304536683017911e-5	4.304536683017911e-5	4.304536683017911e-5
ALX4	1.8955674265866123e-5	1.8955674265866123e-5	1.8955674265866123e-5	1.8955674265866123e-5	4.276203955499515e-5	4.276203955499515e-5	4.276203955499515e-5	4.276203955499515e-5	1.969418445382656e-5	1.969418445382656e-5	1.969418445382656e-5	1.969418445382656e-5	2.1774088310101536e-5	2.1774088310101536e-5	2.1774088310101536e-5	2.1774088310101536e-5
ANHX	2.5521815078828607e-5	2.5521815078828607e-5	2.5521815078828607e-5	2.5521815078828607e-5	1.4297847203610924e-4	1.4297847203610924e-4	1.4297847203610924e-4	1.4297847203610924e-4	3.945130082450288e-5	3.945130082450288e-5	3.945130082450288e-5	3.945130082450288e-5	1.6933552401845717e-5	1.6933552401845717e-5	1.6933552401845717e-5	1.6933552401845717e-5
AR	1.4760025255009676e-4	1.4760025255009676e-4	1.4760025255009676e-4	1.4760025255009676e-4	2.0750434338109587e-4	2.0750434338109587e-4	2.0750434338109587e-4	2.0750434338109587e-4	1.5078020137013678e-4	1.5078020137013678e-4	1.5078020137013678e-4	1.5078020137013678e-4	1.7603307178824616e-4	1.7603307178824616e-4	1.7603307178824616e-4	1.7603307178824616e-4
ARGFX	2.0300778859103333e-5	2.0300778859103333e-5	2.0300778859103333e-5	2.0300778859103333e-5	4.63460143508339e-5	4.63460143508339e-5	4.63460143508339e-5	4.63460143508339e-5	1.9547235990630088e-5	1.9547235990630088e-5	1.9547235990630088e-5	1.9547235990630088e-5	2.2205188110166006e-5	2.2205188110166006e-5	2.2205188110166006e-5	2.2205188110166006e-5
ARID3A	1.0569630202192891e-4	1.0569630202192891e-4	1.0569630202192891e-4	1.0569630202192891e-4	1.2685123285918558e-4	1.2685123285918558e-4	1.2685123285918558e-4	1.2685123285918558e-4	2.789025341205043e-5	2.789025341205043e-5	2.789025341205043e-5	2.789025341205043e-5	2.123158042900758e-4	2.123158042900758e-4	2.123158042900758e-4	2.123158042900758e-4
ARID3B	5.670513275273045e-5	5.670513275273045e-5	5.670513275273045e-5	5.670513275273045e-5	5.9736292754883146e-5	5.9736292754883146e-5	5.9736292754883146e-5	5.9736292754883146e-5	1.6313360281295826e-5	1.6313360281295826e-5	1.6313360281295826e-5	1.6313360281295826e-5	2.0707506234277706e-5	2.0707506234277706e-5	2.0707506234277706e-5	2.0707506234277706e-5
ARID3C	3.0092819033428128e-5	3.0092819033428128e-5	3.0092819033428128e-5	3.0092819033428128e-5	4.7018447669074746e-5	4.7018447669074746e-5	4.7018447669074746e-5	4.7018447669074746e-5	1.8456570743885266e-5	1.8456570743885266e-5	1.8456570743885266e-5	1.8456570743885266e-5	2.9477158668211642e-5	2.9477158668211642e-5	2.9477158668211642e-5	2.9477158668211642e-5
ARID5A	4.926683775212094e-4	4.926683775212094e-4	4.926683775212094e-4	4.926683775212094e-4	3.7749540433746145e-4	3.7749540433746145e-4	3.7749540433746145e-4	3.7749540433746145e-4	2.6262024069802307e-4	2.6262024069802307e-4	2.6262024069802307e-4	2.6262024069802307e-4	5.635031084660658e-4	5.635031084660658e-4	5.635031084660658e-4	5.635031084660658e-4
ARID5B	4.1597454371012716e-4	4.1597454371012716e-4	4.1597454371012716e-4	4.1597454371012716e-4	6.089247598824005e-4	6.089247598824005e-4	6.089247598824005e-4	6.089247598824005e-4	1.6665078162791426e-3	1.6665078162791426e-3	1.6665078162791426e-3	1.6665078162791426e-3	1.1285032827316654e-3	1.1285032827316654e-3	1.1285032827316654e-3	1.1285032827316654e-3
ARNT	3.952180858639301e-4	3.952180858639301e-4	3.952180858639301e-4	3.952180858639301e-4	4.3218495428173025e-4	4.3218495428173025e-4	4.3218495428173025e-4	4.3218495428173025e-4	6.433842641721467e-4	6.433842641721467e-4	6.433842641721467e-4	6.433842641721467e-4	4.27815206266198e-4	4.27815206266198e-4	4.27815206266198e-4	4.27815206266198e-4
