	Naive	Naive	Naive	Naive	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	GC	GC	GC	GC
AC023509.3	1.0	1.0	1.0	1.0	0.9861895161290323	0.9861895161290323	0.9861895161290323	0.9861895161290323	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AC138696.1	1.0	1.0	1.0	1.0	0.9959677419354839	0.9959677419354839	0.9959677419354839	0.9959677419354839	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AHR	2.146930560214644e-3	2.146930560214644e-3	2.146930560214644e-3	2.146930560214644e-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AIRE	1.0	1.0	1.0	1.0	0.9910282258064516	0.9910282258064516	0.9910282258064516	0.9910282258064516	0.9999363097891854	0.9999363097891854	0.9999363097891854	0.9999363097891854	1.0	1.0	1.0	1.0
ALX1	1.0	1.0	1.0	1.0	0.993850806451613	0.993850806451613	0.993850806451613	0.993850806451613	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ALX3	1.0	1.0	1.0	1.0	0.6280241935483871	0.6280241935483871	0.6280241935483871	0.6280241935483871	0.9965607286160117	0.9965607286160117	0.9965607286160117	0.9965607286160117	0.75273390036452	0.75273390036452	0.75273390036452	0.75273390036452
ALX4	1.0	1.0	1.0	1.0	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9998726195783708	0.9998726195783708	0.9998726195783708	0.9998726195783708	1.0	1.0	1.0	1.0
ANHX	1.0	1.0	1.0	1.0	9.76814516129032e-2	9.76814516129032e-2	9.76814516129032e-2	9.76814516129032e-2	0.9477103369212152	0.9477103369212152	0.9477103369212152	0.9477103369212152	1.0	1.0	1.0	1.0
AR	9.527004360952662e-3	9.527004360952662e-3	9.527004360952662e-3	9.527004360952662e-3	1.7540322580645196e-2	1.7540322580645196e-2	1.7540322580645196e-2	1.7540322580645196e-2	1.2355900898031957e-2	1.2355900898031957e-2	1.2355900898031957e-2	1.2355900898031957e-2	1.8226002430133947e-3	1.8226002430133947e-3	1.8226002430133947e-3	1.8226002430133947e-3
ARGFX	1.0	1.0	1.0	1.0	0.9849798387096774	0.9849798387096774	0.9849798387096774	0.9849798387096774	0.9998726195783708	0.9998726195783708	0.9998726195783708	0.9998726195783708	1.0	1.0	1.0	1.0
ARID3A	2.4890976182489144e-2	2.4890976182489144e-2	2.4890976182489144e-2	2.4890976182489144e-2	0.1732862903225807	0.1732862903225807	0.1732862903225807	0.1732862903225807	0.9975160817782307	0.9975160817782307	0.9975160817782307	0.9975160817782307	1.3669501822600738e-3	1.3669501822600738e-3	1.3669501822600738e-3	1.3669501822600738e-3
ARID3B	0.7180811808118082	0.7180811808118082	0.7180811808118082	0.7180811808118082	0.9215725806451613	0.9215725806451613	0.9215725806451613	0.9215725806451613	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ARID3C	0.9999329084199933	0.9999329084199933	0.9999329084199933	0.9999329084199933	0.9840725806451613	0.9840725806451613	0.9840725806451613	0.9840725806451613	0.9998726195783708	0.9998726195783708	0.9998726195783708	0.9998726195783708	0.9988861887403807	0.9988861887403807	0.9988861887403807	0.9988861887403807
ARID5A	0.0	0.0	0.0	0.0	3.7298387096774688e-3	3.7298387096774688e-3	3.7298387096774688e-3	3.7298387096774688e-3	4.012483281319645e-3	4.012483281319645e-3	4.012483281319645e-3	4.012483281319645e-3	0.0	0.0	0.0	0.0
ARID5B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARNT	0.0	0.0	0.0	0.0	2.0161290322581182e-3	2.0161290322581182e-3	2.0161290322581182e-3	2.0161290322581182e-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARNT2	1.462596444146258e-2	1.462596444146258e-2	1.462596444146258e-2	1.462596444146258e-2	0.4043346774193548	0.4043346774193548	0.4043346774193548	0.4043346774193548	0.9975160817782307	0.9975160817782307	0.9975160817782307	0.9975160817782307	0.9940765492102066	0.9940765492102066	0.9940765492102066	0.9940765492102066
ARNTL	0.0	0.0	0.0	0.0	8.87096774193552e-3	8.87096774193552e-3	8.87096774193552e-3	8.87096774193552e-3	1.9107063244383493e-4	1.9107063244383493e-4	1.9107063244383493e-4	1.9107063244383493e-4	0.0	0.0	0.0	0.0
ARX	1.0	1.0	1.0	1.0	0.9018145161290323	0.9018145161290323	0.9018145161290323	0.9018145161290323	0.9988535762053372	0.9988535762053372	0.9988535762053372	0.9988535762053372	0.9450688537869583	0.9450688537869583	0.9450688537869583	0.9450688537869583
