Genes,Naive,Early Extra-GC TFH,Late Extra-GC TFH,GC
AHR,0.0003107169528609763,0.0031769291388809248,0.000795700405131287,0.0009095732003915117
ARID5A,0.0004926683775212094,0.0003774954043374615,0.00026262024069802307,0.0005635031084660658
ARID5B,0.0004159745437101272,0.0006089247598824005,0.0016665078162791426,0.0011285032827316654
ARNT,0.0003952180858639301,0.0004321849542817303,0.0006433842641721467,0.000427815206266198
ARNTL,0.0005060131579682405,0.0002631349668565273,0.0003430341568161379,0.0004728888644961424
ATF1,0.0018850063882065516,0.001462055185528018,0.000984713293691672,0.0015043259900704214
ATF2,0.0010833447226049702,0.000641188046148087,0.0007529923746249356,0.002161797962829118
ATF3,0.00410207594748908,0.006710255433577552,0.002884351037519813,0.004465964624154121
ATF4,0.003810589650771812,0.0020222129513655317,0.0015491710575006165,0.003007825834561697
ATF6,0.0018747610804478504,0.001430801121432312,0.001610857064923982,0.0018173073044072544
ATF6B,0.0042115133121349855,0.002024530729720753,0.004232868491818211,0.004231317605140473
ATF7,0.0009440869364869718,0.0006043608402543425,0.0005520224163056379,0.0008322660037387938
BACH1,0.00033513933191405194,0.0012492114678333277,0.0009227663816298852,0.001620246411580367
BATF,0.0015783585614589854,0.0009676073316398752,0.0008835951543531056,0.002690508137155642
BCL11A,0.00237754515547736,0.0012357269034160422,0.000888543220113942,0.0006984230556416718
BCL6,0.0020276306573820445,0.000669302730711226,0.004065887100864704,0.005203877635433136
BHLHE40,0.0010462250452932269,0.0009417231068738262,0.001961619647219621,0.0010283965594391142
BPTF,0.0007163454426630256,0.000554154179044982,0.0010053557740833106,0.00030031544449124405
CEBPG,0.0005288437552160485,0.0005127209234665552,0.00017279845221652984,0.000735881419875411
CEBPZ,0.0009723651305666242,0.0007434414686703136,0.0004864509708333936,0.0007724189451594004
CREB1,0.0029748752232545035,0.003323306729000574,0.0027080041201127105,0.0032817719488498986
CREB3,0.0015882508822734089,0.0005413174113353436,0.001639023834938309,0.002547279818506693
CREM,0.004127113956373133,0.003498861287135432,0.002731816477935743,0.0031847069672181327
CTCF,0.007478986151935044,0.007928480597943226,0.009103395851383856,0.01194312150157371
CTCFL,0.0003873715714928001,0.00025144182780241834,0.000647380680674786,0.00043822302960163577
CUX1,0.0016324781237510566,0.0008746793436329796,0.0022132490787148554,0.0005742212242092111
CXXC1,0.00019494179943968176,0.00029804280596538643,0.0001860818207835877,0.0003841017558072202
DNMT1,0.004227752979642041,0.003516716486670148,0.0031513048586916635,0.0031865960572334973
E2F1,0.00033665165494195124,0.00034767310206526195,0.0007378672731450385,0.00033212141802506964
E2F3,0.0005497231946200244,0.0005428496965948752,0.000513163506943694,0.000824635350638884
E2F4,0.0004890890330362922,0.003000380686960408,0.005314551493022028,0.004683779378488214
E2F6,0.00031732477011174153,0.00032019201437566967,0.0011110188116860316,0.0010373525521030038
EGR1,0.010209667171753648,0.006563107244504455,0.008324165115781988,0.005143788345697211
EGR2,0.007060300250219511,0.003835047836914324,0.009969116373161025,0.00896800653820605
EGR3,0.002176915043992275,0.001861524019662608,0.0007366727589170047,0.001175710209387511
EGR4,0.00030676476814274554,0.0007017189483087528,0.00029786079557645806,0.0003238324939530046
ELF1,0.01905290214161645,0.01545401706299752,0.017155696889357832,0.02115348024763966
ELF2,0.003705621996536164,0.0019294889644639749,0.0023971423291395118,0.0026627804827332
ELF4,0.0019065179137972685,0.0024579162481781457,0.004604771198680031,0.002629209461394737
ELF5,0.0003081479037849551,0.0005381000030954161,0.00024164427974829127,0.00034148512644815933
ELK1,0.003806858123961453,0.0016251431649903052,0.004553034341177503,0.003589275641746607
ELK3,0.0033181766130312724,0.0028373872605806164,0.004592176389414792,0.0034381124601150963
ELK4,0.009976236667229072,0.004493196290286654,0.0058427103677433125,0.007437247151123453
ERG,0.0004320682438527291,0.00034266471863142613,0.0005034169781801988,0.0005386097622563369
ETS1,0.00833091541794384,0.007609994302061921,0.008386197483686656,0.009922396382614896
ETV1,0.00034010488487622355,0.0002613612152947509,0.001455812237462743,0.000342990902920808
ETV2,0.0002357637898401908,0.0005611916206367353,0.00026720702436946314,0.00111801766900249
ETV5,0.0003304655990314305,0.0002563279045349973,0.0003717340581724848,0.0003745638236357701
ETV6,0.001064673319896394,0.001536003049053348,0.0034228470968809986,0.001876991789680584
FLI1,0.004749684285352685,0.003372378915975814,0.004156010657249296,0.0027102993061747047
FOS,0.009739745971198862,0.004657214734856214,0.01076292695576336,0.027541893008568984
FOSB,0.002329500726596141,0.0019784438891541595,0.0017987103077928134,0.003097395353992181
FOXJ2,0.00034189494002560285,0.0002545788875012507,0.0016278561704079243,0.0005490236179900776
FOXJ3,0.0014809552842732822,0.0015673853029363346,0.001988177024084145,0.002007991832777347
FOXK1,0.0007613873775136931,0.0008906035156953799,0.0003614304204115892,0.0007646525755037064
FOXN3,0.0010001832915464517,0.0005377202783250025,0.0005597967670043683,0.0007714928446651426
FOXO1,0.0016775681390521634,0.001070805242771538,0.0013408754980981956,0.0011809555479996695
FOXO3,0.0010762639490168287,0.0008508726950139383,0.0007468829458737566,0.0013218278452283951
FOXO4,0.00018366788012945693,0.0002554781411184529,0.0002894944834870761,0.0002655559139054812
FOXP1,0.000435720379569236,0.0004572960620518092,0.00026288817646581144,0.0005690733517834977
GABPA,0.004496462587720418,0.0009503731250174004,0.0017416130096385594,0.004780204561637514
GATA3,0.0004343336765805404,0.0008099940629185233,0.0010873623166705766,0.0011466657563642005
GTF2B,0.0004725107477057496,0.000726923852495382,0.00036142319110584495,0.0005938661738202512
GTF2I,0.0019610350499939307,0.0007152945007529968,0.00458210913613034,0.0013846601846313983
GTF3A,0.0012918642910552183,0.0008937168886021991,0.0005494658604573736,0.0013945882564007244
HBP1,0.0003242443574671437,0.00042767205035226975,0.0001879292268678878,0.0006381557469493993
HIF1A,0.002005902490343156,0.002895752920250855,0.002785104563242532,0.0019836500712092477
HINFP,0.0003319248999533567,0.000916734130462378,0.0005332582930776961,0.0003893500169278015
HIVEP2,0.00062369337688554,0.000401338242237244,0.0010580037001988868,0.0008544039020060889
HMGA1,0.00219059624984302,0.0010795073165656252,0.0020608565953026425,0.0032571189014641514
HSF1,0.001011858677270886,0.000932631136465852,0.000670033067815637,0.0014760998867214196
IKZF1,0.003844730857822049,0.0015951501245188857,0.0022505621444122654,0.002893667207797608
IKZF3,0.001043697410491236,0.0014218127948566112,0.001376074205049507,0.0015775680923269075
IRF1,0.0017204880244874208,0.0013126704970215053,0.0021831461997260044,0.002880185766960953
IRF2,0.0005234583634120508,0.0012741438911080792,0.0012428901004062696,0.0014457382692110003
IRF3,0.0020657243977817387,0.001251949277026515,0.0017155604607176922,0.004501078730824459
IRF4,0.0007214914653404529,0.0007024951150366583,0.001474834873621926,0.001618061422477742
IRF7,0.0006088880442512831,0.00039224976506554,0.0007846226545945056,0.0016799324054811065
IRF8,0.0006920419261833262,0.0009109019797567614,0.0010497070267400169,0.0017983916407932246
IRF9,0.0003741879402969461,0.0003042536931883963,0.0005934492303332291,0.0015641692921637236
JUN,0.01431395122203815,0.008590506358584268,0.008891231014173526,0.01674784040637307
JUNB,0.006601754597742975,0.002810906267525313,0.005875853753437831,0.00985448538046724
JUND,0.0018520855873746184,0.0015321349107062792,0.0011722152341131233,0.001575110024367774
KLF1,0.0009691279462762988,0.0008591608566134016,0.0007908644742848764,0.0008095634882198841
KLF10,0.008411780992670152,0.00758952688200519,0.004346808299685914,0.005829920981879525
KLF12,0.01168012623586208,0.008107551454982091,0.009680096861497609,0.010082505958517583
KLF13,0.0017411155424937952,0.0012077578453169682,0.004698298826176511,0.001507603962194735
KLF14,0.0006607921696730383,0.0004064218978612736,0.0006029299091291579,0.000597782568896992
KLF15,0.000951791582989602,0.0008829950982275379,0.0007590418338357923,0.0008468605711397417
KLF16,0.001210015023016608,0.0006123562226382374,0.0003830853423229403,0.0004146708654768788
KLF2,0.008318493290502176,0.002384773421050896,0.0015058587649179275,0.0004874115725541374
KLF3,0.005137702742698971,0.0012018588189103376,0.0019859031056110327,0.0022698293169226926
KLF4,0.002797059459011992,0.0017929901078089666,0.003113812494411474,0.003453572396633993
KLF5,0.0007298583114184935,0.000518788888479186,0.0005075495093861831,0.0006201515867319899
KLF6,0.022942486414504,0.01513311697282556,0.025248741591787124,0.02352627840540336
KLF7,0.00299438568174682,0.0024887907401889096,0.0020448282411298967,0.0018099073423814675
KLF9,0.007701422324137031,0.0018233099329612648,0.007571709212645836,0.0022516679491426032
KMT2A,0.000598841473558043,0.00029740953631092194,0.00027068979272646104,0.000476338415549752
LEF1,0.0033756675918645016,0.001903118655095742,0.0017964672890362268,0.0015857988070906888
