Genes,Naive_rank,Early Extra-GC TFH_rank,Late Extra-GC TFH_rank,GC_rank
FOS,0.03571428571428571,0.08116883116883117,0.025974025974025976,0.0001
KLF6,0.0001,0.003246753246753247,0.0001,0.003246753246753247
ELF1,0.003246753246753247,0.0001,0.006493506493506494,0.006493506493506494
JUN,0.00974025974025974,0.01948051948051948,0.06168831168831169,0.00974025974025974
SP3,0.025974025974025976,0.07792207792207792,0.032467532467532464,0.012987012987012988
ZNF281,0.03896103896103896,0.08441558441558442,0.08116883116883117,0.016233766233766232
SP1,0.006493506493506494,0.00974025974025974,0.012987012987012988,0.01948051948051948
CTCF,0.06168831168831169,0.025974025974025976,0.05844155844155844,0.022727272727272728
SP2,0.016233766233766232,0.032467532467532464,0.003246753246753247,0.025974025974025976
KLF12,0.01948051948051948,0.022727272727272728,0.04220779220779221,0.02922077922077922
ETS1,0.048701298701298704,0.03571428571428571,0.06493506493506493,0.032467532467532464
JUNB,0.07792207792207792,0.1525974025974026,0.08441558441558442,0.03571428571428571
ZNF460,0.04220779220779221,0.045454545454545456,0.01948051948051948,0.03896103896103896
SP4,0.022727272727272728,0.04220779220779221,0.016233766233766232,0.04220779220779221
EGR2,0.06493506493506493,0.10064935064935066,0.03571428571428571,0.045454545454545456
ELK4,0.032467532467532464,0.08766233766233766,0.08766233766233766,0.048701298701298704
ZFX,0.08441558441558442,0.18506493506493507,0.00974025974025974,0.05194805194805195
ZNF180,0.262987012987013,0.3051948051948052,0.03896103896103896,0.05519480519480519
ZNF331,0.08116883116883117,0.09740259740259741,0.14935064935064934,0.05844155844155844
STAT3,0.13636363636363635,0.2662337662337662,0.237012987012987,0.06168831168831169
ZNF148,0.07142857142857142,0.1266233766233766,0.18831168831168832,0.06493506493506493
NFYC,0.06818181818181818,0.06493506493506493,0.045454545454545456,0.06818181818181818
VEZF1,0.012987012987012988,0.02922077922077922,0.02922077922077922,0.07142857142857142
ZBTB17,0.19480519480519481,0.16558441558441558,0.2662337662337662,0.07467532467532467
TCF12,0.16233766233766234,0.09090909090909091,0.1525974025974026,0.07792207792207792
KLF10,0.045454545454545456,0.03896103896103896,0.1266233766233766,0.08116883116883117
ZNF143,0.05519480519480519,0.06818181818181818,0.2435064935064935,0.08441558441558442
ZNF341,0.5551948051948052,0.24025974025974026,0.05194805194805195,0.08766233766233766
NFYA,0.07467532467532467,0.006493506493506494,0.048701298701298704,0.09090909090909091
ZNF354C,0.4383116883116883,0.016233766233766232,0.461038961038961,0.09415584415584416
BCL6,0.2824675324675325,0.5844155844155844,0.13636363636363635,0.09740259740259741
ZNF770,0.1038961038961039,0.05844155844155844,0.1461038961038961,0.10064935064935066
EGR1,0.02922077922077922,0.05519480519480519,0.06818181818181818,0.1038961038961039
ZNF267,0.237012987012987,0.07142857142857142,0.022727272727272728,0.10714285714285714
NRF1,0.09090909090909091,0.012987012987012988,0.1396103896103896,0.11038961038961038
GABPA,0.10714285714285714,0.4253246753246753,0.32792207792207795,0.11363636363636363
E2F4,0.7305194805194806,0.1331168831168831,0.10064935064935066,0.11688311688311688
IRF3,0.2727272727272727,0.33766233766233766,0.3344155844155844,0.12012987012987013
ATF3,0.12012987012987013,0.05194805194805195,0.19805194805194806,0.12337662337662338
SATB1,0.1396103896103896,0.30844155844155846,0.22402597402597402,0.1266233766233766
ZNF548,0.1590909090909091,0.6525974025974026,0.05519480519480519,0.12987012987012986
TCF7,0.17857142857142858,0.25,0.09090909090909091,0.1331168831168831
ZNF76,0.08766233766233766,0.15584415584415584,0.18181818181818182,0.13636363636363635
ATF6B,0.11363636363636363,0.20454545454545456,0.12987012987012986,0.1396103896103896
MAZ,0.24025974025974026,0.17857142857142858,0.34415584415584416,0.14285714285714285
PBX3,0.1461038961038961,0.5876623376623377,0.10714285714285714,0.1461038961038961
SREBF2,0.18181818181818182,0.06168831168831169,0.1038961038961039,0.14935064935064934
MAF,0.7077922077922078,0.4805194805194805,0.2564935064935065,0.1525974025974026
NFYB,0.18506493506493507,0.048701298701298704,0.07142857142857142,0.15584415584415584
YY1,0.2435064935064935,0.07467532467532467,0.07792207792207792,0.1590909090909091
ELK1,0.1331168831168831,0.2597402597402597,0.12337662337662338,0.16233766233766234
ZEB1,0.29545454545454547,0.3181818181818182,0.6233766233766234,0.16558441558441558
ZNF611,0.15584415584415584,0.262987012987013,0.3474025974025974,0.16883116883116883
KLF4,0.21753246753246752,0.237012987012987,0.17857142857142858,0.17207792207792208
ELK3,0.16883116883116883,0.14935064935064934,0.11688311688311688,0.17532467532467533
ZBTB33,0.09415584415584416,0.09415584415584416,0.29545454545454547,0.17857142857142858
YBX1,0.1525974025974026,0.11038961038961038,0.16883116883116883,0.18181818181818182
REST,0.22077922077922077,0.13636363636363635,0.24025974025974026,0.18506493506493507
ZNF333,0.2305194805194805,0.7564935064935064,0.15584415584415584,0.18831168831168832
CREB1,0.2012987012987013,0.12337662337662338,0.22077922077922077,0.19155844155844157
HMGA1,0.2532467532467532,0.38636363636363635,0.2792207792207792,0.19480519480519481
NFATC1,0.3474025974025974,0.3961038961038961,0.18506493506493507,0.19805194805194806
DNMT1,0.11038961038961038,0.11363636363636363,0.17207792207792208,0.2012987012987013
CREM,0.11688311688311688,0.11688311688311688,0.21753246753246752,0.20454545454545456
FOSB,0.24675324675324675,0.21428571428571427,0.30844155844155846,0.2077922077922078
ZNF571,0.30194805194805197,0.10714285714285714,0.19155844155844157,0.21103896103896103
