	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
AC023509.3	1.8781467125914158e-5	1.5674836296688007e-5	1.7635072227007767e-5	1.4446673489411396e-5
AC138696.1	2.0028744138955986e-5	1.5612271810891363e-5	1.7818157975912873e-5	1.7301746811152947e-5
AHR	1.5530789626327826e-4	3.2297049269862426e-4	1.1851373645169702e-4	1.2431067737279024e-4
AIRE	7.626646089075036e-5	5.805503386503553e-5	6.0177139834933824e-5	5.479914558247201e-5
ALX1	9.287580120999484e-5	7.057175316347635e-5	7.611142646372066e-5	9.362488978445607e-5
ALX3	9.98023919619704e-5	9.986642728321564e-5	2.6247032466360465e-4	1.0247803504932744e-4
ALX4	8.455014850454012e-5	7.153086920938914e-5	7.922994636639264e-5	8.529711727987705e-5
ANHX	4.609678178393476e-5	4.2657222085780737e-5	4.512649837149536e-5	4.627326171154367e-5
AR	2.6604425527867206e-4	2.1887814495713894e-4	2.4963743607772496e-4	2.6970247680423024e-4
ARGFX	7.147086002685413e-5	7.52398356705692e-5	6.739571835760338e-5	7.778411458184641e-5
ARID3A	5.246574541004195e-4	2.165484164306078e-4	4.884463900830974e-4	5.11828409982005e-4
ARID3B	5.3406515968189896e-5	1.8568267055401162e-4	3.985319665938311e-4	7.553810332250944e-4
ARID3C	7.453001686736632e-5	7.346881534921334e-5	8.097481674306484e-5	8.394433732660919e-5
ARID5A	1.4344118334494377e-3	9.140599996238388e-4	9.127859004607302e-4	1.517390950388692e-3
ARID5B	1.4220583827555837e-3	1.1624369086275213e-3	1.1445759393402405e-3	8.822409665803033e-4
ARNT	2.855260062256228e-4	6.27622960985287e-4	5.310949411122081e-4	2.6709135396337587e-4
ARNT2	2.637507658264481e-5	2.20556582510314e-5	5.5316815101058166e-5	5.696921887112271e-5
ARNTL	2.805969036457801e-4	2.9368565132072497e-4	2.3304415020377288e-4	3.3325424712196737e-4
ARX	1.0330431833433757e-4	1.1362728807321948e-4	1.0815729519899372e-4	1.0354197731182635e-4
ASCL1	2.679911528919964e-4	2.2397597972609058e-4	2.4815435446525874e-4	2.2474523706964104e-4
ASCL2	5.200674320779161e-4	4.715460544862449e-5	6.569961107423724e-5	5.227330086352815e-5
ATF1	5.440352310578625e-4	6.999475160316402e-4	1.0664046441886924e-3	7.36921297981331e-4
ATF2	1.477387003444965e-3	8.071022021584051e-4	6.740562177789142e-4	6.838274021818141e-4
ATF3	3.2061233607717917e-3	3.240568189797225e-3	4.7536407773936e-3	3.128703829273307e-3
ATF4	2.7509846160878766e-3	2.3429581863346123e-3	3.324049474932942e-3	3.5265825747476257e-3
ATF5	1.0833741569030408e-4	1.0049220372027107e-4	1.1047404277805595e-4	2.361267819720396e-4
ATF6	9.974316431028102e-4	9.807412465259089e-4	1.1375874523432091e-3	9.116385193900717e-4
ATF6B	1.932082894323794e-3	3.368390864152007e-3	1.8363409407627345e-3	1.9978014783992924e-3
ATF7	5.192307590078574e-4	6.899987964759765e-4	6.968853307957503e-4	4.931642887944647e-4
ATOH1	1.6305760231742698e-4	1.4101776246128054e-4	1.4196223320035414e-4	1.5042000525649453e-4
ATOH7	4.4352683342866896e-5	3.6510763178011606e-5	4.3394449052984404e-5	5.0899578934030166e-5
BACH1	1.942006706847433e-3	1.7038314452667751e-3	2.2300200694171865e-3	8.32910475702785e-4
BACH2	1.8730544169927763e-4	4.2147863110301656e-4	2.2966294979602473e-4	4.8390871005237634e-4
BARHL1	6.220283187949438e-5	4.542872377262343e-5	5.034358411770267e-5	6.109147063182685e-5
BARHL2	8.90624722059956e-5	7.696444613631781e-5	6.654987241607106e-5	9.244768891330564e-5
BARX1	1.010157843849525e-4	9.183708720444163e-5	1.0187172413506597e-4	9.898885933841054e-5
BARX2	5.8360362234919784e-5	7.162197586935556e-5	5.653279350321219e-5	1.9156491880459415e-4
BATF	4.461740512953597e-3	2.571402069221092e-3	3.4919731986645976e-3	2.4616026879604016e-3
BATF3	4.997256604180017e-5	4.587080910428342e-5	6.0681633400163046e-5	4.0933718361880095e-5
BBX	2.198243444061976e-4	6.418489127496225e-4	2.1380126485939246e-4	3.467962978493443e-4
BCL11A	8.317322545964726e-4	1.1436698981566484e-3	2.368626665271416e-3	3.2725323911256474e-3
BCL11B	2.3834431822801486e-4	1.5440879553000057e-4	2.2050460040399941e-4	2.6093232563578143e-4
BCL6	7.872052869711502e-3	7.75202903213219e-3	6.51347378232632e-3	5.746785143186695e-3
BCL6B	6.862172885728207e-5	5.796055459069634e-5	7.76626894492209e-5	8.058221475877708e-5
BHLHA15	1.268054985090346e-4	1.0005240597531955e-4	1.3546655099217863e-4	1.1135562529238294e-4
BHLHE22	4.3144812282460185e-5	2.9720470832051837e-5	3.748371326853243e-5	4.1558821841413334e-5
BHLHE23	3.922561038075454e-5	2.9373253058809867e-5	3.57967351306237e-5	3.92304261752268e-5
BHLHE40	9.26899478213667e-4	1.4012028507516593e-3	8.053780415737657e-4	5.376770379245653e-4
BHLHE41	4.2022740131769896e-5	3.8314977004302696e-5	3.711435007530901e-5	4.226887805072609e-5
BNC1	5.9654735195277956e-5	3.86214495537897e-5	3.9802236967588146e-5	5.164731939443257e-5
BNC2	5.9654735195277956e-5	3.86214495537897e-5	3.9802236967588146e-5	5.164731939443257e-5
BORCS8-MEF2B	1.262069378055119e-4	3.6764855104845365e-4	2.4389314434579144e-4	5.174023162421078e-5
BPTF	6.603775593881409e-4	1.1164158418749352e-3	1.4015869308189196e-3	1.7213637789548469e-3
BSX	8.459720011048347e-5	6.117082169935524e-5	7.913404766438027e-5	7.304728314447383e-5
CARF	4.9887720520618286e-5	2.4892141257432893e-5	2.8782400211692054e-5	8.241114478439867e-5
CCDC169-SOHLH2	3.022720782702033e-5	2.5565191128739073e-5	3.154420751433638e-5	2.8538619179618503e-5
CDC5L	4.1607150237882274e-4	2.6645609198947673e-4	3.715872164878506e-4	5.151481714601005e-4
CDX1	4.6261497530369043e-4	3.780462867093024e-4	4.230878638516321e-4	4.503867814906053e-4
CDX2	1.7613293898229265e-4	1.6505535519991234e-4	1.9084496141342773e-4	1.904002131126462e-4
CDX4	7.283999428883228e-5	5.873691145166373e-5	7.086735363462892e-5	7.960317912880587e-5
CEBPA	1.255924604982668e-3	1.348764874250376e-4	5.0352662798742e-4	1.400895333384519e-4
CEBPB	1.6431714913365072e-4	9.493255320783926e-5	3.113825061445886e-4	2.656004478053488e-4
CEBPD	1.2383466085549258e-4	9.650723678324125e-5	1.0964717165504035e-4	1.1840892578090227e-4
CEBPE	1.155042438049085e-4	7.120983387140869e-5	6.93187862018151e-5	5.896442901611174e-4
CEBPG	5.425030683013957e-4	2.750411623094144e-4	7.497998329558553e-4	8.533453788678142e-4
CEBPZ	3.147098620732918e-4	3.600812828345362e-4	2.618121944628621e-4	3.3757830025462764e-4
CENPB	2.1343917052328215e-5	1.8380489779340606e-5	5.518482615077101e-5	1.8111000460684903e-5
CENPBD1	4.2926969111276784e-5	1.3161360488465438e-5	1.1466521299218871e-5	1.2972504325155644e-5
