	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
AC023509.3	1.0	1.0	1.0	1.0
AC138696.1	1.0	1.0	1.0	1.0
AHR	2.64939652634677e-3	0.0	8.533517486311815e-3	6.7110853611432875e-3
AIRE	6.37032675890492e-2	0.19375819564647256	0.10644699847087258	0.15054074932406336
ALX1	1.4777745069178727e-2	5.208497246262789e-2	2.821486706456866e-2	1.1008111239860896e-2
ALX3	9.59670297321169e-3	1.620771046420144e-2	7.892270507571242e-4	9.125144843568966e-3
ALX4	2.879010891963496e-2	4.8518227117755e-2	2.446603857347207e-2	1.351873310158358e-2
ANHX	0.9163968207241684	0.819145030159979	0.5615350466137227	0.4790942448821939
AR	1.0597586105387524e-3	3.252032520325243e-3	1.430474029497364e-3	2.4140594824251238e-4
ARGFX	0.10462172505151601	3.7765538945711996e-2	5.243427218467911e-2	1.747779065276167e-2
ARID3A	0.0	3.409388932599011e-3	0.0	0.0
ARID3B	0.6455696202531646	4.615788093364825e-3	0.0	0.0
ARID3C	7.695025022078306e-2	4.159454497770787e-2	2.293691116263008e-2	1.4339513325608344e-2
ARID5A	0.0	0.0	0.0	0.0
ARID5B	0.0	0.0	0.0	0.0
ARNT	9.42007653812138e-4	0.0	0.0	4.828118964851358e-4
ARNT2	1.0	1.0	0.18665219750406947	0.1112881421398223
ARNTL	9.42007653812138e-4	2.0980854969843143e-4	1.9237409362206082e-3	0.0
ARX	8.301442449219931e-3	1.243115656963023e-2	1.0062644897153805e-2	8.932020084974845e-3
ASCL1	1.0597586105387524e-3	2.8324154209283803e-3	1.5784541015143594e-3	2.220934723831558e-3
ASCL2	0.0	0.608130081300813	6.205297686578204e-2	0.2143684820393974
ATF1	0.0	0.0	0.0	0.0
ATF2	0.0	0.0	0.0	0.0
ATF3	0.0	0.0	0.0	0.0
ATF4	0.0	0.0	0.0	0.0
ATF5	6.94730644686492e-3	1.599790191450301e-2	9.569377990430672e-3	1.9795287755890456e-3
ATF6	0.0	0.0	0.0	0.0
ATF6B	0.0	0.0	0.0	0.0
ATF7	0.0	0.0	0.0	0.0
ATOH1	2.3550191345305116e-3	8.549698400209804e-3	6.067182952695704e-3	4.683275395905739e-3
ATOH7	0.9492493376508684	0.976658798846053	0.6525427909041582	0.2621185786017768
BACH1	0.0	0.0	0.0	0.0
BACH2	1.7662643508978837e-3	0.0	1.973067626892866e-3	0.0
BARHL1	0.289314100677068	0.6911618148439549	0.3309820944112859	6.440710699111629e-2
