Genes,Naive,Early Extra-GC TFH,Late Extra-GC TFH,GC
AHR,0.00012431067737279024,0.00011851373645169702,0.00032297049269862426,0.00015530789626327826
AR,0.00026970247680423024,0.00024963743607772496,0.00021887814495713892,0.00026604425527867206
ARID3A,0.000511828409982005,0.0004884463900830974,0.0002165484164306078,0.0005246574541004195
ARID5A,0.001517390950388692,0.0009127859004607302,0.0009140599996238388,0.0014344118334494375
ARID5B,0.0008822409665803033,0.0011445759393402405,0.0011624369086275213,0.0014220583827555837
ARNT,0.00026709135396337587,0.0005310949411122081,0.000627622960985287,0.0002855260062256228
ARNTL,0.00033325424712196737,0.00023304415020377288,0.00029368565132072497,0.0002805969036457801
ASCL1,0.00022474523706964104,0.00024815435446525874,0.00022397597972609055,0.0002679911528919964
ATF1,0.000736921297981331,0.0010664046441886924,0.0006999475160316402,0.0005440352310578625
ATF2,0.0006838274021818141,0.0006740562177789142,0.0008071022021584051,0.001477387003444965
ATF3,0.003128703829273307,0.0047536407773936,0.003240568189797225,0.003206123360771792
ATF4,0.0035265825747476257,0.003324049474932942,0.0023429581863346123,0.0027509846160878766
ATF6,0.0009116385193900716,0.0011375874523432091,0.0009807412465259089,0.0009974316431028102
ATF6B,0.0019978014783992924,0.0018363409407627343,0.003368390864152007,0.001932082894323794
ATF7,0.0004931642887944647,0.0006968853307957503,0.0006899987964759765,0.0005192307590078574
ATOH1,0.00015042000525649453,0.00014196223320035414,0.00014101776246128054,0.00016305760231742698
BACH1,0.000832910475702785,0.0022300200694171865,0.0017038314452667751,0.001942006706847433
BACH2,0.00048390871005237634,0.00022966294979602476,0.00042147863110301656,0.00018730544169927763
BATF,0.0024616026879604016,0.0034919731986645976,0.002571402069221092,0.004461740512953597
BBX,0.0003467962978493443,0.00021380126485939248,0.0006418489127496225,0.0002198243444061976
BCL11A,0.003272532391125648,0.002368626665271416,0.0011436698981566484,0.0008317322545964726
BCL11B,0.00026093232563578143,0.0002205046004039994,0.00015440879553000055,0.00023834431822801488
BCL6,0.005746785143186695,0.00651347378232632,0.00775202903213219,0.007872052869711502
BHLHE40,0.0005376770379245653,0.0008053780415737657,0.0014012028507516593,0.000926899478213667
BPTF,0.0017213637789548469,0.0014015869308189196,0.0011164158418749352,0.0006603775593881409
CDC5L,0.0005151481714601005,0.0003715872164878506,0.0002664560919894768,0.00041607150237882274
CDX1,0.0004503867814906053,0.0004230878638516321,0.0003780462867093024,0.0004626149753036904
CDX2,0.0001904002131126462,0.00019084496141342773,0.00016505535519991234,0.00017613293898229265
CEBPA,0.0001400895333384519,0.00050352662798742,0.0001348764874250376,0.001255924604982668
CEBPG,0.0008533453788678142,0.0007497998329558553,0.0002750411623094144,0.0005425030683013957
CEBPZ,0.00033757830025462764,0.0002618121944628621,0.0003600812828345362,0.0003147098620732918
CIC,0.0002593291597556004,0.000364997567959047,0.0005442204848562762,0.0003479922494266733
CREB1,0.0013929962025274476,0.00269964033188859,0.0017643732197988394,0.0019018290351742995
CREB3,0.0008807442098767484,0.00048573556109270826,0.0010152646538194306,0.0013802609210544297
CREB3L2,0.0001403201579795771,0.00015204153174950066,0.00017165954755925272,0.00010774669125017072
CREBZF,0.00015094534810893964,0.000363953088344808,0.00027598825767036287,0.00017562762950517946
CREM,0.0026144109507397527,0.003657220000516328,0.002291926124782693,0.0017967679262812877
CTCF,0.00462922443411228,0.00880212438372225,0.007154708981566815,0.005444109484068482
CTCFL,0.00019216268993631192,0.00020615122714200097,0.0004288131769732064,0.0001469109203112616
CUX1,0.0017611690665787932,0.0013765250112074876,0.0015247249396960643,0.0007850991885009729
CXXC1,0.0004771531477487371,0.0005990124860139612,0.00027984108484272445,0.0008469882604867657
DBP,0.0008738187394296341,0.00014753089036294225,0.0010696887767117735,0.0004556277240338159
DLX3,0.0001429236510517697,0.00013400620023753588,0.00013101276958462992,0.0001487073719528387
DNMT1,0.0012824998763802616,0.001236762363183956,0.0010232758583584333,0.001163439457057531
E2F1,0.00020449878346879476,0.00020606618316790508,0.0005248800454238953,0.00022576053242760256
E2F3,0.000366780611440735,0.0005184248408257737,0.0003843530934174382,0.0006656328301025464
E2F4,0.0002022369697763992,0.001498987097441628,0.00213616357918035,0.0022103959619573024
E2F6,0.0002322724160283747,0.0002461672895662728,0.0005761617055361482,0.000697539597057357
E4F1,0.00018838146016904295,0.00012536765965926542,0.0002972817521869743,0.0002568239807386847
EBF1,0.001086792218050545,0.00021864885758301984,0.0010673730109079806,0.0007795469516805804
EGR1,0.004038189877858917,0.00469328439297858,0.00381436508833915,0.0024035516835942674
