Genes,Naive_rank,Early Extra-GC TFH_rank,Late Extra-GC TFH_rank,GC_rank
FOS,0.0001,0.0001,0.0001,0.0001
ELF1,0.005747126436781609,0.0038314176245210726,0.0019157088122605363,0.0019157088122605363
JUN,0.0019157088122605363,0.0019157088122605363,0.0038314176245210726,0.0038314176245210726
KLF6,0.009578544061302681,0.005747126436781609,0.011494252873563218,0.005747126436781609
ETS1,0.019157088122605363,0.017241379310344827,0.032567049808429116,0.007662835249042145
BCL6,0.03065134099616858,0.02490421455938697,0.019157088122605363,0.009578544061302681
JUNB,0.011494252873563218,0.007662835249042145,0.009578544061302681,0.011494252873563218
HMGA1,0.007662835249042145,0.013409961685823755,0.007662835249042145,0.013409961685823755
SATB1,0.0038314176245210726,0.011494252873563218,0.005747126436781609,0.01532567049808429
IRF3,0.02681992337164751,0.05747126436781609,0.0421455938697318,0.017241379310344827
SP1,0.0210727969348659,0.02681992337164751,0.01532567049808429,0.019157088122605363
ZNF333,0.032567049808429116,0.27586206896551724,0.017241379310344827,0.0210727969348659
ZNF281,0.04597701149425287,0.05363984674329502,0.06130268199233716,0.022988505747126436
TCF12,0.04980842911877394,0.040229885057471264,0.06513409961685823,0.02490421455938697
ZNF331,0.03639846743295019,0.028735632183908046,0.04980842911877394,0.02681992337164751
NFATC1,0.05747126436781609,0.09770114942528736,0.038314176245210725,0.028735632183908046
FOXJ3,0.02490421455938697,0.0421455938697318,0.040229885057471264,0.03065134099616858
SP3,0.06130268199233716,0.1111111111111111,0.08620689655172414,0.032567049808429116
IRF1,0.017241379310344827,0.0210727969348659,0.02490421455938697,0.034482758620689655
CTCF,0.05172413793103448,0.01532567049808429,0.022988505747126436,0.03639846743295019
ZNF354C,0.3486590038314176,0.009578544061302681,0.3390804597701149,0.038314176245210725
ELK4,0.028735632183908046,0.03639846743295019,0.07088122605363985,0.040229885057471264
IKZF1,0.013409961685823755,0.044061302681992334,0.034482758620689655,0.0421455938697318
KLF12,0.05555555555555555,0.04789272030651341,0.06321839080459771,0.044061302681992334
EGR2,0.09961685823754789,0.08045977011494253,0.05363984674329502,0.04597701149425287
ZNF22,0.038314176245210725,0.07471264367816093,0.08045977011494253,0.04789272030651341
