	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
AC023509.3	1.944698301716414e-5	1.2250367264814656e-5	1.3142250399925184e-5	1.4311402483499202e-5
AC138696.1	1.474142441649132e-5	1.4598264196485688e-5	1.5050567806250424e-5	1.6420459836183842e-5
AHR	2.0428207429668411e-4	2.3333411973159204e-4	1.835078824501188e-4	4.908636959336599e-5
AIRE	6.33029252232435e-5	5.9934040081496836e-5	5.9281374785703046e-5	6.643266500027866e-5
ALX1	1.1423288426259964e-4	9.541206035116175e-5	1.1556061975786707e-4	1.0172443969632494e-4
ALX3	1.1862993532666911e-4	1.0970232114790498e-4	2.8124340876808734e-4	9.624266035679566e-5
ALX4	1.0305152889650659e-4	8.754087076954476e-5	9.49540502304282e-5	8.236385469836561e-5
ANHX	5.153131041872036e-5	3.559373002434311e-5	4.299137609109737e-5	5.7476166197308916e-5
AR	3.2241193916328483e-4	2.578803724944098e-4	3.143449100758575e-4	2.535238516207617e-4
ARGFX	1.0475651461019282e-4	9.121588928416296e-5	9.109081918162065e-5	9.117727160147923e-5
ARID3A	7.192623117679757e-4	2.465783195579281e-4	7.333078085983538e-4	6.46172974913397e-4
ARID3B	1.0991345011491289e-4	2.0637161357509251e-4	6.841463038171807e-4	1.1705434519127251e-3
ARID3C	1.121041890643158e-4	9.962928478515222e-5	1.2474770022724926e-4	1.06108247317007e-4
ARID5A	2.388830334944824e-3	1.3938942006231521e-3	1.985003680124636e-3	2.1627268458535485e-3
ARID5B	1.8851074795044579e-3	1.4555327232404977e-3	1.5572015146899038e-3	1.1867600464830796e-3
ARNT	3.1140616545382384e-4	5.912988905774491e-4	3.5353515348355e-4	2.012855763652319e-4
ARNT2	2.4109035177365194e-5	1.836642932941991e-5	4.794005157683418e-5	5.339790556907646e-5
ARNTL	3.5209501746250797e-4	2.759647101996637e-4	2.4305219644733117e-4	3.019488238181372e-4
ARX	1.417201875738447e-4	1.1612607114675928e-4	1.343426788038034e-4	1.1135003650642185e-4
ASCL1	3.081195570177964e-4	2.635548353601929e-4	2.628300923933601e-4	2.3057146837497205e-4
ASCL2	5.195895485984828e-4	8.189707776719948e-5	6.857481055796635e-5	5.85272680508026e-5
ATF1	7.500963180995479e-4	4.6422590859280415e-4	7.316612634055674e-4	6.384202227832131e-4
ATF2	1.9248755096525848e-3	7.229469708003787e-4	6.832791699381145e-4	9.624971800621592e-4
ATF3	3.8529389353505333e-3	3.1823062608203074e-3	4.987239159026261e-3	2.9361337379419606e-3
ATF4	4.078974198663531e-3	2.390501077349211e-3	3.5913524389413433e-3	3.976161254728506e-3
ATF5	1.093154698165659e-4	9.44403953219193e-5	1.1482316805851796e-4	2.7248975042973517e-4
ATF6	1.2155163558049886e-3	8.153875252161614e-4	1.0859140808122363e-3	8.653042037992361e-4
ATF6B	2.6615333205165137e-3	2.8488326367522836e-3	1.5009738049336868e-3	1.907726427932961e-3
ATF7	8.180454086834322e-4	8.579289021172359e-4	7.066266860983161e-4	6.94812361175065e-4
ATOH1	2.4313467487584384e-4	1.9251683599577608e-4	1.7919589761939463e-4	1.4959568913438634e-4
ATOH7	5.481045811028712e-5	3.816249103435744e-5	4.60484137563917e-5	4.140859347670915e-5
BACH1	1.9730809870584613e-3	1.684049165434875e-3	2.46305229879669e-3	8.12960675543825e-4
BACH2	2.5844292848809197e-4	6.562597841226874e-4	2.419755854771278e-4	7.446782422207695e-4
BARHL1	6.136227403523946e-5	5.367938785797487e-5	6.703242338260883e-5	5.851393133659449e-5
BARHL2	7.998911238360252e-5	8.683536168219642e-5	1.0726593115602934e-4	8.414060511689183e-5
BARX1	1.0758632696271809e-4	1.1553867016687081e-4	1.3533174021048927e-4	1.0908266386565693e-4
BARX2	9.327056341368197e-5	7.39910966518879e-5	9.186132446077324e-5	1.6479929764995447e-4
BATF	5.084649248390852e-3	2.908370032443388e-3	3.553474466417056e-3	2.6151573056238456e-3
