	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
AC023509.3	1.0	1.0	1.0	1.0
AC138696.1	1.0	1.0	1.0	1.0
AHR	1.0691070817653303e-3	3.408316291751978e-4	3.532065194263634e-3	0.17027904527904525
AIRE	1.864522750598696e-2	3.885480572597133e-2	4.442742244350828e-2	2.3955773955773974e-2
ALX1	2.8224426958604054e-3	1.2099522835719134e-2	7.447125409591915e-3	8.20463320463316e-3
ALX3	2.4803284296954775e-3	9.756305385139719e-3	0.0	8.86275886275889e-3
ALX4	3.3356140951077418e-3	1.4016700749829636e-2	1.0383420571088098e-2	1.2153387153387207e-2
ANHX	0.10143687991789263	0.7768830947511929	0.33797182858845054	5.243067743067742e-2
AR	0.0	0.0	0.0	4.3875043875041264e-5
ARGFX	3.3356140951077418e-3	1.2908997955010215e-2	1.119196561555813e-2	9.52088452088451e-3
ARID3A	0.0	4.2603953646858095e-5	0.0	0.0
ARID3B	2.993499828942814e-3	2.513633265166959e-3	0.0	0.0
ARID3C	2.9079712624016096e-3	1.1204839809134337e-2	6.510915358100333e-3	7.678132678132665e-3
ARID5A	0.0	0.0	0.0	0.0
ARID5B	0.0	0.0	0.0	0.0
ARNT	0.0	0.0	0.0	2.632502632502587e-3
ARNT2	1.0	1.0	0.17736924975530877	8.74868374868375e-2
ARNTL	0.0	0.0	4.2555002340516346e-5	0.0
ARX	1.7960998973657327e-3	8.733810497614125e-3	5.915145325332993e-3	7.107757107757129e-3
ASCL1	0.0	0.0	0.0	1.9305019305019266e-3
ASCL2	0.0	1.5720858895705514e-2	2.4086131324737248e-2	4.641979641979643e-2
ATF1	0.0	0.0	0.0	0.0
ATF2	0.0	0.0	0.0	0.0
ATF3	0.0	0.0	0.0	0.0
ATF4	0.0	0.0	0.0	0.0
ATF5	3.079028395484129e-3	1.2312542603953647e-2	7.489680411932431e-3	0.0
ATF6	0.0	0.0	0.0	0.0
ATF6B	0.0	0.0	0.0	0.0
ATF7	0.0	0.0	0.0	0.0
ATOH1	7.269928156004024e-4	3.32310838445804e-3	3.787395208306732e-3	4.5630045630045135e-3
ATOH7	6.0126582278481e-2	0.6157123381049762	0.2276692625218094	0.5100912600912602
BACH1	0.0	0.0	0.0	0.0
BACH2	6.414642490591982e-4	0.0	8.511000468103269e-5	0.0
BARHL1	2.313547724940135e-2	7.379004771642805e-2	2.5873441423039267e-2	4.655142155142156e-2
BARHL2	7.2271638727334775e-3	1.4229720518064037e-2	8.34078045874298e-3	1.1363636363636354e-2
