Genes,Naive,Early Extra-GC TFH,Late Extra-GC TFH,GC
ALX3,9.624266035679566e-05,0.00028124340876808734,0.00010970232114790498,0.00011862993532666912
AR,0.0002535238516207617,0.0003143449100758575,0.0002578803724944098,0.00032241193916328483
ARID3A,0.000646172974913397,0.0007333078085983538,0.0002465783195579281,0.0007192623117679757
ARID3B,0.0011705434519127251,0.0006841463038171807,0.0002063716135750925,0.00010991345011491287
ARID5A,0.0021627268458535485,0.001985003680124636,0.001393894200623152,0.002388830334944824
ARID5B,0.0011867600464830796,0.0015572015146899038,0.0014555327232404977,0.0018851074795044576
ARNT,0.0002012855763652319,0.00035353515348355,0.0005912988905774491,0.00031140616545382384
ARNTL,0.0003019488238181372,0.0002430521964473312,0.0002759647101996637,0.000352095017462508
ARX,0.00011135003650642184,0.0001343426788038034,0.00011612607114675928,0.0001417201875738447
ASCL1,0.00023057146837497205,0.0002628300923933601,0.0002635548353601929,0.0003081195570177964
ATF1,0.0006384202227832131,0.0007316612634055674,0.00046422590859280415,0.0007500963180995479
ATF2,0.0009624971800621592,0.0006832791699381145,0.0007229469708003787,0.0019248755096525848
ATF3,0.0029361337379419606,0.004987239159026261,0.0031823062608203074,0.003852938935350533
ATF4,0.003976161254728506,0.0035913524389413437,0.002390501077349211,0.004078974198663531
ATF6,0.0008653042037992361,0.0010859140808122363,0.0008153875252161614,0.0012155163558049886
ATF6B,0.001907726427932961,0.0015009738049336868,0.002848832636752284,0.0026615333205165137
ATF7,0.000694812361175065,0.0007066266860983161,0.0008579289021172359,0.0008180454086834322
ATOH1,0.00014959568913438634,0.00017919589761939463,0.00019251683599577608,0.00024313467487584384
BACH1,0.000812960675543825,0.00246305229879669,0.001684049165434875,0.0019730809870584613
BACH2,0.0007446782422207695,0.0002419755854771278,0.0006562597841226874,0.000258442928488092
BARX1,0.00010908266386565692,0.0001353317402104893,0.0001155386701668708,0.00010758632696271809
BATF,0.0026151573056238456,0.003553474466417056,0.002908370032443388,0.005084649248390852
