Genes,Naive_rank,Early Extra-GC TFH_rank,Late Extra-GC TFH_rank,GC_rank
FOS,0.0001,0.0001,0.0001,0.0001
JUN,0.001644736842105263,0.001644736842105263,0.001644736842105263,0.001644736842105263
JUNB,0.004934210526315789,0.004934210526315789,0.008223684210526315,0.003289473684210526
ELF1,0.008223684210526315,0.006578947368421052,0.014802631578947368,0.004934210526315789
KLF6,0.013157894736842105,0.008223684210526315,0.01644736842105263,0.006578947368421052
SATB1,0.003289473684210526,0.003289473684210526,0.003289473684210526,0.008223684210526315
IRF3,0.011513157894736841,0.02138157894736842,0.02631578947368421,0.009868421052631578
HMGA1,0.009868421052631578,0.009868421052631578,0.009868421052631578,0.011513157894736841
BCL6,0.02138157894736842,0.024671052631578948,0.004934210526315789,0.013157894736842105
ZNF333,0.019736842105263157,0.14802631578947367,0.006578947368421052,0.014802631578947368
NFATC1,0.039473684210526314,0.06085526315789474,0.023026315789473683,0.01644736842105263
FOXJ3,0.018092105263157895,0.02631578947368421,0.02138157894736842,0.018092105263157895
TCF7,0.02631578947368421,0.011513157894736841,0.03125,0.019736842105263157
ZNF331,0.03618421052631579,0.03618421052631579,0.05592105263157895,0.02138157894736842
ETS1,0.024671052631578948,0.023026315789473683,0.05098684210526316,0.023026315789473683
CTCF,0.03289473684210526,0.013157894736842105,0.018092105263157895,0.024671052631578948
TCF12,0.03782894736842105,0.03125,0.03782894736842105,0.02631578947368421
ZNF281,0.05263157894736842,0.06907894736842106,0.08552631578947369,0.027960526315789474
ZNF22,0.023026315789473683,0.03289473684210526,0.04111842105263158,0.029605263157894735
IRF1,0.014802631578947368,0.01644736842105263,0.013157894736842105,0.03125
SP3,0.0625,0.12335526315789473,0.10197368421052631,0.03289473684210526
STAT2,0.06085526315789474,0.10032894736842106,0.024671052631578948,0.03453947368421053
BATF,0.10526315789473684,0.06743421052631579,0.10032894736842106,0.03618421052631579
SP1,0.03125,0.044407894736842105,0.04276315789473684,0.03782894736842105
NR4A2,0.03453947368421053,0.019736842105263157,0.046052631578947366,0.039473684210526314
IKZF1,0.01644736842105263,0.029605263157894735,0.027960526315789474,0.04111842105263158
EGR2,0.10032894736842106,0.09868421052631579,0.05921052631578947,0.04276315789473684
STAT3,0.049342105263157895,0.08717105263157894,0.11842105263157894,0.044407894736842105
ZNF384,0.37664473684210525,0.11513157894736842,0.0756578947368421,0.046052631578947366
NR3C1,0.17434210526315788,0.13651315789473684,0.23026315789473684,0.047697368421052634
ZBTB17,0.19407894736842105,0.08881578947368421,0.20723684210526316,0.049342105263157895
ATF4,0.046052631578947366,0.0625,0.12664473684210525,0.05098684210526316
ZNF354C,0.32401315789473684,0.014802631578947368,0.3092105263157895,0.05263157894736842
STAT6,0.04276315789473684,0.05921052631578947,0.029605263157894735,0.054276315789473686
ZNF143,0.04111842105263158,0.047697368421052634,0.23190789473684212,0.05592105263157895
FOXO3,0.09210526315789473,0.09046052631578948,0.07401315789473684,0.05756578947368421
KLF12,0.054276315789473686,0.05098684210526316,0.07072368421052631,0.05921052631578947
SP2,0.05592105263157895,0.12171052631578948,0.044407894736842105,0.06085526315789474
ATF3,0.08388157894736842,0.03782894736842105,0.08881578947368421,0.0625
IRF7,0.06578947368421052,0.31085526315789475,0.07730263157894737,0.06414473684210527
MEF2D,0.0756578947368421,0.08388157894736842,0.11677631578947369,0.06578947368421052
ZEB1,0.09046052631578948,0.15953947368421054,0.14144736842105263,0.06743421052631579
MEF2A,0.09539473684210527,0.07730263157894737,0.3815789473684211,0.06907894736842106
REST,0.12664473684210525,0.16447368421052633,0.09210526315789473,0.07072368421052631
PRDM1,0.09703947368421052,0.13157894736842105,0.011513157894736841,0.07236842105263158
FOSB,0.06414473684210527,0.039473684210526314,0.05263157894736842,0.07401315789473684
IRF4,0.07894736842105263,0.11019736842105263,0.03453947368421053,0.0756578947368421
FOXO1,0.044407894736842105,0.046052631578947366,0.049342105263157895,0.07730263157894737
LEF1,0.006578947368421052,0.018092105263157895,0.09539473684210527,0.07894736842105263
SP4,0.07072368421052631,0.11348684210526316,0.06578947368421052,0.0805921052631579
ZFP82,0.09868421052631579,0.555921052631579,0.03618421052631579,0.08223684210526316
IRF8,0.06743421052631579,0.05756578947368421,0.06907894736842106,0.08388157894736842
VEZF1,0.027960526315789474,0.027960526315789474,0.019736842105263157,0.08552631578947369
SREBF2,0.12171052631578948,0.13322368421052633,0.0625,0.08717105263157894
HSF1,0.12828947368421054,0.12006578947368421,0.23519736842105263,0.08881578947368421
NFATC2,0.23848684210526316,0.17434210526315788,0.12335526315789473,0.09046052631578948
IRF9,0.20559210526315788,0.29276315789473684,0.22039473684210525,0.09210526315789473
ZNF460,0.1299342105263158,0.06578947368421052,0.06414473684210527,0.09375
ZNF770,0.11677631578947369,0.054276315789473686,0.16282894736842105,0.09539473684210527
MAF,0.4819078947368421,0.15296052631578946,0.16776315789473684,0.09703947368421052
ZNF148,0.08881578947368421,0.07072368421052631,0.17269736842105263,0.09868421052631579
ELK4,0.05756578947368421,0.09375,0.10526315789473684,0.10032894736842106
RELA,0.23684210526315788,0.14638157894736842,0.15460526315789475,0.10197368421052631
POU2F2,0.3026315789473684,0.4917763157894737,0.07236842105263158,0.10361842105263158
GATA3,0.15789473684210525,0.04276315789473684,0.06743421052631579,0.10526315789473684
NR4A1,0.029605263157894735,0.05263157894736842,0.05756578947368421,0.1069078947368421
FOXK1,0.09375,0.09539473684210527,0.2565789473684211,0.10855263157894737
IRF2,0.14309210526315788,0.07236842105263158,0.03289473684210526,0.11019736842105263
REL,0.12006578947368421,0.06414473684210527,0.1069078947368421,0.1118421052631579
ATF6B,0.14967105263157895,0.21052631578947367,0.10361842105263158,0.11348684210526316
FOXJ2,0.21875,0.22039473684210525,0.039473684210526314,0.11513157894736842
CREM,0.08552631578947369,0.05592105263157895,0.16447368421052633,0.11677631578947369
MZF1,0.07401315789473684,0.03453947368421053,0.10855263157894737,0.11842105263157894
ARID5A,0.13157894736842105,0.15625,0.23684210526315788,0.12006578947368421
POU2F1,0.06907894736842106,0.10526315789473684,0.07894736842105263,0.12171052631578948
FOXN3,0.11348684210526316,0.21875,0.13651315789473684,0.12335526315789473
SOX4,0.05098684210526316,0.3223684210526316,0.5032894736842105,0.125
ZNF341,0.6101973684210527,0.3190789473684211,0.06085526315789474,0.12664473684210525
ZNF354A,0.22203947368421054,0.2680921052631579,0.09868421052631579,0.12828947368421054
ZNF35,0.37335526315789475,0.4029605263157895,0.4440789473684211,0.1299342105263158
RBPJ,0.20394736842105263,0.18421052631578946,0.15953947368421054,0.13157894736842105
KLF10,0.11513157894736842,0.07401315789473684,0.22861842105263158,0.13322368421052633
GTF3A,0.15460526315789475,0.16611842105263158,0.2713815789473684,0.13486842105263158
SMAD3,0.38651315789473684,0.41118421052631576,0.20394736842105263,0.13651315789473684
