,Gene name,Mouse gene name
0,KIF18A,Kif18a
1,SPIB,Spib
2,LZTFL1,Lztfl1
3,ZNF543,
4,GTF2B,Gtf2b
5,TTI1,Tti1
6,ELF2,Elf2
7,MZF1,Mzf1
8,RELA,Rela
9,CA8,Car8
10,YY1,Yy1
11,LIF,Lif
12,ZSCAN30,
13,CLDN20,Cldn20
14,NBL1,Nbl1
15,ZNF333,
16,FOSB,Fosb
17,SOX4,Sox4
18,IRF9,
19,IRF9,Irf9
20,EPHX1,Ephx1
21,REXO1,Rexo1
22,ZBTB17,Zbtb17
23,VEZF1,Vezf1
24,PLA2G2F,Pla2g2f
25,KLF2,Klf2
26,ZNF180,Zfp180
27,LEF1,Lef1
28,RIC8B,Ric8b
29,TXNIP,Txnip
30,MAPKAPK2,Mapkapk2
31,BPIFB3,Bpifb3
32,NR3C1,Nr3c1
33,GTF2I,Gtf2i
34,AHR,Ahr
35,CENPN,
36,CENPN,Cenpn
37,SP3,Sp3
38,IL17F,Il17f
39,CEACAM3,
40,ELF1,Elf1
41,ELK4,Elk4
42,MAZ,Maz
43,BCL11A,Bcl11a
44,ZNF100,
45,ZNF100,
46,STAMBP,Stambp
47,DNMT1,Dnmt1
48,CUEDC1,Cuedc1
49,PTH2R,Pth2r
50,NOS2,Nos2
51,ZBTB20,Zbtb20
52,NFAT5,Nfat5
53,KLF4,Klf4
54,CENPT,Cenpt
55,ZNF460,
56,ZNF484,
57,CREB1,Creb1
58,EVX2,Evx2
59,GBP3,
60,IRF7,
61,IRF7,Irf7
62,STAT6,Stat6
63,PARP9,Parp9
64,ZNF766,
65,FOSL2,Fosl2
66,PAX5,Pax5
67,NLN,Nln
68,ETV6,Etv6
69,ZNF384,Zfp384
70,TOMM20,Tomm20
71,KLF6,Klf6
72,ZNF557,
73,ZNF281,Zfp281
74,ZNF611,
75,NFYA,Nfya
76,IKZF3,Ikzf3
77,ZNF354C,Zfp354c
78,RSBN1L,Rsbn1l
79,TJP2,Tjp2
80,REST,Rest
81,CCR1,Ccr1
82,CCR1,Ccr1l1
83,KLF12,Klf12
84,MEF2A,Mef2a
85,FOXP1,Foxp1
86,ZNF267,
87,FUT8,Fut8
88,ZNF776,
89,CENPK,Cenpk
90,NEUROD1,Neurod1
91,PBX3,Pbx3
92,NFATC2,Nfatc2
93,GPT2,Gpt2
94,BCL6,Bcl6
