,Genes,LogChange,LogChange_Thresh
0,TSPAN6,-19.323377564947442,-2.0
1,TNMD,0.0,0.0
2,DPM1,0.7157623020645854,0.7157623020645854
3,SCYL3,2.2043531881261935,2.0
4,C1orf112,-0.08036086966997866,-0.08036086966997866
5,FGR,17.73349659505675,2.0
6,CFH,0.0,0.0
7,FUCA2,0.5236901979755004,0.5236901979755004
8,GCLC,-0.09617624933648738,-0.09617624933648738
9,NFYA,-2.6201488514842395,-2.0
10,STPG1,3.0002064001360393,2.0
11,NIPAL3,0.8753704103020388,0.8753704103020388
12,LAS1L,-0.06009923386979612,-0.06009923386979612
13,ENPP4,0.09883027508175529,0.09883027508175529
14,SEMA3F,0.0,0.0
15,CFTR,0.0,0.0
16,ANKIB1,-1.030679521210346,-1.030679521210346
17,CYP51A1,0.9815578040121755,0.9815578040121755
18,KRIT1,0.008830614770519055,0.008830614770519055
19,RAD52,2.7488659557039568,2.0
20,MYH16,0.0,0.0
21,BAD,1.498288798536496,1.498288798536496
22,LAP3,-0.7920130109748738,-0.7920130109748738
23,CD99,0.34915458874599464,0.34915458874599464
24,HS3ST1,-16.284914920414586,-2.0
25,AOC1,0.0,0.0
26,WNT16,0.0,0.0
27,HECW1,18.80671687106784,2.0
28,MAD1L1,0.7309541581843779,0.7309541581843779
29,LASP1,0.106866304233189,0.106866304233189
30,SNX11,1.6697481147834208,1.6697481147834208
31,TMEM176A,0.0,0.0
32,M6PR,0.8746114992208741,0.8746114992208741
33,KLHL13,0.0,0.0
34,CYP26B1,0.0,0.0
35,ICA1,0.43744133525409656,0.43744133525409656
36,DBNDD1,-5.246332067884939,-2.0
37,ALS2,1.8022577600539536,1.8022577600539536
38,CASP10,-4.0253273701384895,-2.0
39,CFLAR,-0.6592460210115715,-0.6592460210115715
40,TFPI,-1.9942891567821617,-1.9942891567821617
41,NDUFAF7,-0.9961854452782426,-0.9961854452782426
42,RBM5,-0.7626813196353497,-0.7626813196353497
43,MTMR7,-20.649663505872976,-2.0
44,SLC7A2,0.0,0.0
45,ARF5,0.7892296242570385,0.7892296242570385
46,SARM1,23.37917996497732,2.0
47,POLDIP2,-0.11191618632278456,-0.11191618632278456
48,PLXND1,0.06853717019559297,0.06853717019559297
49,AK2,0.9017784813663312,0.9017784813663312
50,CD38,-2.0144157775414375,-2.0
51,FKBP4,-0.5241519694126763,-0.5241519694126763
52,KDM1A,-0.3178475581832012,-0.3178475581832012
53,RBM6,-0.7474159945823504,-0.7474159945823504
54,CAMKK1,-0.2270202402172778,-0.2270202402172778
55,RECQL,-0.03457376754409559,-0.03457376754409559
56,VPS50,-0.24307640243520423,-0.24307640243520423
57,HSPB6,0.0,0.0
58,ARHGAP33,-3.8178214910654886,-2.0
59,NDUFAB1,0.5132137847193985,0.5132137847193985
60,PDK4,0.0,0.0
61,SLC22A16,16.733503215074276,2.0
62,ZMYND10,0.0,0.0
63,ABCB5,16.566557625412006,2.0
64,ARX,0.0,0.0
65,SLC25A13,20.517069297284174,2.0
66,ST7,-1.1430574369144284,-1.1430574369144284
67,CDC27,0.876035037274747,0.876035037274747
68,SLC4A1,-19.212346428492072,-2.0
69,CALCR,0.0,0.0
70,HCCS,-0.6162785412562133,-0.6162785412562133
71,DVL2,1.5637596675749994,1.5637596675749994
72,PRSS22,0.0,0.0
73,UPF1,-1.5147286151343695,-1.5147286151343695
74,SKAP2,0.07515100895671066,0.07515100895671066
75,SLC25A5,0.6510369859515268,0.6510369859515268
76,CCDC109B,0.3183972079700701,0.3183972079700701
77,HOXA11,0.0,0.0
78,POLR2J,0.8032219390461627,0.8032219390461627
79,DHX33,-2.6842899668893385,-2.0
80,MEOX1,-24.953127110384816,-2.0
81,THSD7A,0.0,0.0
82,LIG3,0.34389455138098723,0.34389455138098723
83,RPAP3,0.0467263004639053,0.0467263004639053
84,ACSM3,17.582075595550357,2.0
85,AC004381.6,0.0,0.0
86,CIAPIN1,1.7451716749524528,1.7451716749524528
87,SPPL2B,0.9220181132212697,0.9220181132212697
