Genes,Naive,Early_Extra_GC_Tfh,Late_Extra_GC_Tfh,GC Tfh
TSPAN6,0.8506465756578799,0.1924369100388815,0.6560187685022151,1e-06
TNMD,1e-06,1e-06,1e-06,1e-06
DPM1,9.534604614670023,16.793054659327115,9.336385943314951,15.333620793006075
SCYL3,4.3449605898397,1.1402007139376897,1.3857429510212906,6.38644400565764
C1orf112,1.519601313026791,4.301686803610602,0.8110482137755726,0.7671064597217775
FGR,5.269778486563875,4.7420812916077,1e-06,0.2179286874209595
CFH,1e-06,1e-06,1e-06,1e-06
FUCA2,3.4364723140301727,11.78569754360581,4.474014316255843,6.431967295152043
GCLC,1.1982048946652741,2.0811174219290125,1.9363794996887373,1.811500841973725
NFYA,12.903617100770314,16.86224797581121,54.384191480446,8.8456403762272
STPG1,5.717290023088175,0.2574164739282125,0.28015547798810747,2.2415644918971998
NIPAL3,11.695003482033746,12.598751366713289,5.421616254192378,9.945841307193033
LAS1L,22.77697040031495,17.00986176983962,15.490483241416545,14.858442711025186
ENPP4,5.9950939059157,1.67838854282404,1.8210051069227,1.95012316423844
SEMA3F,1e-06,1e-06,1e-06,1e-06
CFTR,1e-06,1e-06,1e-06,1e-06
ANKIB1,18.86908383040359,3.796595086611255,24.1160407320275,11.804308659294666
CYP51A1,12.09344054812935,13.67518463269972,6.259409644048691,12.359807766173985
KRIT1,2.808515110065435,2.991023230496089,2.0395988123280677,2.052121310263367
RAD52,3.512472416610985,1.3327560594603742,0.42023271698216247,2.8247561826052774
MYH16,1e-06,1e-06,1e-06,1e-06
BAD,13.801241393331376,19.451895998280175,6.925434782836867,19.56486764978593
LAP3,25.161711557269925,22.589197454766374,46.06452882938802,26.60400128167825
CD99,36.43252124538855,52.7036594512904,20.53034242601125,26.15183679994238
HS3ST1,1.8444231202973524,0.08867244874340625,0.07984502622661076,1e-06
AOC1,1e-06,1e-06,1e-06,1e-06
WNT16,1e-06,1e-06,1e-06,1e-06
HECW1,0.16891504208796151,1e-06,1e-06,0.45854915571060245
MAD1L1,44.0714816534704,27.928363544284124,12.632834052644197,20.967174916698273
LASP1,33.12055977200942,51.863980778675746,85.3943698121362,91.96005048090265
SNX11,13.224261356649068,3.2031373312995,5.241321121327243,16.675736970442433
TMEM176A,1.3174453716409673,5.094525581169635,1e-06,1e-06
M6PR,73.3099683681445,67.15247163690753,21.81240856497885,39.993362500635726
KLHL13,0.2634898743281925,1e-06,1e-06,1e-06
CYP26B1,1e-06,1e-06,1e-06,1e-06
ICA1,4.683859254189698,39.700459919287795,42.5396436781922,57.6072058690032
DBNDD1,6.477928131114598,2.3074436108377876,4.136087520277454,0.10896484371047975
ALS2,3.213433638151063,2.8858666062596754,2.3566112166709,8.21904931272537
CASP10,4.617923747527502,2.58688062484949,3.5131273943126278,0.21574941054674976
CFLAR,65.74296326095887,73.3571304723782,159.66506307352685,101.10137684231115
TFPI,2.5362406954703207,2.237612889657014,11.911833320493963,2.9897698059669846
NDUFAF7,0.37023368836904375,3.0269968598925905,2.428982159913833,1.2177065014772326
RBM5,26.668491471128117,12.556720130239956,17.720010851760804,10.444172331293718
MTMR7,0.457411836792964,1e-06,1.6450083836418699,1e-06
SLC7A2,1e-06,1e-06,1e-06,1e-06
ARF5,44.27384990747407,53.5809150210439,28.853819261755564,49.86376848083202
SARM1,6.077601697135455,0.2989445939149967,1e-06,10.910243499934365
POLDIP2,13.66200305037371,23.82118987550292,18.951021050601028,17.536482450068664
PLXND1,1e-06,1.5486434134018026,31.999611450579618,33.556483943330115
AK2,55.81274850014337,46.809116494917376,16.85101651888854,31.4838965461927
CD38,62.424468412694296,43.35262248122845,125.07426579072211,30.957678762106976
FKBP4,21.956129982993193,9.51546151482856,8.929155548073094,6.209046659352746
KDM1A,2.6942351020035655,3.9619375287354854,2.101159584910808,1.68568875476057
RBM6,12.23171496471372,16.758565642807138,12.469983400945443,7.4279888263011395
CAMKK1,0.16891504208796151,0.12974612942223826,0.2563423473591175,0.21901832585806424
RECQL,6.631520924664275,11.59888043495621,7.267453944083538,7.095361826419598
VPS50,2.0600770053607804,5.3825562589492355,3.8974396270080227,3.293109017369773
