,index,names,A_loading,AUCs,corrs,color
0,0,SMAP2,1.0,0.248355555555556,-0.435870649342276,Blue
1,1,PATJ,1.0,0.0145777777777778,-0.84130333406608,Blue
2,2,CDC14A,1.0,0.0360888888888889,-0.803536185468838,Blue
3,3,TXNIP,1.0,0.0856888888888889,-0.717623841958442,Blue
4,4,PTPRC,1.0,0.512355555555556,0.02140092555937,Red
5,5,RNF144A,1.0,0.0225777777777778,-0.827099689101389,Blue
6,6,AAK1,1.0,0.0295111111111111,-0.814928769681621,Blue
7,7,NCK2,1.0,0.232,-0.464199932097126,Blue
8,8,ARHGAP15,1.0,0.352177777777778,-0.256041289246275,Blue
9,9,RBMS1,1.0,0.104,-0.685907362352469,Blue
10,10,CA8,0.0025352869207369,0.9776,0.884354589273589,Red
11,11,MCF2L2,0.0026887353401029,0.970311111111111,0.816291489067201,Red
12,12,IL21,0.0431236747480311,0.9424,0.829227954202721,Red
13,13,PARD3,0.111150500505312,0.931022222222222,0.767929418668289,Red
14,14,CNTLN,0.0136585016343874,0.925688888888889,0.803274495248964,Red
15,15,CXXC5,0.0682838486217992,0.921066666666667,0.773333130917519,Red
16,16,TEAD1,0.0298113942847432,0.916888888888889,0.75495311194965,Red
17,17,GNG4,0.0791365834348247,0.907288888888889,0.776968771662835,Red
18,18,CD8B,0.0206274038657554,0.867022222222222,0.687940973056668,Red
19,19,ATP5MC3,0.0763741525614467,0.848711111111111,0.60402885325143,Red
20,0,CHI3L2,1.0,0.936088888888889,0.756893979467716,Red
21,1,AL450352.1,1.0,0.987022222222222,0.845087824172465,Red
22,2,PTPN14,1.0,0.999644444444444,0.897697710208236,Red
23,3,PDCD1,1.0,0.993777777777778,0.858705244436683,Red
24,4,MCTP1,1.0,0.976711111111111,0.85346195088057,Red
25,5,UST,1.0,0.942222222222222,0.765975187834786,Red
26,6,ITGB8,1.0,0.979111111111111,0.889732451670603,Red
27,7,CDK6,1.0,0.992,0.852188692579042,Red
28,8,TMEM178B,1.0,0.963022222222222,0.842178504316888,Red
29,9,NCALD,1.0,0.999644444444444,0.870069372248128,Red
30,10,KSR2,1.0,1.0,0.885795742710081,Red
31,11,SMAD1,0.894436435217191,0.9984,0.880749286708467,Red
32,12,AC004585.1,1.0,0.997155555555556,0.87004228176163,Red
33,13,TOX2,1.0,0.995555555555556,0.858410574671571,Red
34,14,DTHD1,0.62064837590064,0.991555555555556,0.894077006886618,Red
35,15,DRAIC,1.0,0.990222222222222,0.870838173233233,Red
