,Genes,heat,in_geneset
0,NAB1,1060.0,False
1,TBC1D1,967.0,False
2,AFF1,959.0,False
3,ZMYND11,731.0,False
4,LPP,709.0,False
5,MSI2,672.0,False
6,HTATIP2,625.0,False
7,SH3BP2,512.0,False
8,PSMA1,511.0,False
9,RBM34,500.0,False
10,LRBA,499.0,False
11,CLLU1OS,494.0,False
12,CLLU1,493.0,False
13,GGPS1,486.0,False
14,MAPKAP1,482.0,False
15,TRIB1,462.0,False
16,WBP1L,450.0,False
17,NUBP1,445.0,False
18,CRACR2A,430.0,False
19,HECTD4,428.0,False
20,TRAFD1,413.0,False
21,RCAN3,408.0,False
22,AFF3,406.0,False
23,ERP29,395.0,False
24,NAA25,395.0,False
25,TMEM116,394.0,False
26,MAPKAPK5,394.0,False
27,ADAM1A,394.0,False
28,IL33,390.0,False
29,PRMT7,384.0,False
30,TIPARP,384.0,False
31,SLC2A5,379.0,False
32,C3orf58,372.0,False
33,TMEM200A,370.0,False
34,NFKB2,357.0,False
35,NIPAL3,356.0,False
36,ST13P4,354.0,False
37,DIAPH3,353.0,False
38,NSMCE2,352.0,False
39,DLEU1,346.0,False
40,SGPP2,346.0,False
41,MORN1,338.0,False
42,AKAP1,336.0,False
43,RERE,334.0,False
44,SLC9A9,327.0,False
45,KIAA0196,327.0,False
46,FAM210A,324.0,False
47,RNMT,323.0,False
48,HMOX2,320.0,False
49,PPWD1,318.0,False
50,ZNF572,316.0,False
51,SGMS1,314.0,False
52,CDYL2,308.0,False
53,ENO1,307.0,False
54,FGD3,299.0,False
55,CHD7,299.0,False
56,SLC10A6,296.0,False
57,GLS,293.0,False
58,SYTL3,291.0,False
59,EPB41L5,288.0,False
60,TULP4,287.0,False
61,PRCAT47,287.0,False
62,SERAC1,286.0,False
63,DLEU2,283.0,False
64,TRIM13,283.0,False
65,KCNRG,283.0,False
66,MLANA,279.0,False
67,TOX2,279.0,False
68,RIC1,279.0,False
69,KIAA2026,279.0,False
70,RANBP6,279.0,False
71,BTD,276.0,False
72,TMEM181,272.0,False
73,PLCL1,272.0,False
74,C16orf46,271.0,False
75,TET2,270.0,False
76,INSC,267.0,False
77,ATMIN,266.0,False
78,GTF2H5,265.0,False
79,FLJ42393,264.0,False
80,SH2D4A,262.0,False
81,B3GALNT2,262.0,False
82,ARRDC2,260.0,False
83,PDE3B,259.0,False
84,ADD1,258.0,False
85,MTFR1L,258.0,False
86,PAX3,258.0,False
87,GAPVD1,256.0,False
88,NFIA,255.0,False
89,THG1L,254.0,False
90,C4orf36,254.0,False
91,PTTG2,252.0,False
92,DTHD1,250.0,False
93,PTHLH,250.0,False
94,SYNJ2,248.0,False
95,LEKR1,248.0,False
96,CSGALNACT1,247.0,False
97,OAZ3,246.0,False
98,SH3D19,245.0,False
99,COPB1,243.0,False
100,DCLK2,242.0,False
101,BAZ2B,240.0,False
102,CCNL1,240.0,False
103,TRIM8,237.0,False
104,PARP11,237.0,False
105,FAM72D,237.0,False
106,CALCA,236.0,False
107,BTG1,235.0,False
108,MYO6,234.0,False
109,H6PD,234.0,False
110,ARL3,231.0,False
111,RABEPK,230.0,False
112,MAST2,229.0,False
113,HMGCR,229.0,False
114,GRHL2,226.0,False
115,SFXN2,226.0,False
116,MFSD13A,224.0,False
117,CYP17A1,224.0,False
118,ANKDD1B,223.0,False
119,TBCE,223.0,False
120,C10orf95,222.0,False
121,TSHR,220.0,False
122,AOAH,220.0,False
123,UST,219.0,False
124,COL4A3BP,219.0,False
125,PIK3R1,216.0,False
126,PRMT8,214.0,False
127,ABCB9,213.0,False
128,CYP2R1,211.0,False
129,CMPK2,210.0,False
130,CCDC91,208.0,False
131,DIP2C,206.0,False
132,LONRF2,205.0,False
133,AKAP10,204.0,False
