,Genes
0,NID1
1,BACH2
2,MAP3K7
3,DRAIC
4,GPR137B
5,TRPS1
6,CBLB
7,NDRG1
8,TFB1M
9,CHGB
10,SCAF8
11,ANKS1B
12,TRDMT1
13,LCP2
14,CFAP36
15,RGS10
16,UBASH3A
17,IGHM
18,TEDC1
19,PDZD8
20,CPA3
21,CDYL2
22,CTSB
23,PARD3B
24,ICOS
25,ARHGAP26
26,SLA
27,TRIB1
28,ZIC4
29,TESPA1
30,MUCL1
31,WWOX
32,AUTS2
33,SHLD1
34,LRRC8D
35,CAV1
36,GTDC1
37,HBS1L
38,TLE3
39,DYNLT1
40,CACUL1
41,MCM6
42,LDLR
43,SPC24
44,LRRN3
45,UST
46,UXS1
47,TRMT112P2
48,TNRC6B
49,MTPN
50,SNX9
51,ZNF280D
52,ZMIZ1
53,GALNT2
54,RSU1
55,ISG20
56,AMPD3
57,GOLGA5P1
58,ME3
59,HIKESHI
60,TCAIM
61,RALGDS
62,MACF1
63,NDUFS5
64,MALSU1
65,CNIH3
66,MBNL1
67,RASA1
68,SLC14A2
69,MCCC2
70,PDE4D
71,SLC37A1
72,FDFT1
73,BACH1
74,RAB30
75,MLLT3
76,ARHGAP18
77,MCTP1
78,NEAT1
79,MALAT1
80,PAQR8
81,OGDH
82,ZMIZ2
83,GSDME
84,LAMA3
85,MRTFB
86,PLCL2
87,CDC7
88,TGFBR3
89,ARHGAP21
90,SERP2
91,GASAL1
92,INPP5F
93,BLZF1
94,NFIA
95,SNRPCP19
96,CASC19
97,SLC25A38P1
98,TNFSF18
99,PTMAP9
100,MET
101,AFF1
102,TXNL1
103,ATP9B
104,FAM83F
105,GRAP2
106,GMPS
107,MDM1
108,SFXN3
109,LZTS2
110,WDR37
111,PIK3R1
112,ST6GAL1
113,TRABD
114,TM2D1
115,EDDM3CP
116,ADH5P2
117,IFI44
118,GLIS1
119,LRP8
120,NUP35
121,BCAT1
122,DOCK9
123,PACRGL
124,SLIT2
125,RASGEF1B
126,IMPAD1
127,VTA1
128,SLC35F3
129,MCF2L2
130,B3GNT5
131,HIGD1AP18
132,GAPLINC
133,ANXA5
134,LYST
135,KIAA0825
136,SYNE1
137,ADO
138,KSR1
139,BEND4
140,ESR2
141,SYNE2
142,CD99
143,ADAMTS7P4
144,PITRM1
145,ATG7
146,SEC61A2
147,ENDOD1
148,CSRNP1
149,LSM4
150,BCL2
151,AMZ2P1
152,GNA13
153,TNIP3
154,HMGB1
155,TMEM232
156,AQR
157,GOLGA8A
158,LIMS1
159,ZBTB20
160,ZBTB20-AS5
161,PMS2P1
162,CCR4
163,IBTK
164,TENT5A
165,YWHAZ
166,SVIL
167,GATB
168,DYRK2
169,EIF3H
170,ZYX
171,PCYT1A
172,TANK
173,RBMS1
174,SUPV3L1
175,HK1
176,ARID1B
177,PLD1
178,MAP3K21
179,ESD
180,LRCH1
181,RGS1
182,SGCE
183,JAG1
184,MKKS
185,YAF2
186,PPHLN1
187,CLDN23
188,ERI1
189,TNFAIP8
190,B3GALNT2
191,FOXC1
192,CUEDC1
193,SESN3
194,CEP57
195,CDKAL1
196,UTP11
197,IFRD1
198,FAM53B
199,SMIM12
200,MICAL2
201,PVT1
202,CTNNAL1
203,ATXN1
204,DNM3
205,TAF5L
206,C1ORF105
207,TPRG1
208,SH3KBP1
209,PRR13P1
210,MAML2
211,RIPOR2
212,NSMCE2
213,AXIN2
214,CAMK2D
215,ANK2
216,TOX2
217,DYRK1A
218,PTK2B
219,BTF3P12
220,PDE4B
221,SMYD3
222,FRMD4B
223,INPP4B
224,TRERF1
225,FAM184A
226,ARID5B
227,CEMIP2
228,ILRUN
229,EMX2OS
230,PPP1R16B
231,EXT1
232,CMTM6
233,PDE1B
234,RAPGEF6
235,HJURP
236,LDLRAD4
237,ARL6IP5
238,RYBP
239,ADSL
240,TBL1X
241,PTPN13
242,PACSIN1
243,CSGALNACT1
244,LMNA
245,ST13P4
246,RAB27A
247,FOXP1
248,CHMP6
249,GDF10
250,TRAK1
251,WASF3
252,DGKG
253,PPARGC1A
254,LARP4
255,OSBPL3
256,IPCEF1
257,RGS2
258,SPSB1
259,SORL1
260,ATAD2
261,LCOR
262,HMGN2P35
263,BCL2L14
264,SCML4
265,SLAMF6
266,IATPR
267,INSM1
268,RALGAPA2
269,LBH
270,CEP128
271,TMEM245
272,PPP4R1L
273,PARD3
274,ANTXRL
275,KDM6A
276,SOBP
277,SEMA4D
278,IQGAP2
279,RGS6
280,CHD2
281,RGMA
282,EFHC1
283,SUB1
284,HSPA8P1
285,PDHA1
286,ECRG4
287,ARHGEF3
288,GRB10
289,ZMYM5
290,RANBP9
291,ZNF608
292,UBC
293,SLC2A2
294,VAV3
295,ATP9A
296,UTS2B
297,ELP1
298,TNRC6A
299,ATP2B1
300,COTL1
301,CRISPLD2
302,RGS9
303,STK40
304,PRDM14
305,LGMN
306,MAPK8
