Prot_1,Prot_2
SP1,STAT3
AKT1,PIK3CA
AKT1,FOXO1
AKT1,NOTCH1
PTPN11,STAT3
PTPN11,STAT1
PTPN11,PDCD1
CUX1,FOXP1
CUX1,FOXO1
ITCH,NOTCH1
ITCH,CXCR4
IL6R,IL6
STAT6,STAT3
STAT6,IRF4
ICOS,ICOSLG
IL21,IL21R
BCL6,IRF4
BCL6,REL
BCL6,ZBTB17
BCL6,BCL11A
NR4A1,STAT3
IRF1,STAT3
IRF1,STAT1
IRF9,STAT1
NOTCH1,NFKB1
PDCD1,PDCD1LG2
PDCD1,CD274
IRF7,STAT1
MYL12B,FOXP1
ZNF557,STAT3
ATF4,BATF
ATF4,MAF
SPTB,STAT1
UBE2F,STAT1
IL2,IL2RA
IL2,IL17A
REL,IRF4
LEF1,EGR1
CA8,STAT3
PAFAH1B2,STAT3
ETS1,FOXO1
SATB1,FOXP1
SATB1,FOXO1
JUN,BATF
BATF,JUNB
BATF,JUND
BATF,IRF4
MAPKAPK2,STAT3
RELA,STAT3
RELA,IRF4
MAF,AHR
HIF1A,STAT3
IFNG,IFNGR2
IFNG,IFNGR1
NFATC2,IRF4
STAT5B,STAT5A
STAT5A,PPARG
CIITA,STAT1
CIITA,IRF4
CIITA,PRDM1
IRF4,STAT4
IRF4,SPIB
IRF4,ETV7
DNMT1,STAT3
IFNGR1,STAT1
IFNGR1,IFNGR2
BPIFB3,STAT1
PPARD,STAT3
ATF3,STAT3
PARP9,STAT1
NCOA1,STAT3
NR3C1,STAT3
GBP1,STAT1
STAT3,ZNF281
STAT3,STAT1
STAT2,STAT1
