Prot_1,Prot_2
RNF11,UBA52
RNF11,ZNF180
RNF11,STAMBP
RNF11,SPSB1
RNF11,POLI
GBP5,GBP1
C6ORF120,B3GNT3
NID2,ETV6
ZNF707,ZNF783
ZC3H10,FOSB
ZC3H10,NFYA
ZC3H10,POU2F1
ZC3H15,JUN
ZC3H14,EXOC7
RNF111,CREB1
FOXQ1,ZNF143
FOXQ1,ZBTB33
FOXQ1,CUX1
FOXQ1,SATB1
DHX9,RELA
DHX9,YBX1
DHX9,JUN
TCOF1,JUN
NSRP1,YY1
H0YIV8,HIF1A
SP1,HDAC1
SP1,NFYC
SP1,BTRC
SP1,YY1
SP1,HDAC4
SP1,SMAD4
SP1,JUN
SP1,GAK
SP1,SMAD2
SP1,SMAD3
SP1,NR2B1
SP1,VHL
SP1,NFYA
SP1,HDAC2
SP1,ABL1
SP1,CRK
SP1,SMARCA4
SP1,RARA
SP1,MYCN
SP1,KLF10
SP1,CCNA2
SP1,ZBTB16
SP1,HCFC1
SP1,CTCFL
SP1,TFAP2A
SP1,KLF6
SP1,EGR1
SP1,FYN
SP1,RB1
SP1,SUMO1
SP1,B3KNW7
SP1,KLF4
SP1,PGR
SP1,PML
SP1,NFKB1
SP1,RELA
SP1,EPAS1
SP1,ATF7IP
SP1,PSMC5
SP1,BRCA1
SP1,SRC
SP1,STAT3
SP1,MAPK3
SP1,CEBPB
SP1,HOXC11
SP1,MECP2
SP1,SP3
SP1,PRKCD
SP1,HMGA1
SP1,NR2F1
SP1,PPARG
SP1,AR
SP1,HIF1A
SP1,RXRA
SP1,HSP90AA1
SP1,GATA6
SP1,NR2A1
SP1,GATA4
SP1,EP300
SP1,MYC
SP1,CTNNB1
SP1,CCNB1
SP1,ESR2
SP1,NCK1
SP1,E2F1
SP1,ESR1
SP1,GRB2
SP1,SUB1
SP1,HNF4A
SP1,TLX3
SP1,SREBF2
SP1,CDK1
SP1,HTT
SP1,TP53
SP1,UBC
SP1,MAPK1
SP1,RNF4
SP1,CREBBP
SP1,POU2F1
XPA,ERCC4
SP3,HDAC1
SP3,LIN54
SP3,TP53
SP3,ESR1
SP3,ADAMTS12
SP3,SUMO2
SP3,PHF21A
SP3,TMEM25
SP3,ITLN1
SP3,POGZ
SP3,CIB3
SP3,HTT
SP3,SGCZ
SP3,HDAC2
SP3,SNRPB
SP3,EP300
SP3,PTPRK
SP3,B4GALT4
SP3,SPANXN2
SP3,STK19
FBL,PRKCZ
FBL,RELA
FBL,CTCF
FBL,ZNF281
FBL,JUN
GTSE1,JUN
GTSE1,FOXJ2
GTSE1,STAMBP
SPPL2B,GTF2B
ATP2A1,JUN
ATP2A2,JUN
ATP2A3,TREML2
NOP2,JUN
ITGA4,YBX1
ITGA4,UBA52
ITGA4,MYL12B
ITGA5,ITGB1
ITGA5,ITGB3
ITGA5,FN1
ITGA5,GRK6
ITGA5,CD81
ITGA5,STAMBP
ITGA5,VIRMA
ITGA5,LGALS8
ITGA5,FBXO6
ITGA5,UBC
ITGA5,ANGPT2
ITGA5,GIPC1
ITGA5,CD9
ITGA5,SHARPIN
PHLDA3,MYO1D
PHLDA3,SAMHD1
GAP43,CCR1
TIPRL,DYNLT1
FBXL17,SUFU
GRN,ELK1
GRN,ZNF180
GRN,YY1
GRN,KLF3
BCL2A1,REL
HLF,BATF
SERPING1,NR4A1
SMAD9,ZNF143
SMAD9,FLI1
SMAD9,ZNF484
SMAD9,PPARD
SMAD9,ZNF557
SMAD4,RELA
SMAD4,UBA52
SMAD4,RRAS2
SMAD4,JUN
SMAD4,STAT1
SMAD4,JUNB
SMAD4,FOXO3
SMAD7,LEF1
SMAD1,UBA52
SMAD1,ZNF76
SMAD2,LDLRAD4
SMAD2,LEF1
SMAD2,UBA52
SMAD2,JUN
SMAD2,YY1
SMAD2,TGIF1
SMAD3,LDLRAD4
SMAD3,FLI1
SMAD3,RUNX1
SMAD3,RRAS2
SMAD3,NR3C1
SMAD3,EGR1
SMAD3,JUN
SMAD3,FOS
SMAD3,YY1
SMAD3,HIF1A
SMAD3,LEF1
SMAD3,RELA
SMAD3,LACRT
SMAD3,FOXO3
SMAD3,TGIF1
SMAD3,NR4A1
SMAD3,ATF3
PLRG1,JUN
CKS1B,REL
CKS1B,IKZF1
CKS1B,IKZF3
CKS1B,TCF12
CKS1B,PAX5
AMY1C,GTF2B
SPTLC1,JUN
SPTLC1,ELK1
TCEA2,CENPT
TCEA2,IKZF1
TCEA2,MDK
MTCL1,SAMHD1
ATP1A3,IL17A
ATP1A1,JUN
H3C15|H3C14|H3C13,ELK4
RBMXL1,JUN
TSNARE1,NDE1
FRG1,JUN
SIRPA,DYNLT1
SIRPA,PTPN11
MIEN1,REL
SP2,QRICH1
SP2,FHL2
SP2,ZDHHC17
SP2,UBQLN1
SP2,BANP
SP2,PRKCA
SP2,YWHAG
SP2,HLA-A
SP2,LMO3
SP2,FGFR3
SP2,MCM7
SP2,NFYC
SP2,CINP
SP2,GSN
SP2,SETDB1
SP2,B3KM38
SP2,NRF1
CNTF,ICA1
SP4,FOXP2
SP4,LMO3
SP4,AP1M1
SP4,MCRS1
SP4,LOC730441
SP4,ADAM15
SP4,ATXN7L1
SP4,PELI2
SP4,SERF2
SP4,CIB3
SP4,VEZF1
SP4,HYPK
SP4,VIRMA
SP4,COL8A1
SP4,NRF1
SP4,SPANXN3
SP4,PNKP
SP4,A0A024R5Q1
SP4,LNX1
SP4,NFYC
SP4,PRR20A
SP4,PRR20B
SP4,PRR20C
SP4,PRR20D
SP4,PRR20E
SP4,POGZ
SP4,ELK3
SP4,POU2F1
SP4,HIVEP1
SP4,SPANXN2
SP4,GTF2A1
YJU2,REL
YJU2,ZNF143
PNP,TGIF1
CREBBP,ETS1
CREBBP,RELA
CREBBP,CREB1
CREBBP,RUNX1
CREBBP,NFATC2
CREBBP,HIF1A
CREBBP,JUN
CREBBP,GTF2B
CREBBP,FOS
CREBBP,STAT2
CREBBP,NCOA1
CREBBP,STAT1
CREBBP,IRF3
CREBBP,HMGA1
CREBBP,FOXO3
CREBBP,SREBF2
CREBBP,FOXO1
CREBBP,NR3C1
CREBBP,STAT6
CREBBP,ATF4
PNN,DYNC1I2
Q5VYC3,APOA1
AAAS,REL
LAP3,ZNF76
LAP3,JUN
A6PW31,NFYC
A6PW31,CREB1
SIX4,JUN
MR1,ERMP1
CNPY3,SELENON
HMG20A,PTH2R
HMG20A,THAP11
HMG20A,PAWR
HMG20A,MBD2
ZFP82,TRIM33
MARCHF6,SQLE
RFX5,RFXANK
RFX5,ECT2
RFX5,GIGYF2
RFX5,CDC73
RFX5,CIITA
RFX5,KIF23
RFX5,APEX1
RFX5,H3C1|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8|H3C10|H3C11|H3C12
RFX5,COL1A2
RFX5,ANKRA2
RFX5,RFXAP
RFX1,FOXJ2
RFX2,FOXJ2
RFX3,FOXJ2
RFX3,CREB1
RFX3,MBD2
IBA57,JUN
ABCE1,JUN
UQCRC2,JUN
RETSAT,TREML2
KHDRBS1,JUN
H2AC20,ELK4
TARS1,JUN
TARS3,JUN
TARS3,ATF4
DPYSL2,LEF1
BOP1,KLF10
IGFBP5,CLDN20
SKP2,FOXO3
SKP2,FOXO1
GJA8,ERMP1
ZNF114,CUEDC1
ZNF114,SUFU
KDM3A,HIF1A
NIF3L1,STAT3
NOP9,JUN
NOP9,CDYL
NOP9,LCOR
APIP,NDE1
EIF2B4,JUN
EIF2B4,FOS
EIF2B4,UBE2F
EIF2B5,JUN
EIF2B3,JUN
EIF2B1,JUN
PRKAR2A,JUN
PRKAR2B,DYNC1I2
MAGT1,JUN
TXNIP,HDAC1
TXNIP,TXN
TXNIP,SMURF2
TXNIP,TP53
TXNIP,NLRP3
TXNIP,ITCH
TXNIP,WWP1
TXNIP,IL12RB1
TXNIP,PTPN11
TXNIP,VAV2
TXNIP,FHL1
TXNIP,UBC
TXNIP,GATAD2B
TXNIP,MTA1
TXNIP,RGMA
MLF1,GRK6
QPRT,SATB1
QPRT,SUFU
MLF2,GRK6
TMEM14B,SQLE
TMEM14B,NCALD
TMEM14B,CNIH3
TMEM14B,NINJ1
FANCF,FANCE
FANCF,FAAP20
MECOM,FOXJ2
CLIC4,REL
ITGA3,ELK4
LARP4B,JUN
KRTAP2-3,YY1
TMEM147,SHISA3
