Set,Vinuesa,Hart,Crotty,Genes
Random_CoreNet_GRN_sig_only_size_match_0,2,2,2,"{'PPP4R3B', 'ITGA8', 'GALNT12', 'CDKL4', 'TRMT61A', 'FAM185A', 'C11ORF52', 'LTN1', 'SLC17A9', 'CUTC', 'TMEM88', 'B4DLN1', 'CCN5', 'NDEL1', 'ARP3BETA', 'DNAJB2', 'CDC42EP1', 'C17ORF67', 'E9PLD3', 'USB1', 'PRKCI', 'PSMC6', 'ABHD17A', 'SMP1', 'POLE3', 'MCOLN2', 'Q9Y6E3', 'TBC1D14', 'SLC2A4RG', 'F8W853', 'AQP10', 'G3V1Q1', 'LINC00242', 'IL17RA', 'ZNF467', 'KRTAP1-3', 'CLPB', 'Q59EJ3', 'SULT1A3', 'LHFPL4', 'ZNF440', 'PRKCQ', 'LOXL4', 'C9JTL3', 'NR1D2', 'SRBD1', 'PAF1', 'CUL3', 'ATG4C', 'SUMO1', 'NRXN1', 'DHFR', 'LMOD2', 'TBC1D4', 'LOC51064', 'MUC5AC', 'PHF11', 'ARHGAP1', 'HOMER1', 'H0YGH3', 'ABCB7', 'RAB37', 'NR1H4', 'PMS2', 'ESCO1', 'PKP4', 'CSF3', 'SERPINB1', 'PPP4R2', 'IAH1', 'PHPT1', 'HOMER2', 'KRTAP5-11', 'MYO1B', 'TSSK4', 'SYT2', 'ODR4', 'RGR', 'TCHP', 'NBN', 'MIIP', 'Q86U72', 'CTDNEP1', 'Q6VEQ4', 'TRPM6', 'FAM78A', 'RAB15', 'PGLYRP3', 'PLEKHF2', 'NAP1L4', 'STARD7', 'SORBS3', 'MIPOL1', 'PLD2', 'ITPR3', 'PDLIM1', 'CASKIN1', 'HSPB9', 'LPAR2', 'PICK1', 'CD79B', 'TRUB1', 'C2ORF73', 'RNF151', 'QDPR', 'DPY30', 'ETV4', 'PPP3CB', 'RASSF5', 'Q6ZR29', 'H2BC18', 'RAP1GAP', 'PLCB1', 'SPDYE2B', 'PID1', 'DHRS4', 'TRPS1', 'IL6R', 'IFNG', 'LRRC23', 'FMNL1', 'POLR1B', 'MYBPC3', 'CHCHD2', 'PROCA1', 'EDAR', 'SYT10', 'TBC1D25', 'ZNF805', 'ESAM', 'NEU3', 'ESCO2', 'DMA', 'SARG', 'FAM120B', 'OTULIN', 'DDX3Y', 'RPGR', 'SUN1', 'AKAP9', 'LYVE1', 'CRSP9', 'MNX1', 'AMIGO3', 'MAPK13', 'HAAO', 'CELF2', 'APOD', 'PARD6G', 'TGOLN2', 'VSTM1', 'PRND'}"
Random_CoreNet_GRN_sig_only_size_match_1,1,1,1,"{'ZNF69', 'Q8N4W5', 'ARMCX4', 'NBPF6', 'TPMT', 'AASDHPPT', 'TTLL7', 'ALR', 'SLC26A5', 'CCDC97', 'OFD1', 'MAF', 'PPM1J', 'KDM1A', 'SAXO1', 'NPAS3', 'RPTOR', 'C5ORF34', 'KRT1', 'TIMM22', 'SLA2', 'FUNDC2', 'TAZ', 'GOLGA3', 'PLP2', 'GHRH', 'CELSR3', 'SMIM12', 'GAL3ST2', 'ODAM', 'POLDIP3', 'TTF2', 'REV1', 'ZNF397', 'WASHC5', 'JPT1', 'MORC2', 'ZC3H12C', 'C20ORF96', 'MST075', 'TMPRSS13', 'CHD3', 'ZNF212', 'INTU', 'MBD3L3', 'RNF214', 'RBMS2', 'Q5VXS9', 'UFSP1', 'ZNF667', 'MTSS1', 'TRMU', 'CBFA2T2', 'TSSK1B', 'DAP3', 'CDH13', 'PIP5K1B', 'CLK3', 'SPIRE1', 'BIK', 'OR2S2', 'MCM3', 'SCGB1D1', 'SPDYE6', 'TAFA4', 'HAUS4', 'DEFA6', 'NFATC4', 'FGR', 'E2F3', 'Q8N9J2', 'PRR16', 'ARHGAP5', 'RBM5', 'IFNA8', 'WWP1', 'ZBTB7A', 'ANKDD1B', 'SOX12', 'RNP24', 'PLRG1', 'P2RY6', 'DOCK3', 'FAHD1', 'RBM18', 'UNC79', 'AQP9', 'TPM2', 'ZFAND2B', 'NMD3', 'SSBP4', 'ZNF433', 'MLX', 'VARS2', 'GLA', 'Q8IZP5', 'CCDC187', 'DKFZP781L0540', 'B0UZY3', 'ZNF107', 'SPACA3', 'Q5QP88', 'GSR', 'CGB7', 'CDK3', 'ADA2', 'DAPK1', 'ANXA4', 'SHROOM1', 'TMEM129', 'SLC14A1', 'OR5H1', 'H0YHG0', 'DGCR2', 'AIDA', 'RYR1', 'ZNF446', 'CERS3', 'PRPF31', 'RFK', 'UXS1', 'NUTM2B', 'PDE4DIP', 'PADI2', 'GYS1', 'HSD17B4', 'HCFC1R1', 'ZNF860', 'TMEM208', 'HOXB6', 'RASD1', 'MRPS31', 'PKN1', 'JPT2', 'CEP112', 'TYRP1', 'SMARCAD1', 'TBC1D3K', 'KLHL40', 'MOGAT3', 'TBC1D3C', 'KATNB1', 'FAM171A1', 'NIN', 'CLIP4', 'ABRAXAS1', 'WFDC3', 'TSNARE1', 'NKAPD1', 'GABRG1', 'Q5JUE6', 'SPICE1'}"
Random_CoreNet_GRN_sig_only_size_match_2,3,2,3,"{'MAPKAP1', 'IDH3G', 'C11ORF52', 'ABI2', 'OTUD6B', 'PSG2', 'TIMMDC1', 'DCAF15', 'TMLHE', 'TMEM106B', 'KRTAP4-7', 'PTBP2', 'PDK4', 'NOTCH1', 'EMC4', 'UBE2D3', 'RPS20', 'ACTL6B', 'Q9H891', 'PP9457', 'TRAC', 'TTC37', 'ASXL2', 'ACAN', 'GTSF1L', 'PTPN5', 'QSOX2', 'PBDC1', 'SLMAP', 'ATP6V0D1', 'IL2', 'DKK2', 'HMGB4', 'MOSPD1', 'COQ7', 'HBS1L', 'VIPAS39', 'PAUF', 'NOCT', 'TEX101', 'B0QZE7', 'TVP23C', 'BRDT', 'EDNRB', 'APOL2', 'ZBTB26', 'DAPK3', 'SV2B', 'FLOT2', 'GALNT18', 'TAPT1', 'SLC30A6', 'TPM4', 'ZNF33B', 'STMN1', 'AGRN', 'AVEN', 'OTUB2', 'REEP5', 'F5H4I9', 'NUDT18', 'GAGE10', 'ACBD6', 'FBXL16', 'PLXNA3', 'FGF9', 'TMEM161A', 'KIAA1328', 'DEFA5', 'BDKRB2', 'ABCG5', 'Q8IXL1', 'BCL7A', 'NAP1L5', 'ASPSCR1', 'Q9NWP4', 'PLA2G10', 'FGFR1', 'QSOX1', 'GNPAT', 'RDH13', 'GEMIN6', 'WDR7', 'RAD54L', 'QARS1', 'MAP2K4', 'KEL', 'KRT38', 'IFNAR2', 'MGAT3', 'NYNRIN', 'CAPNS1', 'CCNL1', 'ABCG4', 'B3KXA2', 'TMTC4', 'RARG', 'VWA5B2', 'TRPV5', 'DKFZP547I014', 'CCDC150', 'PIR', 'HECW2', 'TMSB10', 'DYNLT3', 'FAAP20', 'TRPC4', 'Q9H7V3', 'SEC61G', 'PTPRF', 'ZNF160', 'DICER1', 'SHANK1', 'IL2RA', 'HEL-S-70', 'DECR1', 'USP24', 'B1AMD2', 'A0A024R5Q1', 'PTPN2', 'LTB4R', 'ZIC1', 'TNFSF14', 'UCN3', 'CACNA1C', 'SSBP3', 'H3BP91', 'ZNF488', 'PDE5A', 'BCOR', 'GMIP', 'SP1', 'TNNT1', 'ANKRD29', 'CEP112', 'B0I1S0', 'SDR39U1', 'Q12914', 'SLC26A2', 'ADARB2', 'DERA', 'TCN2', 'NDFIP2', 'PAFAH1B1', 'DNAJB1', 'SYNPR', 'DDHD2', 'FAM110C', 'ACAA1', 'HS2ST1', 'FANCC', 'TRIM65'}"
Random_CoreNet_GRN_sig_only_size_match_3,0,0,0,"{'WDR25', 'NOM1', 'TBC1D17', 'TBC1D5', 'B4DR88', 'SEC14L2', 'ACADVL', 'KANSL1L', 'CENPBD1', 'ADORA3', 'WNK1', 'MFAP3', 'ITPRIPL2', 'PBLD', 'ERC2', 'TTLL5', 'DNASE1L3', 'RASA1', 'DDX19B', 'H7BXD9', 'RBBP6', 'EIF5B', 'TMEM231', 'POLE3', 'RASGRF1', 'KCNA5', 'VAPB', 'PELI1', 'VAMP5', 'SETD6', 'Q9Y649', 'VPS33B', 'HEPHL1', 'DTNBP1', 'ZNF500', 'PDCD6IP', 'AGL', 'PABIR3', 'ZNF507', 'PRKCQ', 'EPB42', 'RNASE11', 'STK17B', 'SDK2', 'GDAP1', 'AK3', 'EMC8', 'ZNF629', 'SEC22C', 'C1ORF131', 'OOEP', 'NTN1', 'ARAP2', 'ELAVL3', 'FBXO6', 'MT-ATP8', 'NCOA1', 'SRPX', 'TMEM255B', 'SLC12A9', 'CBLC', 'SAP25', 'RARS2', 'ARFIP2', 'ZC3H7B', 'WNT3', 'PTPN18', 'SRSF3', 'C1ORF198', 'PNO1', 'ZMYND11', 'SGPP1', 'PPP1R9A', 'KISS1', 'PAPLN', 'ZNF25', 'TMP_LOCUS_54', 'TAC3', 'Q59EE1', 'NDC1', 'B2RDP1', 'TSSK4', 'RING1', 'EIF2B5', 'TAF7L', 'CFHR5', 'TRIM43', 'CD48', 'CPLANE1', 'UVSSA', 'RPL22', 'LMX1B', 'OTOP2', 'SIK2', 'PDE6H', 'SALL1', 'AMACR', 'SAMD11', 'DDX23', 'GTF2A1L', 'ACE', 'MESD', 'SIGLEC5', 'LINC00526', 'TOMM40L', 'U2SURP', 'FUT2', 'TXN', 'TG', 'OR7D2', 'TAMALIN', 'ERCC6', 'CYHR1', 'UGT1A4', 'RNF4', 'MED8', 'SEPTIN10', 'MPI', 'CD300LG', 'ACTN4', 'GPR37', 'CRYGD', 'USP30', 'USP2', 'TRMT10B', 'MTFP1', 'ALOX15B', 'VXN', 'TRMT1L', 'FBXO44', 'TBC1D26', 'RPL22L1', 'CPT1A', 'CAVIN4', 'FST', 'RAB34', 'KLRB1', 'SNAPC5', 'ACAD9', 'PRRG2', 'STX4', 'SLC30A5', 'WDR83', 'NUDT2', 'ACRBP', 'DNAJC11', 'HEATR6', 'SGSH', 'ANGEL1', 'H1-4', 'KCNS3', 'PICK1'}"
Random_CoreNet_GRN_sig_only_size_match_4,1,1,1,"{'FAM136A', 'FHL3', 'MICA', 'NIBAN1', 'NAP1L3', 'PRICKLE3', 'MEAF6', 'TRIM47', 'SLU7', 'AGPAT4', 'DOCK5', 'USP26', 'MMP7', 'TUBA1B', 'EIF2A', 'ALOX5', 'TOB2', 'A0A384ME25', 'TYR', 'CYREN', 'TMF1', 'Q8N8Y3', 'HBG2', 'HBP1', 'JRK', 'TIMM17A', 'ZNF584', 'CXORF66', 'MTIF3', 'PRB3', 'ABHD4', 'HDX', 'FES', 'LASP1', 'DDR1', 'CDNF', 'PTAFR', 'PACC1', 'DPPA2', 'EPHB3', 'CYB5A', 'H4C7', 'CLPP', 'S1PR1', 'BCLAF1', 'UBE3C', 'ZHX2', 'CNTN4', 'DLG3', 'ADCY7', 'KCNN2', 'WFDC12', 'TRAPPC6A', 'WIPI2', 'ALKBH2', 'DEFB1', 'RNF121', 'DUSP3', 'GJB2', 'TEKT1', 'PCDH18', 'GABRD', 'CCDC197', 'OSM', 'NPIPB3', 'O60536', 'FDFT1', 'PPP5C', 'CCDC91', 'GGCT', 'MPPED2', 'ZNF28', 'NPR3', 'PCDHGA4', 'DDX50', 'NMNAT1', 'PRPF4', 'MYH4', 'HSP90AA2P', 'SMPD4', 'COL8A2', 'C11ORF53', 'H0YLJ5', 'ATP2B1', 'HMG20B', 'RHBG', 'MED26', 'CLEC3B', 'CXCL11', 'ZNRD2', 'PGK2', 'GLIS1', 'ATAD3B', 'TRMT1', 'SNX5', 'GCSAML', 'HSPA1L', 'USP28', 'FAM156A|FAM156B', 'SARS1', 'PFKP', 'PRKDC', 'FAM234A', 'PEX5', 'R3HDM1', 'ATP1A1', 'PTPN12', 'OPN', 'S6BGD6', 'CPB1', 'PIK3CD', 'C16ORF74', 'TMEM184C', 'AP1M2', 'PES1', 'TSPAN15', 'FAM90A16P|FAM90A17P', 'GNAT1', 'PCNT', 'CDK20', 'TBCCD1', 'F2RL1', 'STIP1', 'FANCA', 'ABHD15', 'DENND3', 'CCT6B', 'HERC2', 'ELMOD2', 'Q9BZU1', 'PRC1', 'CISD3', 'Q6ZRA3', 'CDH8', 'ANKRD29', 'FAM167A', 'TMEM268', 'UPI0000411897', 'K7EK94', 'EIF2AK3', 'ZNF875', 'GRAMD2B', 'SNTG2', 'LONP2', 'ADAMTS13', 'L3MBTL1', 'E5KSY5', 'Q9HAA9', 'MTMR1', 'ZCWPW2', 'MAP2K7', 'GTF2H2'}"
Random_CoreNet_GRN_sig_only_size_match_5,0,0,0,"{'EIF3F', 'BCAS3', 'PTPN4', 'GCG', 'FAM118A', 'NET1', 'UBE2NL', 'ITGA5', 'TNPO1', 'POR', 'PBLD', 'SH3BGRL', 'Q5JYB1', 'UCMA', 'SNX21', 'ATF6B', 'NLRP4', 'PTBP1', 'PP9457', 'TMEM61', 'MSMO1', 'GSTP1', 'SULT2A1', 'SELE', 'AMDHD1', 'CD247', 'MOB3B', 'TMEM127', 'GKAP1', 'TEX45', 'MMUT', 'NCF4', 'AOC2', 'VNN2', 'PXDNL', 'UHRF1', 'ACTN2', 'KRTAP4-1', 'ACTL7B', 'RBMS3', 'SCN2A', 'NRCAM', 'DAB2IP', 'PUS10', 'Q5LJB2', 'RFC4', 'P5CR2', 'CCAR2', 'PFKL', 'PPP1CA', 'GTPBP4', 'ZNF614', 'RAB41', 'BCAS1', 'SUMO1', 'SEC22C', 'ELMO1', 'NCOA1', 'PHACTR1', 'FHL5', 'MUC13', 'NR1H4', 'SRSF9', 'LRRC4C', 'TTC30A', 'CDRT15L2', 'LRIG3', 'CENPE', 'STK11IP', 'ZNHIT2', 'RPL37A', 'SCN4B', 'RGPD8', 'ADAMTS10', 'RAD21', 'RGR', 'PAK2', 'STAU1', 'MAP7D2', 'ADTRP', 'SMG1', 'TFPI', 'EHBP1L1', 'GJA5', 'PSKH1', 'CEP104', 'AURKC', 'ZNHIT3', 'NCEH1', 'PDLIM1', 'TCEANC', 'MYL6B', 'BRCC3', 'CBLIF', 'POMGNT1', 'AIG1', 'MESD', 'SLC25A41', 'DHX16', 'IHH', 'TNKS1BP1', 'ORC1L', 'EPOP', 'NFXL1', 'CCDC66', 'CDC42SE2', 'Q53EW4', 'ELAVL2', 'APOBEC3C', 'OR6B3', 'DEFB118', 'CYP2C8', 'CLEC4G', 'TRIM60', 'ATL2', 'ADH1A', 'ADAMTS2', 'LRP2', 'NPDC1', 'EFL1', 'WIPF1', 'ZNF567', 'BCL2L13', 'NUP35', 'ZNF558', 'MMP3', 'FERMT3', 'RIPPLY3', 'EXOSC4', 'TXNRD3', 'PADI2', 'MORN2', 'PLEKHA6', 'FAM220A', 'ATAD2', 'TC2N', 'PCNX2', 'STATH', 'ATOH8', 'CCNA1', 'CLEC2A', 'MRPL23', 'TCN2', 'EDEM3', 'UBQLN4', 'CHD1L', 'J3QTP2', 'FAM133B', 'STK11', 'PKHD1L1', 'KCNK7', 'TRAPPC9'}"
Random_CoreNet_GRN_sig_only_size_match_6,1,1,0,"{'BLMH', 'MISP', 'NR6A1', 'SMIM1', 'PPARA', 'ARPC4-TTLL3', 'SETD7', 'ZC3HC1', 'LRRC32', 'MSANTD4', 'ARL4A', 'REPS2', 'ZNF', 'ABCA5', 'KCNMB1', 'ARRDC1', 'LTBP3', 'B0S7P4', 'SCAPER', 'TAF10', 'H0YLL9', 'TMEM127', 'S1PR5', 'SNX27', 'PCDHGB7', 'OR9A4', 'CEBPB', 'CRMP1', 'STXBP4', 'INPP5F', 'XAGE1A|XAGE1B', 'LILRB5', 'MED12L', 'KLF16', 'NRARP', 'PUSL1', 'FOXD4', 'IRF1-AS1', 'TNS1', 'P0DOX5', 'Q13746', 'GPRIN2', 'WIF1', 'SPATA6L', 'LRATD1', 'RPS2', 'ZNRF2', 'NBPF1', 'KHDRBS2', 'H0Y4F9', 'TXK', 'U2AF2', 'FOXP3', 'SLC25A30', 'LEMD2', 'CSTF2T', 'DHX29', 'CORO2A', 'Q53FG3', 'HIRIP3', 'PADI1', 'PMP2', 'IYD', 'MYO9A', 'TFCP2L1', 'SRFBP1', 'SMG5', 'CD40', 'L2HGDH', 'TAGLN2', 'PITX2', 'GPSM2', 'ZNF248', 'GRM7', 'MAP3K7', 'WDR97', 'GINS3', 'ADGRL3', 'B1AJQ0', 'ZNF575', 'B7Z7S1', 'GMDS', 'CADM2', 'POLR2H', 'MITD1', 'TRIM28', 'ASPH', 'IFI44', 'FHOD1', 'ZNF275', 'CTF1', 'LAGE3', 'CCDC50', 'HSPA1L', 'RNF40', 'CMTM4', 'ANLN', 'ODF4', 'GTF2A1L', 'GOSR2', 'A6PW31', 'Q4VXQ5', 'AKT2', 'Q9BWQ7', 'XCL1', 'ZNF563', 'ETFRF1', 'NEMF', 'TAL1', 'Q5XG85', 'MRPS22', 'AGTPBP1', 'E9KL44', 'Q6ZS93', 'CERCAM', 'CHRNA6', 'CRISP3', 'USP16', 'SRARP', 'MASTL', 'FATE1', 'ERVFRD-1', 'BCL2L15', 'A2M', 'BNIP3', 'ZNF446', 'WDR13', 'PSENEN', 'THRSP', 'SLC11A2', 'RIPPLY3', 'SETDB1', 'Q8N1H4', 'CIB3', 'PSMG4', 'PTH', 'Q8N7T0', 'AKAP8', 'USP27X', 'AXIN2', 'DCAF17', 'AKT1', 'FRA10AC1', 'PPP3CA', 'NEDD8', 'FEN1', 'DCP1A', 'CHURC1', 'RPL11', 'EPB41', 'CD44', 'ZW10'}"
Random_CoreNet_GRN_sig_only_size_match_7,0,0,1,"{'AKR7A2', 'MAEL', 'WIPF2', 'B4DE84', 'B4DR88', 'CLHC1', 'KLHL30-AS1', 'SEC14L2', 'B4DT49', 'LAS2', 'IDH2', 'KLF8', 'EID2B', 'ISL2', 'ATG4B', 'SRSF4', 'ZNF223', 'OLFML3', 'RIPOR2', 'GHDC', 'Q96FU4', 'ZNF296', 'DNAJC10', 'GAR1', 'STRN', 'PTPA', 'Q9Y5B2', 'TSEN34', 'ACTL9', 'CYREN', 'DSG4', 'TBC1D30', 'SLC25A3', 'EPB41L1', 'DDX60L', 'ADI1', 'DHRS1', 'GPR180', 'GNB1L', 'ABCC9', 'FOXD1', 'IFT74', 'NLRP2', 'ANP32B', 'ACOT11', 'SSC4D', 'RAD51C', 'GPIHBP1', 'GDI2', 'OR10G4', 'CSF1R', 'SUFU', 'USP17L7', 'ATF7', 'MAGEA1', 'EVI2B', 'BBS10', 'CD46', 'ARPP21', 'MYD88', 'PATJ', 'ZNF705D', 'OTUB2', 'CBP', 'MAP2', 'DNAJC2', 'COPRS', 'DCAF4L2', 'ACP3', 'B4DLR9', 'HACL1', 'ESCO1', 'EMC1', 'TGFA', 'PDCL2', 'APBB3', 'MLLT1', 'ARV1', 'PPP2CA', 'DKFZP586J0619', 'BASP1', 'MYC', 'TP53INP2', 'TRPM7', 'DMAC1', 'ROR2', 'BANF1', 'WDFY1', 'RIMBP2', 'SLC2A6', 'ANAPC13', 'INPP5B', 'ZNF577', 'FAM221B', 'SLC16A13', 'ETV4', 'ACAD11', 'Q96IQ6', 'MAN2A2', 'NRXN3', 'EXOC1', 'PPP2R2D', 'CLK1', 'RBM42', 'ANP32E', 'UQCRH', 'NEK11', 'BTN3A3', 'PABIR2', 'G5E9L5', 'FOXA2', 'H0YAA0', 'SPATA18', 'ZNF695', 'SEPTIN10', 'GNPDA2', 'NYAP2', 'ZMYM5', 'CRYBB3', 'MRPS11', 'IFITM3', 'CHD1', 'FBLN5', 'IGKV2D-28', 'PLA2G12A', 'PTBP3', 'CST1', 'FBXO44', 'ZNF805', 'DKFZP762F2011', 'CDCA8', 'LARS2', 'CLUH', 'RASD1', 'MRPL48', 'PLD3', 'OTUD3', 'RASL11A', 'ULK3', 'CYB5R3', 'METTL14', 'DERA', 'B4E0L1', 'CASP8AP2', 'AEBP1', 'CACNA2D1', 'ZBTB25', 'RTN1', 'SGSM3', 'INPP5A', 'ZNF835', 'PCBP3'}"
Random_CoreNet_GRN_sig_only_size_match_8,0,0,0,"{'Q8N1K8', 'IGFBP2', 'MEA1', 'RBL1', 'TRIM52', 'PDZK1P1', 'RTN2', 'CCNI2', 'LY96', 'FGF12', 'EBF2', 'AMIGO1', 'SLC4A1AP', 'LOC200261', 'ERMN', 'C4ORF46', 'Q9BS57', 'A9R9P8', 'GPR20', 'ZNF296', 'KPNA6', 'FBXO3', 'CTR9', 'ZXDC', 'GOLGA3', 'SCGN', 'SLC32A1', 'CEACAM21', 'ZC2HC1B', 'TRABD', 'KRTAP10-4', 'POC1B', 'CKS1B', 'XXYLT1', 'SACS', 'NCBP3', 'FNBP4', 'CTDP1', 'GIPC3', 'PIK3R2', 'STMN3', 'KCNN3', 'CFAP20', 'GUCA1B', 'HRNR', 'SPTLC3', 'PNPLA1', 'MLN', 'MAPK10', 'CUL7', 'SLC35G2', 'RAMAC', 'CERS5', 'COL9A2', 'ZNF667', 'ACTN3', 'TNIP2', 'TNNI2', 'VKORC1L1', 'CAMKK2', 'PHLDB1', 'OXCT1', 'OSGIN2', 'FAHD2B', 'H2BC3', 'XCR1', 'FOXC1', 'FAM241B', 'RAB11A', 'SNX20', 'C4ORF3', 'CRYAA2', 'CCDC170', 'RPGRIP1L', 'ADIPOQ', 'ZNF326', 'SMURF1', 'RGR', 'GPN3', 'DKFZP781O1323', 'PLIN4', 'NR1H3', 'LBHD1', 'RUNDC3B', 'C10ORF90', 'LMNTD2', 'WT1', 'BCKDHA', 'XRCC6', 'NOL4L', 'DMXL2', 'PTGER2', 'RAD54L', 'AQP8', 'DDX23', 'C5ORF38', 'OR52L1', 'METTL6', 'HIP1R', 'SLC16A13', 'KRAS', 'TPM3', 'GM2A', 'Q96IQ6', 'SPAG11B', 'GPN2', 'DENND4A', 'B4DG32', 'GPR84', 'C16ORF35', 'TMPRSS3', 'ZXDB', 'Q53HQ0', 'CA1', 'WDHD1', 'CDC42', 'SLC16A12', 'RPA3', 'ASCC3L1', 'B4DVI5', 'MCRS1', 'PIM1', 'SMURF2', 'E9KL30', 'ELOVL4', 'ANKS1A', 'DPP4', 'ADAMTSL4', 'PI16', 'CLK4', 'SPRR1A', 'TBC1D25', 'ZNF623', 'CAPN11', 'CCNK', 'DESI1', 'GNAS', 'VCAM1', 'FUBP1', 'OLFM1', 'CBR1', 'ARHGAP22', 'H7BZN0', 'DNAJC17', 'GUCA1C', 'FGF23', 'SLC30A5', 'USP13', 'GTF2H2', 'CGN', 'CDT1', 'CASP3'}"
Random_CoreNet_GRN_sig_only_size_match_9,2,2,3,"{'SIAH3', 'GRAMD2A', 'POLR2M', 'PDZK1P1', 'COL1A2', 'GDPD3', 'CLEC18C', 'SHOX', 'UFSP2', 'DNAJB13', 'LOC200261', 'EMP3', 'TROAP', 'PDLIM7', 'BMP3', 'CCNB1IP1', 'KLK2', 'FNTB', 'TRMT5', 'Q8N8Y3', 'VAPB', 'ITPRIP', 'CDH5', 'PIN1', 'ZNF286A', 'WDR26', 'APC', 'CTNND2', 'TCF7', 'ITCH', 'LAMA4', 'NRARP', 'RELL2', 'IER2', 'ZHX3', 'STX1A', 'ZNF512B', 'FCHSD1', 'GPRC5B', 'RABGAP1L', 'VTN', 'TNFRSF10D', 'USP22', 'SSTR2', 'HBZ', 'BMP15', 'C3ORF60', 'RTP2', 'GTF2H4', 'RTL4', 'NXF3', 'LCE1A', 'CBR3', 'NFIA', 'CRBN', 'MLLT11', 'LAPTM4A', 'GIT2', 'SEC31B', 'NDUFB4', 'FBXO15', 'SAMHD1', 'AK7', 'MDC1', 'COX6A1', 'COL3A1', 'GAPD', 'PPIF', 'PLAAT4', 'POLR3GL', 'SPINK4', 'TRY8', 'SIK1B', 'PTMS', 'SHROOM2', 'ZNF24', 'ZEB2', 'CSGALNACT1', 'CYP4F3', 'PIP4K2B', 'NAT8', 'SOX12', 'TRMT2A', 'Q59GP6', 'ARL14', 'PURA', 'NABP1', 'PPARGC1A', 'GPN3', 'RNF11', 'RAB3IP', 'SPARC', 'RAB26', 'NEK7', 'ABCB10', 'PSMA5', 'VPS26C', 'AQP8', 'LHX1', 'F8W9B4', 'RNF122', 'DRAXIN', 'HES2', 'KIAA2026', 'ETV3', 'FCRL6', 'SUMO4', 'MAP3K7IP1', 'TM9SF4', 'CLSTN2', 'TTC32', 'STMP1', 'SMG6', 'PARD3', 'TET3', 'CARS2', 'PLG', 'CDK11A', 'ALB', 'TM9SF3', 'COBLL1', 'GLUL', 'LBR', 'HEL-S-90N', 'FBXL17', 'MCRS1', 'AFTPH', 'UBQLN1', 'CEACAM8', 'FBLN5', 'HSP70-1', 'ERLIN2', 'SSR3', 'SYBU', 'SRL', 'CCL2', 'E5RJ89', 'SULT1C3', 'DKFZP434F0116', 'OSBPL9', 'TMEM207', 'TYRP1', 'IL23A', 'H7C030', 'OGA', 'LMAN1', 'PTMA', 'MBD3L1', 'PLEKHG4B', 'NR2C2AP', 'MT1X', 'ZNF582'}"
