Prot_1,Prot_2
RNF11,UBA52
RNF11,STAMBP
RNF11,SPSB1
RNF11,POLI
GBP5,GBP1
C6ORF120,B3GNT3
NID2,ETV6
ZC3H10,POU2F1
ZC3H14,EXOC7
FOXQ1,CUX1
SP1,POU2F1
XPA,ERCC4
FBL,PRKCZ
GTSE1,STAMBP
ATP2A3,TREML2
ITGA4,UBA52
ITGA4,MYL12B
ITGA5,ITGB1
ITGA5,ITGB3
ITGA5,FN1
ITGA5,GRK6
ITGA5,CD81
ITGA5,STAMBP
ITGA5,VIRMA
ITGA5,LGALS8
ITGA5,FBXO6
ITGA5,UBC
ITGA5,ANGPT2
ITGA5,GIPC1
ITGA5,CD9
ITGA5,SHARPIN
PHLDA3,MYO1D
PHLDA3,SAMHD1
GAP43,CCR1
TIPRL,DYNLT1
FBXL17,SUFU
SMAD9,PPARD
SMAD4,UBA52
SMAD4,RRAS2
SMAD4,STAT1
SMAD4,FOXO3
SMAD1,UBA52
SMAD2,LDLRAD4
SMAD2,UBA52
SMAD3,LDLRAD4
SMAD3,RRAS2
SMAD3,NR3C1
SMAD3,LACRT
SMAD3,FOXO3
CKS1B,TCF12
TCEA2,CENPT
TCEA2,MDK
MTCL1,SAMHD1
ATP1A3,IL17A
TSNARE1,NDE1
SIRPA,DYNLT1
SIRPA,PTPN11
CNTF,ICA1
SP4,POU2F1
CREBBP,NCOA1
CREBBP,STAT1
CREBBP,FOXO3
CREBBP,NR3C1
PNN,DYNC1I2
Q5VYC3,APOA1
MR1,ERMP1
CNPY3,SELENON
HMG20A,PTH2R
HMG20A,PAWR
HMG20A,MBD2
MARCHF6,SQLE
RFX5,CIITA
RFX3,MBD2
RETSAT,TREML2
IGFBP5,CLDN20
SKP2,FOXO3
GJA8,ERMP1
ZNF114,CUEDC1
ZNF114,SUFU
NOP9,CDYL
NOP9,LCOR
APIP,NDE1
EIF2B4,UBE2F
PRKAR2B,DYNC1I2
TXNIP,HDAC1
TXNIP,TXN
TXNIP,SMURF2
TXNIP,TP53
TXNIP,NLRP3
TXNIP,ITCH
TXNIP,WWP1
TXNIP,IL12RB1
TXNIP,PTPN11
TXNIP,VAV2
TXNIP,FHL1
TXNIP,UBC
TXNIP,GATAD2B
TXNIP,MTA1
TXNIP,RGMA
MLF1,GRK6
QPRT,SUFU
MLF2,GRK6
TMEM14B,SQLE
TMEM14B,NCALD
TMEM14B,CNIH3
TMEM14B,NINJ1
FANCF,FANCE
FANCF,FAAP20
TMEM147,SHISA3
TMEM147,PDCD1LG2
FOXL1,NFXL1
FOXL1,NR3C1
SF1,SAMHD1
HLA-DPA1,TNFSF9
CT55,FAAP20
CT55,EXOC7
ZMAT3,SAMHD1
MYBL2,ARID4B
MYBL2,RBL1
MYBL2,MBD2
MYBL2,MTA3
CDC5L,EXOC7
NEMP1,CNIH3
RAC1,SLC39A10
RAC1,NOS2
VCL,PRMT3
AP2A2,PRKCZ
PBX2,MAB21L2
PBX3,MICOS13
PBX3,HSD17B13
PBX3,RNF186
PBX3,DESI2
PBX3,MBLAC2
PBX3,TRAF1
PBX3,KRT31
PBX3,MTERF3
PBX3,TMCO2
PBX3,COQ8A
PBX3,FOXE1
PBX3,MEIS2
PBX3,JPH3
PBX3,ITGB3BP
PBX3,MAGEC2
PBX3,MAB21L2
PBX3,SMPD2
PBX3,MAGEA1
PBX3,CAV3
PBX3,GAD2
PBX3,FKBP7
PBX3,MDK
PBX3,BIK
PBX3,RPRM
PBX3,RABAC1
PBX3,TPM3
PBX3,MAB21L1
PBX3,HIGD1C
PBX3,PLIN3
PBX3,AGTRAP
PBX3,REEP5
PBX3,SIN3A
PBX3,ZNHIT3
PBX3,NUDT9
PBX3,ARFIP2
PBX3,SCAMP1
PBX3,GBP7
PBX3,MAL2
PBX3,KRT27
PBX3,ARL6IP1
PBX3,LMX1B
PBX3,CPLX2
PBX3,FAM177A1
PBX3,PTPN9
PBX3,DGAT2L6
PBX3,TVP23B
PBX3,TPD52L1
PBX3,TRIM44
PBX3,PRB3
PBX3,CIDEB
PBX3,FADS6
PBX3,SYPL1
PBX3,RHEX
PBX3,BSND
PBX3,FSD2
PBX3,LIME1
PBX3,SFT2D2
PBX3,INPP5K
PBX3,TFIP11
PBX3,SYP
PBX3,RHBDD2
