Prot_1,Prot_2
UBE2Q1,C1QTNF2
ZNF707,CASP8
ZC3H15,CEP44
RNF111,ACTN3
FOXQ1,ARHGAP10
XPA,ARID3A
FBL,CFLAR
GTSE1,BMP2K
NSL1,CBX3
NSL1,BRCA2
COL4A2,C1QTNF2
BCL2A1,BCL2L11
BCL2A1,BIK
BCL2A1,CT45A1
BCL2A1,SLC9A3R1
BCL2A1,BAX
BCL2A1,BAK1
BCL2A1,FAM9B
BCL2A1,BAD
BCL2A1,REL
BCL2A1,PMAIP1
BCL2A1,BBC3
SMAD9,ARID1B
SMAD2,ANTXR2
SMAD3,CFLAR
TCEA2,CEP44
TCEA2,AGR2
CCDC116,CEP44
ATP1A3,AKAP14
ATP1A3,CASP8
ATP1A1,ECPAS
ATP1A1,LIMK2
ATP1A1,TCTN3
ATP1A1,HIPK4
ATP1A1,BIRC3
ATP1A1,ILK
ATP1A1,NCSTN
ATP1A1,KIF14
ATP1A1,GOLT1B
ATP1A1,MBOAT1
ATP1A1,EZH2
ATP1A1,DYRK4
ATP1A1,CIT
ATP1A1,A2M
ATP1A1,PEBP1
ATP1A1,TMEM17
ATP1A1,CAND1
ATP1A1,TUBA1C
ATP1A1,PPT1
ATP1A1,JUN
ATP1A1,TRADD
ATP1A1,MAPK7
ATP1A1,AURKB
ATP1A1,MAP1LC3A
ATP1A1,NFKB1
ATP1A1,IRAK1
ATP1A1,CUL3
ATP1A1,ERBB2
ATP1A1,IQCB1
ATP1A1,TPT1
ATP1A1,CSK
ATP1A1,EGFR
ATP1A1,ATP1B1
ATP1A1,VIRMA
ATP1A1,MAPK4
ATP1A1,CDK20
ATP1A1,RHOA
ATP1A1,COPS5
ATP1A1,B7Z8L6
ATP1A1,STAU1
ATP1A1,TMEM63B
ATP1A1,TNFRSF1B
ATP1A1,TNFRSF1A
ATP1A1,VAV1
ATP1A1,CD81
ATP1A1,UBC
ATP1A1,CDK9
ATP1A1,SNAPIN
ATP1A1,YIPF5
ATP1A1,WDR76
MGRN1,AMFR
H3C15|H3C14|H3C13,ASF1B
IPO11,BSG
IFT81,CEP44
SP4,ATXN7L1
ATG4B,ATG3
UPK2,CLEC17A
CFB,CFD
LAP3,CBX3
UFD1,AMFR
HMG20A,AGR2
HMG20B,BRCA2
APC,AKAP13
APC,ADGRL1
APC,AGR3
APC,ACTN1
UQCRC2,CHCHD10
UQCRC1,CCNJL
BAK1,AKAP13
BAK1,BCL2
