Prot_1,Prot_2
RNF14,UBE2E2
RNF10,UBE2E2
RNF11,UBAC1
RNF11,UBE2E2
B1AHD6,VIM
ASS1,RPGRIP1L
RNF114,UBE2E2
RNF115,UBE2E2
RNF111,UBE2E2
TCOF1,VIM
NSRP1,EPB41L2
NSRP1,CTTN
XPC,APLF
FBL,ZNF496
FBL,CD40
GTSE1,TNK2
GTSE1,BTBD3
GTSE1,BMP2K
ATP2A1,PTPRM
ATP2A2,MBOAT1
ITGA2,CD9
NOP2,PRR11
ITGA4,VIM
ITGA4,TUBB2A
ITGA5,CD9
ITGA7,TNFSF13B
DENND4A,KSR1
DENND4C,KSR1
DENND4C,PTPN14
DENND4C,CDK8
SWAP70,SCLT1
SWAP70,SARS1
SWAP70,ZBTB5
SWAP70,SLC16A1
SWAP70,CELSR3
SWAP70,RAPGEF4
SWAP70,VIRMA
PHLDA3,RFC3
SDK1,LGALS3
SDK1,VIRMA
SDK1,LGALS8
SDK1,PRPF40A
GRN,CRY1
ITGAX,ITGB2
LIAT1,VIM
HLF,BATF
HLF,DDIT3
HLF,Q5THS4
HLF,HNF4G
HLF,DBP
HLF,BATF3
HLF,NR2A2
HLF,MYB
SMAD4,FBXO30
SMAD5,ACVR1
SMAD6,ACVR1
SMAD1,FBXO30
SMAD1,MAST4
SMAD1,ACVR1
SMAD2,CISH
SMAD2,ANK3
SMAD3,ANK3
AMY1C,B3GALNT1
TCEA2,VIM
TCEA2,ZBTB22
EDA,EDAR
ATP1A4,P2RY8
ATP1A2,P2RY8
ATP1A1,MBOAT1
IPO11,TNFSF13B
RBMXL1,AKAP5
RHEBL1,ACVR1
MCM10,UBAC1
UPK2,GPA33
ATP6V0E1,GPR25
MR1,ERMP1
UFD1,F13A1
HMG20A,CLOCK
HMG20B,VIM
GLT8D2,LRFN3
CHFR,UBE2E2
MARCHF3,UBE2E2
APC,RPGRIP1L
APC,ST14
APC,FBXO30
TMEM179B,CLDN1
TMEM179B,TMEM237
UQCRC1,KCTD17
ZNF57,SUV39H2
KHDRBS3,RFC3
NLRP12,MLF1
IGFBP5,TMEM237
IGFBP5,SLC41A2
SKP2,MLF1
GJA5,SLC41A2
GJA8,ERMP1
GJA8,APOL3
RTBDN,UBAC1
NIF3L1,KCTD17
NIF3L1,VIM
NOP9,CTTN
TMC6,VIM
APIP,VIM
PRKAR2A,AKAP5
PRKAR2A,AKAP1
PRKAR2B,AKAP5
PRKAR2B,AKAP1
MLF1,TRIM17
MLF1,BAG3
