"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56","Z57","Z58","Z59","Z60","Z61","Z62","Z63","Z64","Z65","Z66","Z67","Z68","Z69","Z70","Z71","Z72","Z73","Z74","Z75","Z76","Z77","Z78","Z79","Z80","Z81","Z82","Z83","Z84","Z85","Z86","Z87","Z88","Z89","Z90","Z91","Z92","Z93","Z94","Z95","Z96","Z97","Z98","Z99","Z100"
"SEACell-0-CM-Pre-non-Tfh",0.30011616715869,1.00313066291619,-1.1796468241282,0.764322218938512,0.536526923252193,0.746727165870433,-0.382649622505598,0.573046810453085,3.63428368110382,0.210645019982489,-0.251009842760465,-0.788508617754036,-0.317971287353677,0.510103137390877,0.339608206666722,-0.56551082141128,2.68972187469722,-0.999040925317973,-0.529438665629597,0.623590989923532,1.60769001935668,3.16924083290863,0.133461287837688,3.65351186758222,0.107954638826317,-0.327193921743784,-0.622170637297871,1.17351469457318,-0.183151624307211,0.290070397479155,-0.721262549783783,-1.11968866962729,0.0434760813835888,-2.30498827186713,1.92923565412711,0.955164837352319,-0.688021847350689,0.0478255956031858,1.52964167987871,-0.288968547895408,-0.940315835014434,1.26800315834202,-0.628095502560319,1.19365344367711,0.225350278512892,1.16474145344282,0.79038612534299,0.672310704037982,-1.12711182860686,2.30595424080418,0.349202570261842,-0.695474344239226,1.21694545112795,-1.47263750542338,-0.601287723300646,0.745090923690223,-0.630633905971806,-1.00414083920143,-0.0491835382116243,-0.904393717821455,-0.613814526816933,0.0979757360808614,-0.518505085247184,-0.727265902576755,-0.838066859724963,-0.811348563823018,-0.939756706803507,-1.051482816439,-0.734016939684452,-0.778172499781436,0.147837605514376,-1.00730977157368,-0.738429525090357,-0.66869252305072,-0.560945985405538,-0.810191034515126,-0.0863912916787839,-0.243933649886043,-1.12382046755367,-0.229497581172995,-0.279209730294099,-0.207238114528069,-0.643920273030976,-0.299024774387572,-1.06892051118069,-1.36525045563696,-0.469591289695209,-0.628116462554134,-0.620251589824596,-1.19818899544786,-0.157966831612389,-0.565240208261624,-0.921313830999006,-0.234886406959412,-0.331351305718391,-0.117420029968103,-0.296235542043109,-0.0998006154552114,2.5010465018184,-0.108255361804813
"SEACell-0-Tfh2",0.348552395378569,0.698014050364132,0.32365033991429,0.288265763195819,-0.134235195569809,-0.488388141271708,-0.685658686540399,-0.115207799787796,0.00960536968895952,-0.933184722186472,-1.42297270576833,0.831907925218636,0.47758726076333,-0.726508663704878,-0.264495678050069,-0.552617987972702,-0.0736332149448057,-0.135135074831909,-0.410067322021424,-0.227969747419827,0.867944054046802,-0.310468307967379,3.56701623734955,-0.46551169202689,1.01558235332324,-0.715578800998966,0.0400116555365814,-0.936516687826277,2.64979482765842,-0.277938248613658,-0.706400771975704,-0.185858042695466,-0.723386471687533,0.311339894876845,0.0475979401725991,-0.300072193913581,-0.613743354088569,-0.543639873946909,3.21901709076443,-0.450358077021541,0.543618064371854,-1.57909079751488,-1.17586427997102,0.884960126411514,-0.995885761962375,-0.531133026678461,0.899487020449557,0.0726179092359727,-0.204028172835561,-0.310805166430573,-1.36507458366325,0.0552692305672399,-0.971350393640305,0.891118640820796,-0.57714218073263,-0.24235973167403,0.120171592335236,-0.60286535252043,-0.648744013265965,1.05440106978922,-0.57161761867946,0.0939505676078501,-0.323411271736832,0.434232426284042,-0.108997856070089,-0.0297016945130249,-0.164733054409849,1.53453802801449,-0.259260834727668,-0.284432244615152,-1.40408734723701,-0.175413839047724,-0.043507365700945,-0.78448566485035,-0.784353346450677,-0.811458930829238,-1.29447491726786,-0.139130501813916,-0.195007764745649,-0.26729132676411,0.0083824447656914,-0.656686255604244,-0.186713671276688,-0.249845909513939,-0.791433839396946,0.222859076847337,-1.15807432659009,0.752177177658902,-1.54510453103883,0.704093687857571,-0.560354893511883,-1.35731819887368,-1.77347349930804,-0.39874903145158,0.30181536534538,-0.769849384333543,-0.559234300523639,-0.145823004598242,-0.0252661430296955,-1.3667952768607
"SEACell-1-CM-Pre-non-Tfh",-1.14488518547884,-0.146934596821257,-0.641558455681038,-0.672768104444496,-0.649848466314809,-0.647102520448544,1.08663839831676,-1.09266079101065,-0.554325952692812,-1.0871776025299,-0.710239835980693,-0.799326119863156,-0.182899490496731,0.0249518916494869,-1.72967098784353,0.51263671735344,-1.13769242579542,0.883481870718403,1.52067319560864,0.694613180708511,-0.288419256783385,-0.106241089464083,-1.84638559557696,-0.253109664584805,-0.478459248721473,0.653450861431523,1.90693093828229,-1.89383353048539,1.63463113135716,-1.3802870324878,1.73898884474906,0.124286546544617,1.11033147809867,1.59261790842505,0.645000360631539,1.32487902757497,-1.30352986986831,-1.3051597866853,-2.67444157757593,-0.528267351166987,-1.00759814356854,-1.20852115181669,-1.100888279276,0.734973801709761,-0.636704548868339,0.00282567191102012,0.342548022071595,-0.775038310077523,1.04745017344515,1.32855851282706,1.67581688670172,-0.868187228537993,0.264494000017705,-1.10054238122478,1.4491605263774,1.50095055551324,-1.31131547793362,-0.193562016300649,0.0314761831262007,-0.872165054692643,-0.0431603084714137,-0.538757406024959,-0.85685714050471,-0.932019573427362,-1.4719851531265,-0.650882634539841,-0.553258746432316,-0.817942921726701,0.33674227129502,-0.473389981612285,-0.765885132214754,-0.923981220182667,-0.354353708687191,-0.943443677758338,-0.244418075559994,-0.347357592820087,-1.68370808610474,-0.206710712418543,-0.552840360142913,-0.276723462683646,-0.22578544818781,0.256390360335344,0.40788287530582,-0.302183718551376,-0.952733726795257,-0.12145799516469,1.07019967581435,-0.29043968097276,-0.576536896526608,1.40467458340156,-0.82135844754269,0.922741294060207,0.499321076149159,-0.382518750804205,-0.787960852887691,-1.43144843739621,-0.187365836290279,-0.470565812880545,-0.983555607901446,-0.739415815118409
"SEACell-1-Tfh2",0.471527083442354,-0.694353063241843,-0.119534053087348,0.199153368720081,-0.576887408347266,0.449247662270163,-0.793390700041697,-1.08903532456154,-0.698925315194227,0.286978977759731,-0.715069900615148,0.903527689014178,-0.730993808983662,-0.504636461035639,0.328066518188588,-0.632018676041404,0.0264153540155143,1.01235343826748,-0.606109688477954,-0.31750366239508,-0.56058623384417,-0.348786578520849,-0.443741204655757,-0.271439190606713,-0.659519127621311,-0.0965129931437978,-0.648992737789087,0.989556232587865,-1.58369170143248,0.595794777497507,-0.733774458075093,1.40233881020757,-1.03887802865379,-0.295973370086677,-0.620299681708758,-1.42335893684478,0.648020314568322,1.05534202014935,0.541964742281791,0.284659308971444,0.992603903639447,0.814494933841969,0.131555725888841,0.97827546683479,-0.481540942263968,-1.3312797818613,-0.489532247963564,-0.240914958343281,-0.512093960747546,-0.96177666654768,-1.29326358200466,1.3696264872156,-0.986372633544601,2.04838789073036,-0.335816743922,-0.917334708112264,0.801208248808332,-1.16255259631533,-0.119418945632429,1.44532604475491,-0.168716510509143,-1.06173566496224,-0.0689955457754953,-0.224561283992673,0.815715543904892,-0.0410547428875526,0.588675494799047,0.031325494207859,-0.312600794734664,1.81398323090352,0.880993270098734,2.19185692701624,-0.461693299381547,-0.0450596188666262,0.25139850031173,1.50363669979624,0.14667224889939,-0.677979588398885,0.393290478214125,-0.13249296551744,0.102434813122236,0.0141570667534486,-0.140677599291595,-0.155252973987762,1.02581318691734,-0.352437302171914,-0.533888765279781,-0.52653997170918,0.258448560343604,-0.809954340556865,1.2843092052683,-0.651069587450647,0.192277589862511,-0.270754527842078,-0.230901501000492,0.870646599417913,-0.178237964227687,0.0133382905749971,-0.298473653569028,1.16948519680983
"SEACell-10-CM-Pre-non-Tfh",-1.55642348482272,0.541708204166137,-0.888654675740385,-1.46288169034432,-1.15764399990949,-1.77162653009709,2.33452929601593,0.227607980578322,-0.495080893522826,-2.05397102018881,-0.52836714290832,-1.68329534888074,-0.348175892136751,0.887864417908955,-2.24420379960796,0.730036692203436,-2.05654716102566,0.66194037850112,2.11243053367512,1.95352724276486,-1.21832018940606,-0.0340831762400274,-1.65797016333858,-0.214868629153667,0.804360949491966,1.6093322954175,3.79899263187578,-1.9289737521903,1.99518026074517,-2.0205138464283,2.05663088477265,1.98076886630299,2.45024837845498,4.46301667031337,0.403881212574184,0.772594366479023,-2.05263952598141,-1.4833587162556,-1.33041824568099,-1.12435037746941,-3.28099815565325,-0.742741947218193,-0.870605026169691,-0.0391771339575241,-2.36927743714493,1.24913498927358,-0.277286630608787,-0.411932595593201,1.19046588256761,1.59975320959413,1.97645382325994,-0.0633240044161539,0.150860362467084,-3.02446008689545,1.36659272002474,1.82285466041244,-1.54968848871243,0.221760164329946,-0.0515109790555413,-0.756275634673319,-0.0729186476548477,-0.915147456745543,-0.847375861855478,-0.345567049481069,-1.47734652388566,-0.910566698678352,0.446662945618569,-2.61251819369182,0.197551859703102,-1.24043282167934,0.322501869752001,-0.781430307020671,-0.0243571236569984,-0.724756248905515,-0.33778061484953,-0.0447675995178833,-0.501921320079465,-0.0114537068146606,-0.490572777376457,-0.158575239553971,-0.254914429736526,0.206715648394722,0.479998103148507,-0.340942866874548,-1.32035354705379,0.31811109458058,1.59293021121946,-2.24260689665996,0.129236157509691,2.13642022210791,-1.18527876036435,1.307226162557,0.533340556453378,-0.105747418305377,-0.619753971649375,-0.469053514803909,-0.181464458393009,-0.689195401507733,-1.76387272230939,1.18294093268083
"SEACell-10-Tfh2",1.06154060183702,0.600021756778747,0.660712283320559,0.965952744719437,0.0815203102460828,1.06976286434103,-0.498590960086636,0.723343596585959,-0.0700075089052446,0.32682458822786,-0.271984711586596,1.20111619423285,-0.468980232123055,-0.460129566391553,0.18735345736787,-0.558159443251656,-0.197706846248577,0.456735242952931,-0.557418763663085,-0.715529146289454,1.13896956891187,-0.228399804442874,1.1691100257023,-0.331990584489447,-0.0908470700961528,-0.728401911781844,-0.512749887710669,-0.690750137347195,0.129280744274366,0.502808100343051,-0.509949244711467,0.941474670036567,-0.409623774194771,0.106977392071792,-0.725826680693671,0.887964353383295,-0.162237498494985,0.0563319366595236,0.267992897899323,0.265863118198884,1.5629571224287,-0.296378018767852,1.04727614732026,1.28991483857151,-0.0273686508762243,0.201525795116856,0.601519655588027,0.404383288349934,-0.624262612762244,0.235092829386681,-0.590518444267013,1.52935862987904,-0.0340162971832627,1.02059829584722,-1.09863197283854,-0.481802361010467,0.48067152280169,1.07986316089833,-0.553647908252278,1.55192915345397,-0.333736645472772,0.433136637597784,0.0978596963145889,-0.159591607657342,0.0181626662208593,-0.361122431768486,-0.112500486816017,-0.133978494843912,-0.0569273171366416,-0.647100085547698,-1.48228082971273,-0.567777156466633,-0.338898537983314,-0.730124416103289,-0.583266328889591,-0.376921220839309,-0.293999130770375,-0.306058135580271,-0.542545873992743,-0.0927696985177611,-0.228763750095306,-0.669396762295932,-0.503377760686703,-0.256487720688446,-0.0984475546604054,-0.745982814992156,-0.739788839160374,-0.0531811146082032,-0.572839495493287,-0.391295238933374,0.283699885384956,-0.31024425377315,-0.959039082677383,-0.172787322195602,-0.100333530650102,-0.659030356741909,-0.290841590772548,-0.415152246500346,0.317217980560322,-0.798001995397289
"SEACell-11-CM-Pre-non-Tfh",0.578466886332945,1.57205692426596,1.31582592077493,1.27882936708677,2.49331516541434,1.40317484900129,0.0536347437796586,1.0512612928153,0.903535369052843,1.0947460949995,3.32940413502571,-0.13850186578446,2.20364691466637,-0.604755109268237,1.5725031590603,-0.183634167521178,1.16141196943393,-0.717012329268503,-0.584922061035525,0.994515615332315,1.34624072926467,0.125236183070751,-0.13524291245348,0.441771632168326,-0.213162649362881,-0.566156345914601,-0.678947855490188,1.64506675377555,-0.243783833710959,1.00028533757975,-0.699190040995643,-2.7109714627656,0.0462662808279596,-1.32822170162843,-0.212545423336837,0.589394647873887,-0.116297455608513,0.673866296610918,0.850953494681132,-0.0974491709157335,-0.648638420817816,0.886990078300045,-0.78819331670234,0.283475206439764,1.61732017463167,2.16880764430406,1.27125933867455,2.59300106521708,-0.845639673316606,0.599919806821434,0.58394882700777,-0.521271830032117,1.5400365350291,-0.893901586277,-0.540119216276844,-0.210219412654726,-0.559924513078226,-0.496564495495279,0.433933940035685,-0.989306836739935,-0.468182095503961,-0.150153704598653,-0.612094958394354,-0.612468269233608,-0.539303473903071,-0.742653691961406,-1.25574078749257,-0.366582550507126,-0.681738612734201,-0.682667921891686,-0.26556229735549,-0.808597521341968,-0.470118715148963,-0.286544996636659,-0.673433010855076,-0.687622045596077,-0.0621212438382848,-0.455201342980046,-0.554756877416031,-0.215752073605801,-0.313421688654358,-0.27722913128844,-0.795225377713037,-0.292340739356767,-1.09729970925735,-0.855929442761805,-0.519657834272119,-0.249762100179654,-0.758709520670103,-0.415136666359111,-0.502353719172739,-0.445549695662729,-0.970765894881302,-0.307400072647866,-0.316239511518027,-0.443407107474013,-0.408123615888924,-0.0751642716702847,0.729940501642931,-0.867111237351885
"SEACell-11-Tfh2",-1.66217711019331,-1.01107742191755,-0.820452330012666,-1.61956159528307,-1.40141159529157,-1.28000465497272,-0.981050210830723,-0.842508475528794,-0.851747981121619,-1.78557414305313,-1.11757819210697,-1.52818697900397,-1.70299331441925,0.167853092664403,-2.75795462967745,0.368716595569572,-2.71933298647972,-0.141385036909066,1.48023527422867,-0.300416287274689,-1.80288561582625,-0.136437974508733,-0.90865974514505,-0.475068115796282,-0.870294175222109,2.90810234989463,0.204500786291555,-1.118724024437,-0.620728812620024,-1.61211555308073,0.703009904914747,0.185476369692063,0.626033926480532,0.708410688753414,0.0301968727530233,-1.60003776654013,-1.71457950671541,-0.581691932996322,-2.64011399403134,-0.899674375300242,-3.44216897586218,-0.398558469276819,-1.72958906831882,0.446695984360516,-2.14201263005223,-0.624124161560066,-1.30683056027194,-1.43085339508672,3.02672075849427,0.203460634157397,-0.0512912479408967,0.0814166250750503,-0.4026679115542,-1.87524334319894,2.15005640271508,0.120719510043248,-1.41132096777409,-2.10145376679476,0.320317210140118,0.949071671380537,5.96793629320672,-0.593156053354787,-1.04902670053578,2.45300202106433,-1.89830456433692,-1.20856382354717,1.14483739304544,-0.685375174247953,3.81307912497732,-0.725723184856511,-0.211040827678651,-0.849986706398763,4.4696056343049,-0.136962479304718,4.21646086175565,1.86766309520571,-0.70319742328739,-0.711189066609555,3.29134647715057,-0.107202364009915,-0.240675913867822,7.25162839588848,3.19232790150536,-0.270822574137864,1.91552334314077,0.705612510059676,2.74343969661785,-0.643048435964247,0.263171755055442,2.70710067254478,0.437914586074527,2.46501719752494,-0.447691781307287,-0.501206960923839,0.222832658948621,-0.847282084592189,-0.233698723848374,-0.52477824867699,-2.27868404500556,3.99213304473196
"SEACell-12-CM-Pre-non-Tfh",-1.68073820011309,-0.0256548716491139,-1.29307110999196,-1.17655087697239,-0.220945747788996,-1.21189922570423,3.69379490215755,-0.844494513911298,-0.34345346096835,-1.393207442309,0.602559642810267,-0.396402032945062,1.82082247304141,0.125964896250112,-2.13576599585443,6.19166156748621,-1.75134185351807,1.85014021012746,1.69215719465212,2.68059611620549,-0.831848472513384,-0.18639509103719,-2.06807271313158,-0.0996991423112316,0.499592090751425,0.813038618681026,-0.0721034664662782,-1.98705972157204,0.83537905383122,-1.75030078513421,1.16835634283159,-1.02762916443058,2.08781637791401,1.7477597265992,1.04483498646787,0.219335596947594,-1.27242439077639,-1.55179051493959,-0.859943799890721,-0.663830612987372,-2.19142964595401,-1.77279323337851,-0.871305378279103,-0.19221639822256,-0.370275223942321,-1.16462122046119,-0.355409813076356,-0.170571313989038,1.32633511816611,1.15992685436474,3.72607211725436,0.132403577709865,0.260997407287946,-1.79904805428689,1.02006261056278,1.46669932907738,-1.381509427279,-0.527483919337091,0.318889886601682,-1.10957314230689,0.0944337720382335,-0.890799532919508,-0.955653246360879,-0.82410290314338,-1.23922033825478,-0.385429472745706,-1.47730300222106,-0.608533350717743,-0.0277984695393202,-0.583642807295009,-1.02559754620112,-0.529471576946985,2.00777251143357,-0.812577193253635,-0.366465591505608,-0.430333791209456,-1.08947800600034,-0.243105083447996,-0.210982909279799,-0.290142321697248,-0.440052777684506,0.249944818584501,0.247344856469535,-0.263689610493152,-0.891941492004714,0.622714420338736,0.37112385343301,0.335318009997086,-0.25226510698636,1.06482243122379,-1.17836096678926,0.412184471071087,0.890872768188093,-0.608448485101025,-0.558835785004485,-1.77231371726169,-0.220366064961592,-0.184011537035064,-2.48093933577127,-0.876655779049129
"SEACell-12-Tfh2",-0.56280002266686,-1.31876364871528,0.0738460095942223,-0.691046339381525,-0.411006516016809,-0.0872095773073342,-0.724458417665211,-0.843566053927861,-0.374815555840168,1.60471952937991,-0.411719115134702,-0.606725834626267,-0.592247598006862,-0.308051581187659,1.17676435880494,-0.312017469443654,1.18164332484185,-0.784973290749429,-0.697659141185287,-1.44405250900176,-0.866906182847919,-0.479601256151429,-0.230294873752517,-0.46530333621018,-0.61485017627558,-1.03317588203163,-0.670641925736835,1.89925211734407,0.250762022685913,0.660151790083629,-0.605304558773333,-1.2161836428223,-1.18077718503771,-3.2213427443336,-0.443373395362536,-0.884529915365127,2.4135505845934,1.07716299097273,-1.14826353404355,3.65450359414866,0.0958779919874442,1.69341277331935,0.456837474870517,-2.59655501717428,1.91687994658854,-0.952533580447173,-1.48318770300415,-1.05465508320393,-0.50229200951224,-1.63684826891789,-1.72359134120198,-0.0544301144549033,-1.4574499430222,0.52027629985074,-0.48141434396757,-0.681264918913671,1.15439032520191,0.0619566461132812,-0.741700146365989,0.00972613006325613,-0.399581920877806,1.54287540257452,3.39305921591668,-0.147740750965898,3.98101070188864,0.385194324633489,0.0805743138933137,1.68144543382428,-0.29792064043762,0.664568610570736,1.64024880843717,0.171262309978115,-0.455787005565523,2.3195482892136,-0.261466747107506,0.0203621759582914,0.792055355194125,-0.479243151204659,0.265900342617648,0.591694501005549,4.06492446619637,-0.358681395333456,-0.526621566540809,2.0815947186004,-0.0379278407208831,3.14330131316732,-0.462101042642392,0.591022446304155,1.34157415161812,-0.375913849785597,0.196729114101892,0.645547120845894,0.210254566796176,3.0318032226323,-0.231693455096746,1.90215502720548,3.77552991747709,3.77985856857282,3.19048843339095,-0.701966082829043
"SEACell-13-CM-Pre-non-Tfh",0.778189060978376,1.50886549085464,1.9583962064235,1.88309759582823,2.20182502545377,1.25613499463477,-0.184435350749103,0.505514951911215,0.093840754546501,1.21435111585388,2.0427571072946,0.0702720611383789,1.14914814475042,-0.217575790876023,1.46601790529424,-0.393971135366979,0.453823936269685,-0.688674020271371,-0.610411278872447,0.234299304594828,1.6008103022041,-0.244778235282789,-0.357714951219628,-0.156867396365273,-0.405616085167881,-0.548963847592672,-0.741315447480773,1.21406897561775,0.0281391586622102,1.08188424233188,-0.543073750421335,-2.0193716190831,-0.151909190969096,-1.39390899021764,-0.246510231529311,1.04323837293067,-0.31365578820125,0.621559067571276,0.162214976097535,-0.471442725170687,0.125248340437666,0.787539363599341,-0.529901220279661,1.62899353273935,1.48056391285225,2.254991459896,1.75455809431063,2.70181678127621,-0.93804037357845,0.51042607005849,0.376818144109062,-0.342334383173525,1.57899967824671,-0.321790520771407,-0.505598249786672,-0.322436319149449,-0.495803938311482,-0.796250836759434,0.124760436497577,-0.940812934453797,-0.664322644818423,-0.577359763263302,-0.483941595713179,-0.695559361757534,-1.07667060867777,-0.965163877949367,-0.979392844087418,-0.34983786935833,-0.648542135048331,-0.708618630486103,-0.755929348594628,-0.797939186557037,-0.768438685746253,-0.775539773178744,-0.562049188672795,-0.559969736551731,-0.829843301816486,-0.662431734106446,-0.630998203432358,-0.227443967584778,-0.326260415848856,-0.147160426991261,-0.84334718631249,-0.309179826834698,-0.957604806297914,-1.35803171751009,-0.42289339382802,0.0865718265436098,-0.884408628054858,-0.381788499622901,-0.439959502816934,-0.273143034925799,-0.790867288027922,-0.336236063917828,-0.331416859650269,-0.325660658963787,-0.376814505726069,-0.222252845296348,0.804429888923436,-1.12885960855402
